date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-31,SEA,CLE,"L,5-6",99,2.2,0,0,0,0,2,0,0,0.00,8,36,23,5,6,1,5,0,2,0,,1,0,0,0,0,8,0,0,0,0,0,0,.54,0.110,0.07%,1.41
2018-04-09,SEA,KCR,"L,0-10",8,1.2,4,5,5,2,1,0,1,10.38,12,52,27,4,3,2,6,3,0,0,,2,1,1,0,0,9,2,0,0,0,0,0,.43,-0.074,-0.04%,-4.07
2018-05-04,SEA,LAA,"L,0-5",24,1.2,3,2,2,1,2,0,0,10.50,8,30,18,4,4,3,2,2,0,0,,3,0,0,0,0,7,0,1,0,1,0,0,.19,0.014,0.01%,0.03
2018-05-06,SEA,LAA,"L,2-8",1,2.0,3,2,2,1,2,0,1,10.13,11,37,26,5,6,6,1,0,0,0,,0,0,0,0,0,9,0,0,0,1,0,1,.11,-0.004,0.00%,-1.04
2018-07-13,SEA,COL,"L,7-10",67,1.0,1,0,0,1,1,0,0,9.00,5,19,12,4,0,1,2,1,0,0,,0,0,0,0,0,4,0,0,1,0,0,0,.17,0.008,0.01%,0.57
2018-07-14,SEA,COL,"L,1-4",0,1.0,1,0,0,0,1,0,0,8.10,4,17,14,1,3,1,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.13,0.008,0.01%,0.57
2018-07-28,SEA,LAA,"L,5-11",13,4.1,6,4,4,0,1,1,0,8.16,19,61,38,8,3,8,10,5,0,0,,2,2,0,0,0,19,4,0,0,0,0,0,.09,-0.085,-0.07%,-3.56
2018-08-13,SEA,OAK,"L,6-7",15,3.0,3,3,3,2,1,0,0,8.31,14,60,35,6,3,5,6,1,1,0,,0,0,0,0,0,12,2,0,0,0,0,0,.17,-0.066,-0.08%,-1.51
2018-09-19,SEA,HOU,"W,9-0",36,3.0,1,0,0,2,1,0,0,7.08,10,34,18,8,3,5,2,0,0,0,,0,0,0,0,0,8,0,0,0,2,0,0,.94,0.147,0.00%,1.52
2018-09-24,SEA,OAK,"L,3-7",4,0.0,3,2,2,0,0,0,0,7.97,3,10,7,1,2,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.67,-0.097,0.00%,-2.34
2018-09-26,SEA,OAK,"L,3-9",1,3.0,3,1,1,1,2,1,0,7.33,12,42,30,7,5,3,6,3,0,0,,0,0,0,0,0,11,1,0,0,1,0,0,.04,-0.009,0.00%,0.44
2017-04-08,TOR,TBR,"L,2-3",99,0.2,1,1,1,3,1,0,0,13.50,6,14,8,1,2,1,1,1,0,0,,0,0,0,0,0,2,1,0,2,0,0,0,4.46,-0.361,-0.22%,-1.27
