date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-06,DET,MIN,"W,4-3",99,4.0,5,1,1,2,4,0,0,2.25,19,82,50,10,5,6,7,4,1,0,50,,,0,0,0,17,1,0,0,0,0,0,1.23,0.079,0.05%,1.00
2021-04-12,DET,HOU,"W,6-2",5,7.0,4,0,0,2,5,0,1,0.82,27,89,62,19,6,14,5,1,0,0,72,,,0,0,0,24,1,0,0,1,0,0,.91,0.233,0.11%,3.69
2021-04-17,DET,OAK,"L,0-7",4,5.0,7,5,5,0,4,3,2,3.38,23,95,63,19,10,9,8,2,1,0,37,,,0,0,0,21,0,1,0,1,0,0,.42,-0.253,-0.13%,-2.52
2021-04-23,DET,KCR,"L,2-6",5,4.2,7,6,6,3,1,2,0,5.23,22,85,51,14,7,9,9,5,2,0,24,,,0,0,0,19,1,0,0,2,0,0,.77,-0.240,-0.13%,-3.82
2021-04-29,DET,CHW,"L,1-3",5,6.0,4,3,3,3,6,0,0,5.06,24,87,53,12,12,8,7,2,0,0,55,,,0,0,0,20,2,0,0,1,0,0,1.32,-0.201,-0.08%,0.16
2021-05-05,DET,BOS,"W,6-5",5,6.0,3,1,1,4,3,0,1,4.41,26,95,56,16,7,11,7,3,2,0,61,,,0,0,0,21,0,0,0,0,0,0,1.51,0.262,0.04%,2.41
2021-05-12,DET,KCR,"W,4-2",6,6.0,3,2,2,2,4,0,1,4.19,23,96,55,16,8,5,11,6,1,0,60,,,0,0,0,19,1,0,0,1,1,0,1.07,0.126,0.03%,1.00
2021-05-17,DET,SEA,"W,4-1",4,7.2,3,1,1,3,7,1,0,3.69,27,95,57,20,11,10,7,3,1,0,73,,,0,0,0,24,0,0,0,2,0,0,.94,0.347,0.07%,2.86
2021-05-23,DET,KCR,"L,2-3",5,6.1,3,1,1,1,6,0,1,3.42,23,86,62,13,14,7,8,3,1,0,68,,,0,0,0,21,0,0,0,0,0,0,1.16,0.268,0.08%,2.60
2021-05-28,DET,NYY,"W,3-2",4,5.0,5,1,1,0,7,1,0,3.28,20,97,58,19,5,5,8,4,1,0,60,,,0,0,0,20,1,0,0,0,0,0,1.13,0.141,0.02%,1.50
2021-06-03,DET,CHW,"L,1-4",5,7.0,5,3,3,0,6,3,0,3.34,26,89,61,14,17,9,11,2,0,0,61,,,0,1,0,26,0,0,0,0,0,1,.56,-0.009,0.00%,0.69
2021-06-09,DET,SEA,"L,6-9",5,6.0,4,3,3,2,6,1,2,3.44,24,99,56,12,11,7,7,2,0,0,56,,,0,1,0,20,1,0,0,1,0,0,1.07,-0.006,0.00%,0.00
2021-06-15,DET,KCR,"W,4-3",5,6.2,7,3,3,1,3,0,1,3.49,27,103,68,18,9,10,12,7,1,0,50,,,0,0,0,25,1,0,0,2,0,0,1.35,0.111,0.01%,0.58
2021-06-20,DET,LAA,"W,5-3",4,5.0,8,3,3,1,4,2,0,3.61,22,85,55,11,11,6,11,5,1,0,42,,,0,0,0,21,1,0,0,2,0,0,1.29,-0.112,-0.01%,-0.34
2021-06-26,DET,HOU,"W,3-1",5,6.0,6,1,1,2,5,0,0,3.46,26,102,66,20,7,12,7,3,0,0,59,,,0,0,0,24,0,0,0,0,0,0,1.31,0.278,0.03%,2.00
2021-07-02,DET,CHW,"L,2-8",5,3.0,4,2,2,1,4,0,0,3.55,13,56,34,13,5,6,2,1,0,0,46,,,0,0,0,12,0,1,0,1,0,0,.87,-0.075,-0.01%,-0.50
2021-07-07,DET,TEX,"W,5-3",4,4.0,4,2,2,0,2,2,0,3.59,15,50,35,9,5,6,7,1,2,0,48,,,0,0,0,15,0,0,0,1,0,0,.95,-0.022,0.00%,0.06
2021-07-19,DET,TEX,"W,14-0",11,4.0,1,0,0,0,2,0,0,3.44,13,54,34,8,1,5,6,0,1,0,62,,,0,0,0,13,0,0,0,0,0,0,.86,0.210,0.02%,2.00
2021-07-24,DET,KCR,"L,8-9",4,4.2,6,4,4,1,6,1,0,3.63,21,79,52,13,10,7,7,3,0,0,41,,,0,0,0,20,1,0,0,0,0,0,.73,-0.023,0.00%,-1.38
2021-07-29,DET,BAL,"W,6-2",4,7.0,4,1,0,2,2,0,1,3.41,27,88,54,21,4,15,7,2,0,0,67,,,0,0,0,24,0,1,0,1,0,0,.81,0.274,0.03%,2.50
2021-08-04,DET,BOS,"L,1-4",5,5.0,7,4,4,1,3,3,0,3.57,21,76,49,14,8,4,13,5,0,0,39,,,0,1,0,20,2,0,0,1,0,0,1.01,-0.155,-0.02%,-1.50
2021-08-10,DET,BAL,"W,9-4",5,4.1,5,4,3,1,4,3,1,3.66,20,85,50,22,6,6,8,2,2,0,42,,,0,1,0,18,1,0,0,0,0,1,.82,-0.153,-0.01%,-2.03
2021-08-17,DET,LAA,"L,2-8",6,4.0,4,2,2,4,4,0,0,3.69,19,88,49,15,6,7,4,2,0,0,46,,,1,1,0,15,0,0,0,0,0,0,1.23,-0.021,0.00%,0.00
2021-08-24,DET,STL,"W,4-3",6,5.0,3,0,0,2,2,0,0,3.55,19,76,50,20,2,9,6,2,1,0,61,,,1,1,0,17,1,0,0,0,0,0,.87,0.207,0.01%,2.35
2021-08-30,DET,MIN,"L,2-3",5,6.0,5,3,3,1,4,1,0,3.59,24,79,51,10,10,8,11,3,1,0,53,,,0,0,0,23,3,0,0,0,0,0,.88,-0.072,0.00%,0.00
2021-09-05,DET,CIN,"W,4-1",5,3.0,0,0,0,0,2,0,0,3.51,9,34,27,2,4,3,4,0,0,0,61,,,0,0,0,9,0,0,0,0,0,0,.68,0.163,0.00%,1.73
2021-09-11,DET,TBR,"L,2-7",5,2.0,3,3,3,1,2,0,0,3.66,11,48,28,9,3,2,6,2,0,0,39,,,1,0,0,9,0,2,0,0,1,0,.88,-0.204,0.00%,-2.00
2021-09-17,DET,TBR,"L,4-7",5,3.0,3,1,1,1,3,0,0,3.64,13,53,33,4,7,0,9,6,1,0,51,,,0,0,0,11,1,0,0,0,1,0,1.23,0.040,0.00%,0.44
2021-09-24,DET,KCR,"L,1-3",6,3.0,2,1,1,0,3,0,0,3.63,11,41,30,9,5,3,5,2,0,0,54,,,0,0,0,10,1,0,0,0,1,0,.99,0.033,0.00%,0.50
2021-09-29,DET,MIN,"L,2-5",4,4.0,5,3,3,0,4,1,0,3.71,17,65,42,9,7,6,7,2,1,0,44,,,0,0,0,17,0,0,0,0,0,0,.61,-0.144,0.00%,-0.96
2020-08-19,DET,CHW,"L,3-5",99,4.1,7,3,3,0,7,1,0,6.23,20,73,49,9,11,6,7,4,0,0,44,,,1,0,0,20,2,0,0,0,0,0,1.04,-0.208,-0.15%,-1.03
2020-08-24,DET,CHC,"L,3-9",4,3.1,5,4,3,2,2,1,1,7.04,19,76,44,12,8,8,6,5,1,0,36,,,1,0,0,16,0,0,0,0,0,2,1.10,-0.194,-0.11%,-1.74
2020-08-30,DET,MIN,"W,3-2",5,3.0,2,2,2,2,4,1,3,6.75,16,67,39,12,6,2,5,3,1,0,49,,,0,0,0,11,0,0,0,0,0,0,1.11,-0.048,-0.04%,-0.31
2020-09-06,DET,MIN,"W,10-8",6,4.0,5,3,3,2,3,0,0,6.75,19,83,54,9,6,3,11,5,2,0,41,,,0,0,0,17,2,0,0,0,0,0,1.26,-0.071,-0.05%,-0.42
2020-09-11,DET,CHW,"L,3-4",4,5.1,1,2,2,2,5,0,0,5.85,18,76,48,14,10,6,5,1,0,0,61,,,0,0,0,16,1,0,0,1,0,0,.96,0.133,0.09%,1.25
2020-09-17,DET,CLE,"L,3-10",5,3.2,4,5,3,3,1,2,0,6.08,19,79,41,8,3,7,8,5,1,0,35,,,0,0,0,16,0,0,0,0,0,0,.84,-0.245,-0.06%,-3.56
2020-09-23,DET,MIN,"L,6-7",5,4.2,5,6,6,2,4,2,1,6.99,22,89,54,11,11,3,12,7,1,0,32,,,2,0,0,19,0,0,0,0,0,0,.71,-0.214,0.00%,-3.35
