date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,COL,ARI,"L,2-8",99,1.1,2,3,3,1,1,0,0,20.25,7,25,15,2,3,3,2,0,0,0,,3,0,0,0,0,6,0,0,0,0,0,0,1.39,0.002,0.00%,0.94
2018-03-31,COL,ARI,"W,2-1",1,1.0,0,0,0,1,1,0,0,11.57,3,10,4,2,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.35,0.076,0.05%,0.51
2018-04-02,COL,SDP,"W,7-4",1,0.2,2,2,2,1,0,1,0,15.00,5,21,12,1,2,2,2,1,0,0,,0,0,0,0,0,4,0,1,0,0,0,0,.26,-0.009,-0.01%,-1.89
2018-04-06,COL,ATL,"L,3-8",3,2.0,2,1,1,0,0,0,0,10.80,8,28,20,2,1,6,2,1,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,.23,-0.017,-0.01%,0.13
2018-04-08,COL,ATL,"L,0-4",1,2.0,1,1,1,0,2,1,0,9.00,7,22,15,5,1,2,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.21,-0.025,-0.02%,0.13
2018-04-14,COL,WSN,"L,2-6",5,2.0,2,0,0,2,1,0,0,7.00,9,32,19,5,4,3,3,1,1,0,,2,1,0,0,0,7,0,0,0,1,0,0,.17,0.010,0.01%,1.37
2018-04-16,COL,PIT,"W,6-2",1,2.0,2,0,0,0,2,0,0,5.73,7,19,15,3,3,5,0,0,0,0,,0,0,0,0,0,7,0,0,0,1,0,0,.99,0.075,0.05%,0.93
2018-04-22,COL,CHC,"L,7-9",5,1.2,0,0,0,1,4,0,0,4.97,6,33,22,3,7,1,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.28,0.035,0.02%,0.87
2018-05-04,COL,NYM,"W,8-7",11,1.0,1,2,2,1,0,1,0,5.93,5,15,9,2,2,2,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.20,-0.005,0.00%,-1.56
2018-05-09,COL,LAA,"L,0-8",4,2.0,1,1,1,1,1,1,0,5.74,8,33,18,6,2,4,2,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.20,-0.003,0.00%,0.13
2018-05-11,COL,MIL,"L,10-11",1,1.0,1,1,1,1,1,0,0,5.94,5,20,10,3,2,2,1,0,1,0,,1,1,0,0,0,4,1,0,0,0,0,0,1.31,-0.076,-0.05%,-1.04
2018-05-15,COL,SDP,"L,0-4",3,2.0,2,2,2,0,2,1,0,6.27,8,30,19,4,4,2,4,3,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.27,-0.087,-0.07%,-1.10
2018-05-19,COL,SFG,"L,4-9",3,1.1,5,2,2,1,2,0,0,6.75,10,38,24,6,4,2,5,2,1,0,,1,1,0,0,0,9,1,0,0,0,0,0,1.06,-0.244,-0.21%,-2.21
2018-05-22,COL,LAD,"L,3-5",2,1.0,0,0,0,0,1,0,0,6.43,3,12,8,1,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.17,0.013,0.01%,0.47
2018-05-26,COL,CIN,"L,5-6",3,0.0,2,2,2,0,0,0,0,7.29,2,8,5,0,0,1,1,1,0,0,,0,0,0,0,0,2,0,1,0,0,0,0,2.21,-0.340,-0.25%,-1.92
2018-05-30,COL,SFG,"L,4-7",3,1.0,0,0,0,0,2,0,0,6.95,3,9,8,3,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.14,0.010,0.01%,0.57
2018-06-01,COL,LAD,"L,8-11",1,1.0,1,2,2,1,1,1,0,7.43,5,22,11,7,1,0,3,0,2,0,,0,0,0,0,0,4,0,0,0,0,0,0,.24,-0.061,-0.06%,-1.43
2018-06-03,COL,LAD,"L,7-10",1,0.0,0,1,0,1,0,0,0,7.43,1,7,3,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1.42,-0.018,-0.02%,-0.12
2018-06-07,COL,CIN,"L,5-7",3,1.1,1,2,2,0,1,1,1,7.77,6,16,10,2,1,1,3,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,2.29,-0.228,-0.17%,-1.27
2018-06-08,COL,ARI,"L,4-9",0,2.0,2,2,2,1,1,0,0,7.86,9,26,17,5,1,4,3,2,0,0,,0,0,0,0,0,6,1,1,0,0,1,0,.61,-0.057,-0.05%,-0.87
2018-06-10,COL,ARI,"L,3-8",1,1.1,2,1,1,1,2,0,0,7.81,7,33,18,5,3,2,2,1,0,0,,1,0,0,0,0,6,0,0,0,0,0,0,.12,-0.002,0.00%,-0.08
2018-06-12,COL,PHI,"L,4-5",1,1.0,0,0,0,0,1,0,0,7.53,3,6,5,1,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.16,0.012,0.01%,0.49
2018-06-17,COL,TEX,"L,12-13",4,0.1,0,0,0,0,0,0,1,7.45,2,6,3,1,0,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,3.06,0.075,0.04%,0.35
2018-06-19,COL,NYM,"W,10-8",1,0.1,0,0,0,0,1,0,0,7.36,1,3,3,2,1,0,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,1.74,0.041,0.02%,0.83
2018-06-20,COL,NYM,"W,10-8",0,0.0,1,0,0,2,0,0,0,7.36,3,14,5,0,1,1,0,0,0,0,,3,3,0,0,0,1,0,0,0,0,0,0,2.99,-0.352,-0.18%,-3.00
