date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2016-04-10,ATL,STL,"L,7-12",99,0.2,1,1,1,2,0,0,1,13.50,6,30,13,2,2,1,2,1,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,1.98,-0.198,-0.09%,-1.27
2016-04-12,ATL,WSN,"L,1-2",1,1.0,0,0,0,0,1,0,0,5.40,2,6,4,1,1,0,1,1,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.57,0.145,0.07%,0.90
2016-04-13,ATL,WSN,"L,0-3",0,1.1,0,0,0,1,0,0,0,3.00,5,18,10,4,0,3,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.16,0.016,0.01%,0.75
2016-04-15,ATL,MIA,"W,6-3",1,0.1,0,0,0,0,0,0,0,2.70,1,3,3,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.57,0.015,0.01%,0.34
2016-04-16,ATL,MIA,"W,6-4",0,0.2,0,0,0,0,1,0,0,2.25,2,9,7,0,1,0,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.67,0.084,0.03%,0.49
2016-04-19,ATL,LAD,"W,8-1",2,0.1,0,0,0,0,0,0,0,2.08,1,5,3,1,1,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.04,0.001,0.00%,0.22
2016-04-20,ATL,LAD,"L,3-5",0,0.2,0,0,0,1,0,0,0,1.80,3,9,5,0,0,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.96,0.041,0.02%,0.26
2016-04-23,ATL,NYM,"L,2-8",2,0.2,1,0,0,0,2,0,0,1.59,3,16,10,3,4,0,1,1,0,0,,2,1,0,0,0,3,0,0,0,0,0,0,.58,-0.021,-0.01%,-0.10
2016-04-26,ATL,BOS,"L,4-11",2,0.2,2,1,1,0,0,0,0,2.84,4,13,11,5,1,1,3,2,0,0,,0,0,1,0,0,4,1,0,0,0,0,0,.42,-0.042,-0.01%,-0.83
2016-04-29,ATL,CHC,"L,1-6",2,0.2,1,1,1,1,0,1,0,3.86,4,14,9,4,2,0,3,0,0,0,,3,3,0,0,0,3,0,0,0,0,0,0,.36,-0.074,-0.01%,-2.43
2016-05-26,ATL,MIL,"L,2-6",26,1.1,1,0,0,1,1,0,0,3.24,5,19,10,2,2,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,.56,0.035,0.00%,0.59
2016-05-28,ATL,MIA,"W,7-2",1,1.0,1,0,0,0,1,0,0,2.89,4,16,11,2,2,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.08,0.006,0.00%,0.49
2016-05-31,ATL,SFG,"L,0-4",2,0.1,0,0,0,0,0,0,0,2.79,1,5,3,2,0,0,1,0,0,0,,3,1,0,0,0,0,0,0,0,0,1,0,1.48,-0.022,0.00%,-0.07
2016-06-01,ATL,SFG,"W,5-4",0,1.0,0,0,0,0,2,0,0,2.53,3,13,7,2,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.79,0.134,0.00%,0.49
2016-06-04,ATL,LAD,"L,0-4",2,1.1,0,0,0,1,1,0,0,2.25,5,23,16,2,3,0,3,0,2,0,,0,0,1,0,0,4,0,0,0,0,0,0,1.01,0.064,0.00%,0.71
