date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-05-12,PHI,KCR,"W,6-1",99,7.0,5,1,1,1,5,0,0,1.29,27,93,64,19,6,6,15,12,1,0,67,,,0,0,0,26,0,0,0,0,0,0,.86,0.179,0.13%,2.91
2019-05-17,PHI,COL,"W,5-4",4,6.0,5,4,3,1,2,1,0,2.77,25,84,60,10,5,8,14,4,4,0,49,,,0,0,0,24,2,0,0,1,0,1,1.08,-0.046,-0.04%,-0.76
2019-05-22,PHI,CHC,"L,4-8",4,4.2,7,7,7,3,6,2,1,5.60,24,84,50,13,8,5,9,5,0,0,25,,,0,0,0,20,2,0,0,1,0,0,1.41,-0.434,-0.35%,-4.41
2019-06-01,PHI,LAD,"L,3-4",9,3.2,4,2,2,1,5,1,0,5.48,15,60,37,6,14,2,7,3,2,0,,0,0,0,0,0,14,0,0,0,1,0,0,.97,-0.080,-0.06%,-0.21
2019-06-16,PHI,ATL,"L,1-15",14,3.2,9,6,6,1,4,1,1,6.84,22,71,49,10,7,5,11,4,0,0,,1,1,0,0,0,18,2,0,1,0,1,0,.15,-0.131,-0.15%,-4.76
2019-06-19,PHI,WSN,"L,2-6",2,0.1,3,3,3,0,1,2,0,7.82,4,15,9,3,0,0,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.28,-0.059,-0.05%,-2.74
2019-07-19,PHI,PIT,"W,6-1",29,2.0,1,0,0,0,1,0,0,7.24,7,28,20,7,3,2,4,1,3,0,,0,0,0,0,0,7,0,0,0,0,0,0,.59,0.098,0.07%,1.02
2019-07-26,PHI,ATL,"L,2-9",6,2.0,3,4,4,3,0,0,1,7.98,12,52,27,6,3,4,4,1,0,0,,0,0,0,0,0,7,1,0,0,1,1,0,.25,-0.075,-0.08%,-2.92
2019-09-04,PHI,CIN,"L,5-8",39,1.2,1,0,0,0,1,0,0,7.55,6,19,16,2,5,3,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.65,0.078,0.04%,0.84
2019-09-05,PHI,CIN,"L,3-4",0,0.2,1,0,0,1,1,0,0,7.39,3,14,9,5,0,0,1,1,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.10,0.048,0.02%,0.56
2019-09-07,PHI,NYM,"W,5-0",1,1.0,1,0,0,0,0,0,0,7.16,3,8,6,0,2,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.44,0.014,0.01%,0.49
2019-09-11,PHI,ATL,"L,1-3",3,2.0,1,0,0,1,2,0,0,6.75,8,25,18,6,2,2,3,2,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.61,0.080,0.04%,1.08
2019-09-15,PHI,BOS,"L,3-6",3,2.0,1,0,0,1,0,0,0,6.38,8,20,14,4,1,5,2,2,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.37,0.041,0.01%,1.08
2019-09-22,PHI,CLE,"L,1-10",6,0.1,1,1,1,0,1,0,0,6.57,2,12,10,0,2,0,1,1,0,0,,3,3,0,0,0,2,1,0,0,0,0,0,.10,-0.010,0.00%,-1.32
2019-09-24,PHI,WSN,"L,5-6",1,1.2,1,0,0,0,0,0,0,6.28,5,21,14,5,1,1,4,3,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.71,0.076,0.00%,1.01
2019-09-27,PHI,MIA,"W,5-4",2,3.0,1,0,0,0,2,0,0,5.83,10,33,24,8,2,3,5,4,1,0,,0,0,0,0,0,10,0,0,0,0,0,0,1.01,0.224,0.00%,1.62
2021-04-03,OAK,HOU,"L,1-9",99,4.1,7,4,4,1,2,0,2,8.31,22,82,55,13,4,9,8,4,1,0,34,,,0,0,0,19,1,0,0,1,0,0,1.32,-0.057,-0.03%,-0.43
2021-04-08,OAK,HOU,"L,2-6",4,5.1,5,4,4,1,3,2,0,7.45,23,79,51,10,5,8,11,4,0,0,44,,,1,0,0,22,2,0,0,0,0,1,.72,-0.059,-0.03%,-0.39
2021-04-17,OAK,DET,"W,7-0",8,6.0,4,0,0,0,6,0,1,4.60,23,93,63,14,8,6,10,7,0,0,70,,,0,0,0,22,0,0,0,0,0,0,.77,0.222,0.13%,2.97
2021-04-23,OAK,BAL,"W,3-1",5,5.1,8,1,1,1,6,0,0,3.86,25,93,69,13,16,7,11,5,2,0,53,,,0,0,0,24,1,0,0,0,0,0,1.35,0.025,0.02%,0.61
2021-04-28,OAK,TBR,"L,0-2",4,6.0,7,2,2,1,8,1,0,3.67,24,98,61,16,10,4,11,5,1,0,57,,,0,1,1,23,2,0,0,0,0,0,.95,0.013,0.01%,0.87
