date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-31,HOU,TEX,"W,9-3",99,1.1,0,0,0,1,0,0,0,0.00,5,21,11,5,2,2,2,1,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.09,0.011,0.01%,1.03
2018-04-02,HOU,BAL,"W,6-1",1,1.0,2,1,1,0,1,1,0,3.86,5,16,10,4,1,2,2,0,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.15,0.003,0.00%,-0.49
2018-04-06,HOU,SDP,"L,1-4",3,2.1,2,0,0,0,4,0,1,1.93,10,36,25,10,5,4,1,0,1,0,,1,0,0,0,0,9,0,0,0,0,0,0,.66,0.091,0.06%,1.34
2018-04-10,HOU,MIN,"L,1-4",3,2.0,1,0,0,1,5,0,0,1.35,8,41,25,8,4,1,1,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.50,0.064,0.04%,1.03
2018-04-18,HOU,SEA,"W,7-1",7,1.0,0,0,0,0,2,0,0,1.17,3,18,15,3,4,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,0.00%,0.48
2018-04-20,HOU,CHW,"W,10-0",1,1.0,0,0,0,0,1,0,0,1.04,3,7,6,3,1,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.50
2018-04-23,HOU,LAA,"L,0-2",2,1.0,0,0,0,0,1,0,0,0.93,3,12,9,4,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.23,0.018,0.02%,0.51
2018-04-27,HOU,OAK,"L,1-8",3,1.0,0,0,0,0,3,0,0,0.84,3,13,12,5,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.51
2018-05-02,HOU,NYY,"L,0-4",4,1.1,1,0,0,0,1,0,0,0.75,5,21,15,1,5,2,2,1,1,0,,2,0,0,0,0,5,0,0,0,0,0,0,.09,0.010,0.01%,0.95
2018-05-05,HOU,ARI,"L,3-4",2,1.1,1,0,0,2,1,0,0,0.68,7,33,16,6,0,1,3,0,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.58,-0.010,-0.01%,-0.40
