date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,CLE,SEA,"L,1-2",99,8.0,6,2,2,1,8,1,0,2.25,29,91,66,19,13,11,9,6,0,0,69,,,0,0,0,28,1,0,0,2,0,0,.57,0.069,0.04%,1.84
2018-04-04,CLE,LAA,"L,2-3",5,7.0,3,2,2,2,6,1,0,2.40,25,96,64,23,10,7,10,3,2,0,67,,,0,0,0,23,0,0,0,0,0,0,1.01,0.177,0.10%,1.51
2018-04-09,CLE,DET,"W,2-0",4,8.0,2,0,0,1,13,0,0,1.57,27,103,72,29,12,7,6,3,1,0,90,,,0,0,0,26,0,0,0,0,0,0,.90,0.504,0.34%,4.22
2018-04-17,CLE,MIN,"W,6-1",7,6.2,5,1,1,2,6,0,0,1.52,28,104,69,24,9,6,14,6,2,0,64,,,0,0,0,26,2,0,0,0,0,1,1.10,0.308,0.25%,2.29
2018-04-22,CLE,BAL,"W,7-3",4,7.0,6,3,3,0,4,2,0,1.96,26,98,66,13,9,10,12,5,1,0,57,,,0,0,0,26,1,0,0,1,0,0,.99,-0.011,-0.01%,0.12
2018-04-27,CLE,SEA,"W,6-5",4,8.2,4,3,3,3,10,1,0,2.18,32,116,79,26,14,8,11,6,2,0,71,,,0,0,0,29,0,0,0,1,0,0,.51,0.268,0.19%,2.50
2018-05-02,CLE,TEX,"W,12-4",4,7.0,6,3,3,0,6,3,0,2.41,26,99,65,18,10,10,10,4,2,0,59,,,0,0,0,26,0,0,0,1,0,0,.29,0.047,0.03%,0.69
2018-05-08,CLE,MIL,"L,2-3",5,6.0,5,3,3,1,4,2,0,2.62,24,95,59,16,7,12,7,3,1,0,53,,,0,0,0,23,0,0,0,1,0,2,.81,-0.057,-0.04%,-0.04
2018-05-13,CLE,KCR,"W,11-2",4,7.0,8,2,0,0,4,0,0,2.34,29,97,69,17,10,13,12,6,2,0,61,,,0,0,0,29,1,0,0,1,0,1,.38,0.154,0.12%,1.69
2018-05-19,CLE,HOU,"W,5-4",5,7.0,6,2,2,0,10,1,1,2.36,27,110,72,20,14,9,7,3,1,0,67,,,0,0,0,26,1,0,0,1,0,0,.81,0.237,0.17%,1.54
2018-05-25,CLE,HOU,"L,2-11",5,6.1,7,0,0,0,7,0,0,2.17,26,103,71,17,14,11,8,5,0,0,66,,,0,1,0,26,1,0,0,0,0,1,1.21,0.211,0.15%,2.08
2018-05-30,CLE,CHW,"W,9-1",4,6.0,3,0,0,0,10,0,0,2.02,20,90,61,17,13,3,7,4,0,0,76,,,0,1,0,20,1,0,0,0,0,0,.50,0.171,0.13%,3.16
2018-06-05,CLE,MIL,"W,3-2",5,7.0,7,1,1,0,7,0,0,1.96,27,112,74,19,8,10,10,8,1,0,66,,,0,0,0,27,1,0,0,1,0,0,.99,0.320,0.24%,2.69
2018-06-10,CLE,DET,"W,9-2",4,8.0,5,2,2,0,8,1,0,1.99,29,106,76,23,10,12,9,3,0,0,72,,,0,0,0,29,1,0,0,0,0,1,.72,0.226,0.24%,2.22
2018-06-15,CLE,MIN,"L,3-6",4,5.0,4,4,4,1,3,2,0,2.24,19,65,41,14,3,7,8,4,1,0,45,,,0,0,0,18,1,0,0,1,0,0,.68,-0.166,-0.16%,-1.37
2018-06-20,CLE,CHW,"W,12-0",4,7.0,1,0,0,1,7,0,0,2.10,22,96,65,17,14,8,6,0,2,0,81,,,0,1,0,21,0,0,0,0,0,0,.50,0.244,0.19%,3.69
2018-06-26,CLE,STL,"L,2-11",5,1.2,6,6,6,1,2,2,0,2.54,12,48,31,3,7,1,8,4,0,0,20,,,0,0,0,10,0,0,0,0,1,0,1.45,-0.493,-0.29%,-5.16
2018-07-02,CLE,KCR,"W,9-3",5,6.0,7,3,3,0,5,1,0,2.64,25,99,63,12,12,8,12,7,1,0,51,,,0,0,0,25,1,0,0,0,0,0,.56,0.021,0.01%,0.07
2018-07-07,CLE,OAK,"L,3-6",4,7.0,5,0,0,2,3,0,0,2.49,27,102,63,20,8,7,15,4,1,0,68,,,0,0,0,25,1,0,0,1,0,0,1.05,0.392,0.12%,3.69
2018-07-12,CLE,NYY,"L,4-7",4,7.1,8,6,6,2,9,2,0,2.76,32,114,72,16,18,6,15,6,0,0,45,,,0,0,0,29,4,0,0,0,0,0,1.24,-0.285,-0.11%,-1.49
2018-07-23,CLE,PIT,"L,0-7",10,4.0,9,7,3,1,2,1,0,2.88,22,72,49,7,9,6,13,4,1,0,25,,,0,0,0,21,1,1,0,1,0,1,.73,-0.333,-0.11%,-4.89
2018-07-29,CLE,DET,"W,8-1",5,7.1,5,1,1,1,5,0,0,2.79,27,94,70,13,16,11,10,4,2,0,68,,,0,1,0,26,2,0,0,0,0,0,.80,0.189,0.08%,2.67
2018-08-04,CLE,LAA,"W,3-0",5,9.0,3,0,0,1,7,0,1,2.63,32,98,64,19,7,13,10,5,2,0,87,,,0,0,0,30,1,0,0,0,0,0,.92,0.516,0.15%,4.74
2018-08-09,CLE,MIN,"W,5-4",4,7.0,7,4,4,0,7,1,0,2.74,27,117,77,22,7,8,12,5,0,0,54,,,0,1,0,26,1,0,0,0,1,0,1.01,-0.011,0.00%,-0.31
2018-08-14,CLE,CIN,"W,8-1",4,7.0,5,1,1,2,7,0,0,2.68,26,96,60,20,6,10,7,5,0,0,68,,,0,1,0,24,0,1,0,1,0,0,.24,0.116,0.01%,2.45
2018-08-20,CLE,BOS,"W,5-4",5,6.1,9,3,3,1,6,0,0,2.74,28,108,65,14,15,8,13,9,1,0,48,,,0,1,0,27,2,0,0,0,0,0,.79,0.013,0.00%,0.44
2018-08-25,CLE,KCR,"L,1-7",4,5.1,9,5,5,2,6,1,0,2.91,25,88,57,16,11,8,9,6,1,0,34,,,1,0,0,22,2,0,0,2,0,0,.93,-0.232,-0.02%,-2.86
