date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-09,BOS,PHI,"W,6-2",99,1.0,1,0,0,1,1,0,0,0.00,5,19,14,5,1,0,3,2,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.07,0.029,0.02%,0.45
2015-04-10,BOS,NYY,"W,6-5",0,2.0,0,0,0,0,1,0,1,0.00,7,26,13,4,2,3,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,2.29,0.271,0.19%,0.98
2015-04-12,BOS,NYY,"L,4-14",1,1.2,0,0,0,3,1,0,0,0.00,7,33,16,6,1,2,1,0,0,0,,1,0,0,1,0,4,0,0,0,0,0,0,.07,0.007,0.01%,1.01
2015-04-15,BOS,WSN,"L,5-10",2,2.0,0,0,0,1,2,0,0,0.00,7,27,17,2,4,1,3,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.05,0.006,0.00%,1.04
2015-04-19,BOS,BAL,"L,3-8",3,3.0,2,0,0,0,3,0,0,0.00,11,36,25,3,5,1,7,1,3,0,,1,0,0,0,0,11,1,0,0,0,0,0,.15,0.033,0.02%,2.19
2015-04-22,BOS,TBR,"L,5-7",2,0.2,1,0,0,0,1,0,0,0.00,3,9,8,0,3,0,2,1,1,0,,3,2,0,0,0,3,0,0,0,0,0,0,3.13,-0.042,-0.03%,-0.13
2015-04-24,BOS,BAL,"W,7-5",1,0.2,0,0,0,1,0,0,0,0.00,3,8,3,0,0,1,1,0,0,0,,2,1,0,0,0,0,0,0,1,0,1,0,4.06,-0.051,-0.04%,-0.11
2015-04-26,BOS,BAL,"L,7-18",1,0.2,3,2,1,0,1,0,0,0.77,5,19,15,0,4,2,2,2,0,0,,1,1,0,0,0,5,1,0,0,0,0,0,.00,0.000,0.00%,-2.32
2015-04-28,BOS,TOR,"L,8-11",1,1.1,2,1,1,1,2,1,0,1.38,7,24,15,6,1,1,3,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.22,-0.019,-0.01%,-0.23
2015-05-03,BOS,NYY,"L,5-8",4,0.0,3,3,3,0,0,1,0,3.46,3,16,10,2,3,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.23,-0.040,-0.03%,-3.00
2015-05-04,BOS,TBR,"L,1-5",0,2.0,1,0,0,0,0,0,0,3.00,7,26,19,3,2,1,6,1,3,0,,0,0,0,0,0,7,1,0,0,0,0,0,.10,0.013,0.01%,1.04
2015-05-08,BOS,TOR,"L,0-7",3,1.0,0,0,0,0,2,0,0,2.81,3,16,10,5,1,1,0,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,1.12
2015-05-11,BOS,OAK,"W,5-4",2,0.2,2,1,1,0,1,0,0,3.24,4,11,9,0,2,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,1,0,2.55,-0.191,-0.09%,-0.75
2015-05-17,BOS,SEA,"L,0-5",5,0.2,1,1,1,0,0,1,0,3.63,3,9,5,0,0,1,2,1,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,.05,-0.019,-0.01%,-1.51
2015-05-22,BOS,LAA,"L,5-12",4,2.0,2,1,1,1,1,0,1,3.72,10,31,23,5,4,1,6,2,0,0,,0,0,0,0,0,7,1,0,0,0,1,0,.01,-0.003,0.00%,0.04
2015-05-25,BOS,MIN,"L,2-7",2,1.0,2,0,0,0,1,0,0,3.54,4,16,11,3,1,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.05,0.005,0.00%,0.49
2015-05-29,BOS,TEX,"L,4-7",3,1.0,3,2,2,1,1,0,0,4.22,6,26,14,2,3,3,1,0,0,0,,1,1,0,0,0,5,0,0,0,1,0,0,.52,-0.046,-0.02%,-0.63
2015-06-04,BOS,MIN,"L,4-8",5,1.0,1,0,0,1,0,0,0,4.03,5,15,8,1,1,0,4,1,1,0,,2,2,0,0,0,3,1,0,1,0,1,0,.39,-0.030,-0.01%,-0.48
2015-06-17,BOS,ATL,"L,2-5",12,1.0,1,1,1,1,1,0,0,4.24,5,15,7,2,1,2,1,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,.20,-0.025,-0.01%,-0.55
2015-06-20,BOS,KCR,"L,4-7",2,2.0,1,0,0,0,1,0,0,3.91,6,19,11,2,1,1,4,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.17,0.019,0.00%,1.01
2015-06-23,BOS,BAL,"L,4-6",2,2.0,1,0,0,0,1,0,0,3.62,6,29,21,7,3,1,4,1,0,0,,0,0,0,1,0,6,0,0,0,0,0,0,.15,0.025,0.01%,1.04
2015-06-26,BOS,TBR,"W,4-3",2,0.2,1,0,0,1,1,0,0,3.54,4,12,5,0,2,2,0,0,0,0,,0,0,0,0,0,3,1,0,1,0,0,0,3.13,-0.001,0.00%,-0.11
2015-07-02,BOS,TOR,"W,12-6",5,1.0,3,2,2,0,0,2,0,4.03,6,17,11,2,0,1,5,3,1,0,,0,0,0,0,0,6,1,0,0,0,0,0,.07,0.001,0.00%,-1.50
2015-07-03,BOS,HOU,"L,8-12",0,1.1,1,1,1,0,0,1,0,4.15,5,12,8,1,1,3,2,1,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,1.03,-0.158,-0.05%,-0.03
2015-07-10,BOS,NYY,"L,1-5",6,1.0,1,0,0,0,0,0,0,4.02,4,8,7,2,0,2,2,1,1,0,,2,1,0,0,0,4,0,0,0,0,0,0,.46,-0.002,0.00%,0.52
2015-07-12,BOS,NYY,"L,6-8",1,0.1,0,0,0,0,0,0,0,3.98,1,3,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.04,0.001,0.00%,0.11
2015-07-20,BOS,LAA,"L,1-11",7,1.0,1,0,0,1,1,0,0,3.86,5,22,13,4,4,0,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.00%,0.46
2015-07-20,BOS,LAA,"L,3-7",-1,1.0,0,0,0,0,1,0,0,3.74,3,11,8,2,2,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.002,0.00%,0.46
2015-07-23,BOS,HOU,"L,4-5",2,1.1,1,1,1,0,1,1,0,3.86,5,18,10,3,2,1,3,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.63,-0.265,-0.04%,-0.31
2015-07-25,BOS,DET,"L,1-5",1,1.0,1,0,0,0,1,0,0,3.75,3,9,6,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.09,0.004,0.00%,0.52
2015-07-27,BOS,CHW,"L,8-10",1,1.0,1,1,0,2,1,0,0,3.65,6,23,10,1,2,1,2,1,0,0,,1,0,0,0,0,4,1,0,1,0,0,0,1.46,-0.085,-0.01%,-0.53
2015-07-29,BOS,CHW,"L,2-9",1,3.0,0,0,0,1,3,0,0,3.38,10,43,30,6,7,4,2,1,1,0,,2,0,0,0,0,9,0,0,0,0,0,0,.25,0.057,0.00%,2.91
2015-08-01,BOS,TBR,"W,11-7",2,1.2,2,0,0,0,0,0,0,3.24,7,20,16,3,1,4,3,0,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.73,0.049,0.00%,0.53
2015-08-04,BOS,NYY,"L,3-13",2,0.2,4,5,5,1,1,1,0,4.25,7,28,15,5,2,0,5,2,0,0,,2,2,0,0,0,6,2,0,0,0,0,0,.26,-0.069,0.00%,-4.01
2015-08-11,BOS,MIA,"L,4-5",6,0.1,2,1,1,1,1,0,0,4.43,4,14,8,3,1,0,2,2,0,0,,0,0,0,0,0,3,0,1,1,0,0,0,2.70,-0.374,-0.02%,-1.68
2015-08-14,BOS,SEA,"W,15-1",2,2.0,2,0,0,0,1,0,0,4.23,8,35,21,5,1,1,6,3,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.00,0.001,0.00%,1.04
2015-08-16,BOS,SEA,"L,8-10",1,2.0,4,2,2,1,1,0,0,4.44,11,32,20,6,3,6,3,2,0,0,,0,0,0,0,0,9,0,0,0,1,0,1,2.51,-0.153,-0.01%,-1.80
2015-08-22,BOS,KCR,"L,3-6",5,1.2,1,1,0,1,1,0,0,4.28,8,40,24,5,4,4,2,0,1,0,,0,0,0,0,0,7,0,0,0,0,0,1,.28,-0.020,0.00%,-0.20
2015-08-28,BOS,NYM,"W,6-4",5,0.1,0,0,0,0,0,0,0,4.25,1,5,3,1,0,0,1,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,6.74,0.165,0.00%,0.73
2015-09-02,BOS,NYY,"L,8-13",4,2.2,5,1,1,1,1,0,0,4.21,12,40,25,1,6,7,3,1,0,0,,0,0,0,0,0,11,1,0,0,2,0,0,.02,-0.001,0.00%,0.33
2015-09-09,BOS,TOR,"W,10-4",6,1.0,3,3,3,0,2,1,0,4.64,6,30,19,4,6,3,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.02,-0.001,0.00%,-2.48
2015-09-15,BOS,BAL,"L,5-6",5,2.1,1,1,1,0,3,1,0,4.61,8,33,21,5,7,0,5,2,1,0,,2,1,0,0,0,7,0,0,0,0,1,0,.66,-0.089,0.00%,0.07
2015-09-22,BOS,TBR,"L,2-5",6,1.0,1,0,0,0,1,0,0,4.53,3,23,15,2,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.23,0.009,0.00%,0.52
