date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-07-28,STL,CHC,"W,6-2",99,1.0,0,0,0,0,2,0,0,0.00,3,13,7,1,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.35,0.026,0.01%,0.47
2018-07-30,STL,COL,"W,5-4",1,1.0,1,0,0,1,1,0,0,0.00,5,19,10,2,4,1,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,3.08,0.131,0.05%,0.47
2018-08-01,STL,COL,"W,6-3",1,1.0,0,0,0,0,0,0,0,0.00,3,8,7,3,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.25,0.093,0.04%,0.47
2018-08-04,STL,PIT,"W,8-4",2,3.0,0,0,0,0,1,0,0,0.00,9,28,22,5,3,4,4,1,1,0,,0,0,0,0,0,9,0,0,0,0,0,0,.74,0.165,0.07%,1.39
2018-08-07,STL,MIA,"W,3-2",2,1.0,1,0,0,0,0,0,0,0.00,4,8,7,1,1,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.96,0.134,0.06%,0.45
2018-08-08,STL,MIA,"W,7-1",0,1.2,0,0,0,0,0,0,0,0.00,5,18,11,4,1,2,3,3,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.50,0.062,0.03%,0.69
2018-08-11,STL,KCR,"W,8-3",2,0.2,1,1,1,2,0,0,0,0.96,4,17,9,3,1,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.11,-0.012,-0.01%,-0.72
2018-08-13,STL,WSN,"W,7-6",1,0.2,0,0,0,0,1,0,0,0.90,2,5,4,1,1,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,4.53,0.351,0.30%,1.37
2018-08-14,STL,WSN,"W,6-4",0,0.1,1,0,0,1,1,0,0,0.87,3,10,6,3,1,1,0,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,1.65,-0.011,-0.01%,-0.69
2018-08-17,STL,MIL,"W,5-2",2,1.0,1,0,0,0,0,0,0,0.79,3,11,8,2,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.95,0.043,0.05%,0.47
2018-08-20,STL,LAD,"W,5-3",2,1.2,0,1,1,3,2,0,0,1.38,8,37,19,7,2,3,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.38,0.098,0.11%,0.53
2018-08-22,STL,LAD,"W,3-1",1,1.0,1,0,0,1,0,0,0,1.29,6,27,16,2,3,5,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,1,3.08,0.103,0.13%,0.47
2018-08-25,STL,COL,"L,1-9",2,0.1,3,3,3,0,0,0,0,3.14,4,7,7,2,0,3,1,1,0,0,,0,0,0,0,0,4,2,0,0,0,0,0,1.35,-0.337,-0.41%,-2.43
2018-08-28,STL,PIT,"W,5-2",2,0.1,0,0,0,0,0,0,0,3.07,1,4,3,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,2.68,0.068,0.07%,0.42
2018-08-30,STL,PIT,"W,5-0",1,1.0,1,0,0,2,2,0,0,2.87,6,23,11,3,3,1,1,1,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.33,0.002,0.00%,0.14
2018-09-02,STL,CIN,"L,4-6",2,2.0,0,0,0,1,0,0,0,2.55,7,23,12,5,0,5,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.25,0.179,0.18%,0.94
2018-09-04,STL,WSN,"W,11-8",1,1.0,0,0,0,1,1,0,0,2.41,3,14,8,3,2,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.61,0.083,0.08%,0.51
2018-09-05,STL,WSN,"W,7-6",0,0.1,2,2,2,1,0,0,0,3.32,4,17,7,2,0,0,3,3,0,0,,2,2,0,0,0,3,1,0,0,0,0,0,1.70,-0.213,-0.23%,-3.39
2018-09-09,STL,DET,"W,5-2",3,0.1,0,0,0,1,0,0,0,3.26,2,9,4,1,1,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.54,0.032,0.03%,0.33
2018-09-14,STL,LAD,"L,0-3",4,1.0,1,1,0,0,1,0,1,3.10,4,14,9,2,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.60,-0.093,-0.13%,-0.53
