date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-01,COL,LAD,"W,8-5",99,1.0,1,0,0,1,2,0,1,0.00,6,24,18,8,3,0,2,2,0,0,,0,0,0,0,0,4,0,1,0,0,0,0,2.51,0.039,0.02%,0.57
2021-04-03,COL,LAD,"L,5-6",1,1.0,1,0,0,1,2,0,0,0.00,5,18,12,3,2,1,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.10,0.046,0.03%,0.57
2021-04-06,COL,ARI,"L,8-10",2,1.0,0,1,0,0,1,0,0,0.00,4,14,11,2,3,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,3.24,-0.032,-0.02%,0.21
2021-04-08,COL,ARI,"W,7-3",1,0.2,0,0,0,0,1,0,0,0.00,2,6,5,2,1,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.76,0.038,0.02%,0.98
2021-04-14,COL,LAD,"L,2-4",5,1.0,2,1,1,1,1,1,0,1.93,6,21,14,5,2,2,2,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.39,-0.058,-0.03%,-0.49
2021-04-17,COL,NYM,"L,3-4",2,1.0,4,2,2,0,2,0,0,4.76,7,22,16,2,1,1,4,4,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,2.36,-0.598,-0.19%,-1.43
2021-04-18,COL,NYM,"L,1-2",0,1.0,1,0,0,0,2,0,0,4.05,3,16,10,0,4,0,1,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,.59,0.046,0.01%,0.57
2021-04-21,COL,HOU,"W,6-3",2,1.0,2,1,1,0,0,0,0,4.70,5,14,11,3,0,3,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.90,0.018,0.01%,-0.43
2021-04-27,COL,SFG,"W,7-5",5,1.0,1,1,1,1,0,1,0,5.19,6,23,14,3,2,2,3,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,1,2.85,-0.300,-0.11%,-0.50
2021-05-02,COL,ARI,"L,4-8",4,0.1,4,4,4,1,0,0,0,9.00,6,24,13,2,3,1,4,2,0,0,,0,0,0,0,0,5,2,1,0,0,0,0,1.85,-0.382,-0.13%,-4.18
