date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-06-21,NYY,DET,"L,4-12",99,0.2,3,4,4,1,1,1,0,54.00,6,22,13,4,2,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.14,-0.040,-0.03%,-3.61
2015-09-01,ATL,MIA,"L,1-7",71,2.0,0,0,0,0,4,0,0,13.50,6,21,15,7,5,2,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.01,0.001,0.00%,0.90
2015-09-03,ATL,WSN,"L,1-15",1,1.0,3,2,2,1,0,0,0,14.73,7,31,15,5,0,2,4,2,0,0,,0,0,0,0,0,5,1,0,0,0,1,0,.00,0.000,0.00%,-1.53
2015-09-05,ATL,WSN,"L,2-8",1,1.2,0,0,0,0,1,0,0,10.13,5,23,15,6,1,1,3,1,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.03,0.003,0.00%,0.97
2015-09-08,ATL,PHI,"L,0-5",2,1.0,3,3,3,1,1,1,0,12.79,7,28,18,1,6,1,4,3,0,0,,2,0,0,0,0,6,0,0,0,0,0,0,.37,-0.016,0.00%,-2.18
2015-09-13,ATL,NYM,"L,7-10",4,0.1,0,0,0,1,0,0,0,12.15,2,6,2,1,0,1,0,0,0,0,,3,1,0,0,0,1,0,0,0,0,0,0,.58,-0.026,0.00%,-0.27
2015-09-16,ATL,TOR,"L,1-9",2,2.0,1,0,0,1,0,0,1,9.35,7,31,20,4,0,4,1,1,0,0,,0,0,0,0,0,5,0,0,0,2,0,0,.10,0.006,0.00%,0.90
2015-09-21,ATL,NYM,"L,0-4",4,0.1,0,0,0,0,1,0,0,9.00,1,6,4,1,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.04,0.001,0.00%,0.21
2015-09-25,ATL,MIA,"L,11-12",3,1.0,1,0,0,0,0,0,0,8.10,3,10,7,1,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.14,0.005,0.00%,0.45
2015-09-26,ATL,MIA,"L,2-6",0,0.2,0,0,0,0,0,0,0,7.59,2,8,4,1,0,1,1,0,0,0,,2,1,0,0,0,1,0,0,0,0,1,0,.02,-0.001,0.00%,0.34
2015-09-27,ATL,MIA,"L,5-9",0,0.1,0,0,0,0,0,0,0,7.36,1,3,2,0,0,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.14,0.004,0.00%,0.21
2015-10-01,ATL,WSN,"L,0-3",3,1.0,0,0,0,0,2,0,0,6.75,4,14,9,2,3,2,0,0,0,0,,2,2,0,0,0,4,0,0,0,0,0,1,1.13,-0.087,0.00%,-0.58
2015-10-02,ATL,STL,"W,4-0",0,1.0,0,0,0,0,1,0,0,6.23,3,15,8,3,2,2,0,0,0,0,,1,0,1,0,0,3,0,0,0,0,0,0,1.68,0.124,0.00%,0.82
