date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,KCR,CHW,"L,7-14",99,4.0,7,5,5,2,5,3,0,11.25,20,78,46,14,7,3,10,5,0,0,31,,,0,0,0,18,3,0,0,0,0,0,.83,-0.331,-0.20%,-2.96
2018-04-06,KCR,CLE,"L,2-3",7,5.2,3,3,3,3,3,0,0,7.45,25,99,54,17,6,6,13,5,1,0,51,,,0,0,0,22,1,0,0,0,0,1,1.08,-0.042,-0.03%,-0.17
2018-04-11,KCR,SEA,"L,2-4",4,5.1,4,2,1,3,7,0,0,5.40,23,101,61,15,10,3,10,4,3,0,58,,,0,0,0,19,1,0,0,0,1,0,1.13,-0.018,-0.01%,0.14
2018-04-17,KCR,TOR,"L,4-5",5,6.0,2,0,0,3,8,0,0,3.86,22,100,64,18,15,5,6,3,2,0,73,,,0,0,0,19,1,0,0,1,0,0,1.07,0.344,0.12%,3.01
2018-04-21,KCR,DET,"L,4-12",3,4.2,10,6,6,2,2,1,0,5.26,27,101,64,16,4,9,14,10,0,0,20,,,0,0,0,25,1,0,0,0,0,1,1.14,-0.249,-0.09%,-1.88
2018-04-27,KCR,CHW,"L,4-7",5,6.0,6,4,4,1,3,1,0,5.40,25,106,74,14,9,8,13,5,2,0,46,,,0,0,0,23,0,2,0,0,0,0,.90,-0.156,-0.04%,-0.93
2018-05-02,KCR,BOS,"L,4-5",4,6.2,10,5,5,1,6,4,0,5.63,29,111,73,18,15,6,16,4,3,0,39,,,0,0,1,28,1,0,0,1,0,0,.98,-0.245,-0.06%,-1.39
2018-05-08,KCR,BAL,"W,15-7",5,5.1,6,1,1,2,5,1,0,5.15,24,101,65,14,13,8,9,4,1,0,55,,,0,0,0,22,0,0,0,0,0,0,.12,0.017,0.01%,1.48
2018-05-13,KCR,CLE,"L,2-11",4,3.1,8,9,9,5,2,2,1,6.51,24,87,51,16,6,5,11,4,0,0,5,,,1,0,0,18,2,0,0,0,0,0,.74,-0.346,-0.11%,-7.17
2018-05-19,KCR,NYY,"L,3-8",5,4.0,7,5,5,3,4,2,0,6.88,22,95,58,11,8,1,14,5,1,0,29,,,0,0,0,19,1,0,0,0,0,0,.96,-0.353,-0.06%,-2.96
2018-05-24,KCR,TEX,"W,8-2",4,7.2,4,1,1,2,5,0,0,6.14,26,113,76,22,11,9,10,5,2,0,70,,,0,1,0,24,1,0,0,1,0,0,.62,0.332,0.05%,3.25
2018-05-29,KCR,MIN,"W,2-1",4,6.0,4,1,1,4,4,0,0,5.71,24,108,66,13,9,6,10,4,2,0,60,,,0,0,0,20,0,0,0,0,0,0,1.01,0.197,0.03%,2.07
2018-06-04,KCR,LAA,"L,6-9",5,5.0,7,4,4,3,0,2,0,5.81,25,99,59,11,6,1,21,5,4,0,34,,,0,0,0,21,0,0,1,0,1,0,1.28,-0.146,-0.02%,-1.50
2018-06-09,KCR,OAK,"W,2-0",4,7.0,3,0,0,3,10,0,0,5.28,27,98,63,16,18,7,7,3,2,0,78,,,0,0,0,24,0,0,0,0,0,0,1.34,0.496,0.03%,3.47
2018-06-16,KCR,HOU,"L,2-10",6,6.0,7,7,6,3,5,1,0,5.55,28,101,59,17,6,4,16,9,1,0,34,,,1,0,0,24,2,0,0,0,1,1,.76,-0.321,-0.01%,-3.93
2018-06-22,KCR,HOU,"W,1-0",5,6.0,2,0,0,4,7,0,1,5.18,23,104,63,19,12,6,5,2,0,0,71,,,0,0,0,18,1,0,0,2,0,0,1.38,0.357,0.00%,3.03
2018-06-27,KCR,MIL,"W,5-4",4,6.0,5,1,1,2,7,1,0,4.94,25,95,64,17,19,6,10,6,0,0,63,,,1,0,0,23,1,0,0,0,0,0,.97,0.156,0.00%,1.96
2018-07-03,KCR,CLE,"L,4-6",5,6.0,8,6,6,2,3,1,1,5.19,29,104,61,15,9,11,12,6,2,0,33,,,0,0,0,25,0,0,0,0,1,0,1.26,-0.449,0.00%,-2.93
2018-07-09,KCR,MIN,"L,1-3",5,6.0,6,0,0,2,9,0,0,4.89,26,109,66,21,12,6,9,7,1,0,67,,,0,0,0,24,0,0,0,0,0,0,1.31,0.391,0.00%,3.10
2018-07-14,KCR,CHW,"W,5-0",4,7.0,4,0,0,3,8,0,0,4.59,28,114,74,18,16,8,9,4,1,0,74,,,0,0,0,25,0,0,0,0,0,0,1.17,0.382,0.00%,3.51
2018-07-20,KCR,MIN,"W,6-5",5,7.0,5,1,1,3,4,0,0,4.40,29,114,67,22,7,11,11,2,5,0,64,,,0,0,0,25,0,0,0,0,1,0,1.16,0.281,0.00%,2.58
2018-07-25,KCR,DET,"L,4-8",4,5.2,9,7,7,2,6,1,0,4.70,28,107,68,18,8,9,11,3,1,0,27,,,0,0,0,25,2,0,0,0,0,0,.81,-0.377,0.00%,-4.17
2018-07-31,KCR,CHW,"W,4-2",5,5.2,6,0,0,4,7,0,0,4.50,27,112,68,13,17,6,10,5,2,0,60,,,0,1,0,23,1,0,0,0,0,0,1.33,0.288,0.00%,2.57
2018-08-05,KCR,MIN,"L,5-6",4,6.0,8,6,6,1,6,1,0,4.70,26,103,69,16,11,7,12,6,3,0,37,,,1,0,0,25,2,0,0,1,0,0,.87,-0.355,0.00%,-2.90
2018-08-11,KCR,STL,"L,3-8",5,5.1,8,6,6,1,2,1,0,4.90,25,100,63,20,2,10,12,6,2,0,29,,,0,0,0,24,2,1,0,0,0,0,.76,-0.331,0.00%,-3.20
2018-08-23,KCR,TBR,"L,3-4",11,5.0,6,2,2,2,7,0,1,4.85,24,96,54,11,5,3,11,7,0,0,52,,,1,0,0,20,1,0,0,0,1,0,1.32,0.033,0.00%,0.48
2018-08-29,KCR,DET,"W,9-2",5,6.0,2,1,1,3,6,0,0,4.72,24,103,64,18,10,6,9,4,1,0,67,,,0,0,0,21,0,0,0,0,0,1,.69,0.116,0.00%,2.07
2018-09-04,KCR,CLE,"L,3-9",5,0.2,4,3,3,1,0,1,0,4.88,7,26,14,4,0,3,3,1,0,0,31,,,0,0,0,6,0,0,0,0,0,0,1.32,-0.250,0.00%,-2.93
2019-04-26,KCR,LAA,"L,1-5",99,5.0,5,3,3,3,1,1,0,5.40,22,86,51,15,4,9,9,4,1,0,43,,,0,0,0,19,2,0,0,1,0,0,.80,-0.063,-0.02%,-0.21
2019-05-02,KCR,TBR,"L,1-3",5,6.0,6,1,1,1,6,0,0,3.27,23,100,73,15,17,5,11,7,1,0,61,,,0,1,0,22,0,0,0,1,0,0,1.15,0.243,0.07%,2.35
2019-05-07,KCR,HOU,"W,12-2",4,6.2,6,2,2,3,5,1,1,3.06,27,100,59,14,8,9,9,3,2,0,56,,,0,0,0,23,2,0,0,3,0,0,.57,0.155,0.03%,2.44
2019-05-14,KCR,TEX,"W,11-5",6,5.0,7,4,4,1,6,0,0,3.97,23,107,66,13,6,6,10,6,1,0,42,,,0,0,0,22,5,0,0,0,0,0,.54,0.095,0.02%,-1.21
2019-05-19,KCR,LAA,"W,5-1",4,6.0,5,1,1,3,5,0,1,3.45,27,106,69,12,14,6,12,3,3,0,60,,,0,0,0,23,2,0,0,0,0,0,1.11,0.252,0.02%,2.25
2019-05-26,KCR,NYY,"W,8-7",6,6.0,5,4,1,1,4,1,0,3.12,24,90,60,11,11,7,12,6,1,0,55,,,0,0,0,23,0,0,0,1,0,1,.71,0.102,0.01%,-0.65
2019-05-31,KCR,TEX,"L,2-6",4,5.1,6,6,6,2,6,1,0,4.05,23,93,62,19,11,5,10,3,2,0,36,,,0,0,0,21,0,0,0,1,0,0,1.40,-0.321,-0.01%,-2.65
2019-06-06,KCR,BOS,"L,5-7",5,2.1,4,4,4,2,2,1,1,4.68,14,51,29,10,4,2,7,5,0,0,33,,,0,0,0,11,1,0,0,0,0,0,1.19,-0.302,0.00%,-2.90
2019-06-12,KCR,DET,"L,2-3",5,7.0,4,2,2,2,7,0,0,4.38,27,99,70,15,12,9,9,5,2,0,66,,,0,0,0,24,4,0,0,0,1,0,1.00,0.220,0.00%,1.91
2019-06-17,KCR,SEA,"W,6-4",4,5.0,7,4,4,3,4,1,0,4.64,24,105,66,28,8,6,11,6,2,0,38,,,0,0,0,21,1,0,0,1,0,0,1.33,-0.255,0.00%,-1.43
2019-06-22,KCR,MIN,"L,3-5",4,8.0,6,3,3,2,4,3,0,4.48,31,96,60,13,8,5,20,7,4,0,60,,,0,0,0,29,0,0,0,1,0,0,.84,0.116,0.00%,1.47
2019-06-28,KCR,TOR,"L,2-6",5,6.2,7,3,3,1,8,2,0,4.43,28,109,69,23,13,7,12,3,3,0,55,,,0,0,0,27,0,0,0,0,0,0,1.11,-0.096,0.00%,0.64
2019-07-03,KCR,CLE,"L,0-4",4,6.2,5,2,2,5,3,1,1,4.28,29,108,62,23,7,9,11,3,1,0,54,,,0,0,0,23,0,1,0,2,0,0,.84,0.064,0.00%,1.09
2019-07-12,KCR,DET,"W,8-5",8,2.0,6,4,4,2,3,0,0,4.64,13,56,37,9,7,3,5,5,0,0,29,,,0,0,0,11,2,0,0,1,0,0,1.32,-0.334,0.00%,-3.39
2019-07-17,KCR,CHW,"W,7-5",4,6.0,6,2,2,0,5,1,0,4.52,21,90,61,14,9,5,11,5,1,0,57,,,0,0,0,21,1,0,0,1,0,0,.89,0.257,0.00%,1.35
2019-07-23,KCR,ATL,"W,5-4",5,6.0,5,1,1,1,11,0,2,4.32,26,99,65,22,13,4,8,8,0,0,68,,,0,0,0,23,3,0,0,0,0,0,1.25,0.269,0.00%,2.34
2019-07-28,KCR,CLE,"W,9-6",4,6.0,7,5,4,2,5,2,0,4.42,28,96,57,13,9,4,17,7,4,0,43,,,0,0,0,25,0,0,0,0,1,1,.98,-0.212,0.00%,-1.65
2019-08-03,KCR,MIN,"L,3-11",5,4.2,8,9,8,2,5,4,0,4.93,24,87,54,15,12,3,14,2,2,0,17,,,0,0,0,22,0,0,0,0,0,0,.45,-0.476,0.00%,-5.58
2019-09-01,KCR,BAL,"W,6-4",28,6.1,7,4,3,1,3,0,0,4.89,27,90,65,10,9,14,9,4,1,0,47,,,1,0,0,25,1,0,0,2,1,1,1.18,-0.098,0.00%,-0.67
2019-09-07,KCR,MIA,"W,7-2",5,6.0,2,1,1,4,5,0,1,4.71,25,95,58,12,14,8,7,2,1,0,65,,,0,0,0,20,0,0,0,0,0,0,1.06,0.170,0.00%,1.98
2019-09-13,KCR,HOU,"L,1-4",5,6.0,4,1,1,2,6,1,0,4.55,23,108,64,19,9,3,12,6,1,0,64,,,0,0,0,21,1,0,0,1,0,0,.87,0.226,0.00%,2.35
2019-09-18,KCR,OAK,"L,0-1",4,7.0,2,0,0,1,6,0,0,4.30,23,103,67,14,10,7,9,3,1,0,78,,,0,0,0,22,1,0,0,2,0,1,1.07,0.452,0.00%,3.67
2019-09-24,KCR,ATL,"W,9-6",5,5.0,5,3,3,2,5,1,1,4.34,23,87,52,10,8,2,13,5,1,0,48,,,0,0,0,20,2,0,0,0,0,0,.88,0.108,0.00%,-0.21
2021-04-05,KCR,CLE,"W,3-0",99,6.0,2,0,0,3,5,0,0,0.00,22,97,58,11,11,2,12,7,3,0,70,,,0,0,0,19,1,0,0,1,0,0,.96,0.368,0.25%,3.16
2021-04-13,KCR,LAA,"W,3-2",7,6.0,8,1,1,1,6,1,0,0.75,27,100,69,18,10,8,12,8,0,0,57,,,0,0,0,26,0,0,0,0,0,0,1.38,0.251,0.14%,2.28
2021-04-19,KCR,TBR,"L,1-4",5,6.0,4,2,0,2,8,0,0,0.50,24,96,56,15,17,4,10,4,2,0,66,,,0,0,0,22,0,0,0,1,0,1,.88,0.063,0.04%,1.28
2021-04-25,KCR,DET,"W,4-0",5,5.0,4,0,0,0,8,0,0,0.39,18,83,56,11,18,1,9,4,1,0,67,,,0,1,0,18,0,0,0,0,0,0,1.02,0.288,0.23%,2.50
2021-05-01,KCR,MIN,"W,11-3",5,7.0,2,1,1,3,7,1,0,0.60,27,107,69,18,11,9,8,2,0,0,73,,,0,0,0,24,0,0,0,0,0,1,.35,0.154,0.13%,2.58
2021-05-06,KCR,CLE,"L,0-4",4,5.2,8,3,3,1,6,0,0,1.26,25,107,73,14,16,5,13,7,3,0,46,,,0,0,0,24,2,1,0,1,0,0,.97,-0.044,-0.04%,-0.10
