date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-06,SEA,LAA,"W,4-1",99,0.1,2,0,0,0,0,0,0,0.00,3,9,6,2,0,0,3,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.80,-0.049,-0.03%,-0.41
2015-04-08,SEA,LAA,"L,3-5",1,1.0,0,0,0,0,1,0,0,0.00,3,16,10,2,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.20,0.015,0.01%,0.46
2015-04-11,SEA,OAK,"W,5-4",2,1.0,2,2,2,0,0,0,0,7.71,5,17,10,2,2,2,3,2,1,0,,2,0,0,0,0,4,1,0,0,0,0,0,2.27,-0.191,-0.12%,-0.29
2015-04-12,SEA,OAK,"W,8-7",0,2.0,2,0,0,0,2,0,0,4.15,8,30,22,12,1,3,3,1,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,1.02,0.090,0.06%,0.57
2015-04-15,SEA,LAD,"L,2-5",2,2.0,0,0,0,1,2,0,0,2.84,7,27,16,2,5,1,3,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.11,0.015,0.01%,0.88
2015-04-18,SEA,TEX,"W,3-1",2,1.0,0,0,0,0,2,0,0,2.45,3,16,12,4,3,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.93,0.069,0.04%,0.46
2015-04-20,SEA,HOU,"L,5-7",1,1.2,3,2,2,0,2,1,0,4.00,7,26,18,4,1,1,4,2,0,0,,0,0,0,0,0,7,1,0,0,1,0,0,1.00,-0.304,-0.19%,-1.30
2015-04-21,SEA,HOU,"L,3-6",0,1.0,2,2,2,2,0,0,0,5.40,6,20,11,3,2,1,3,2,1,0,,2,2,1,0,0,4,1,0,0,1,0,0,1.97,-0.465,-0.28%,-2.57
2015-04-26,SEA,MIN,"L,2-4",4,1.0,1,0,0,1,1,0,0,4.91,5,25,13,2,2,1,2,1,0,0,,0,0,0,0,0,4,1,0,1,0,0,0,2.42,0.102,0.05%,0.46
2015-04-29,SEA,TEX,"W,5-2",2,1.1,0,0,0,0,1,0,0,4.38,4,16,11,4,3,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.04,0.107,0.06%,0.62
2015-05-02,SEA,HOU,"L,4-11",2,1.0,0,0,0,0,0,0,0,4.05,3,4,3,0,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.47
2015-05-05,SEA,LAA,"L,4-5",2,1.0,3,2,2,1,0,0,0,5.02,6,21,11,3,1,3,2,1,1,0,,0,0,0,0,0,5,0,0,0,1,0,0,3.02,-0.352,-0.18%,-1.54
2015-05-08,SEA,OAK,"W,4-3",2,1.0,0,0,0,0,2,0,0,4.70,3,18,12,1,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.41,0.031,0.01%,0.46
2015-05-09,SEA,OAK,"W,7-2",0,0.1,3,1,1,0,0,1,0,5.17,4,17,10,2,1,1,3,3,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.55,-0.042,-0.02%,-1.41
2015-05-12,SEA,SDP,"W,11-4",2,0.1,1,3,1,2,0,0,0,5.63,4,18,8,3,1,0,2,2,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.14,-0.015,-0.01%,-1.06
2015-05-13,SEA,SDP,"L,2-4",0,1.0,1,0,0,0,1,0,1,5.29,5,10,7,1,1,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.20,0.007,0.00%,0.46
2015-05-16,SEA,BOS,"L,2-4",2,2.0,1,0,0,1,3,0,0,4.74,8,33,21,6,6,2,2,0,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.37,0.040,0.02%,0.92
2015-05-19,SEA,BAL,"L,4-9",2,2.1,3,3,3,0,1,1,0,5.48,10,30,20,4,2,2,7,4,1,0,,2,0,0,0,0,10,2,0,0,0,0,0,1.03,-0.205,-0.10%,-1.57
2015-05-21,SEA,BAL,"L,4-5",1,1.2,2,1,1,0,1,0,0,5.48,7,34,23,4,1,6,0,0,0,0,,2,0,1,0,0,7,0,0,0,0,0,0,2.24,-0.088,-0.04%,0.41
2015-05-24,SEA,TOR,"L,2-8",2,0.2,3,3,3,0,1,0,0,6.46,5,18,12,1,2,2,2,1,0,0,,2,0,0,0,0,5,1,0,0,0,0,0,.51,-0.053,-0.03%,-1.19
2015-06-13,SEA,HOU,"W,8-1",19,2.0,0,0,0,2,2,0,0,5.96,7,25,14,5,4,2,1,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,.10,0.008,0.00%,0.94
2015-06-14,SEA,HOU,"L,0-13",0,0.2,2,2,2,0,0,1,0,6.49,4,23,14,2,1,1,3,1,0,0,,2,2,0,0,0,4,1,0,0,0,0,0,.07,-0.017,-0.01%,-2.84
2015-07-09,SEA,LAA,"W,7-2",24,0.1,1,0,0,2,0,0,0,6.41,4,17,7,3,0,2,0,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,.22,-0.010,0.00%,-1.25
2015-07-10,SEA,LAA,"L,3-7",0,2.0,3,2,2,0,2,2,0,6.59,9,27,17,5,2,2,5,4,1,0,,1,1,0,0,0,9,1,0,0,0,0,0,.15,-0.071,-0.03%,-1.70
2015-07-12,SEA,LAA,"L,3-10",1,1.2,2,0,0,0,2,0,0,6.23,7,28,18,5,3,1,4,1,2,0,,2,0,0,0,0,7,0,0,0,0,0,0,.01,0.001,0.00%,1.33
2015-08-15,SEA,BOS,"L,10-22",33,2.2,3,1,1,1,1,0,0,6.00,12,35,23,7,1,4,6,2,0,0,,1,1,0,0,0,10,2,0,0,0,1,0,.03,-0.008,0.00%,-0.26
2015-08-16,SEA,BOS,"W,10-8",0,1.0,0,0,0,0,2,0,0,5.82,3,14,9,3,1,1,0,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,2.37,0.189,0.02%,0.91
2015-08-18,SEA,TEX,"W,3-2",1,1.0,0,0,0,0,1,0,0,5.66,3,9,6,2,0,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.87,0.143,0.02%,0.51
2015-08-21,SEA,CHW,"L,4-11",2,1.0,1,0,0,0,0,0,0,5.50,4,16,8,1,0,2,2,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.14,0.010,0.00%,0.46
2015-08-22,SEA,CHW,"L,3-6",0,0.0,1,3,1,3,0,0,0,5.75,4,16,3,1,0,0,1,1,0,0,,0,0,0,0,0,1,1,0,1,0,0,0,2.86,-0.442,-0.02%,-2.82
2015-09-07,SEA,TEX,"L,0-3",15,1.0,0,0,0,1,1,0,0,5.59,4,14,8,2,3,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.15,0.007,0.00%,0.46
2015-09-09,SEA,TEX,"W,6-0",1,1.0,0,0,0,0,2,0,0,5.45,3,13,9,4,3,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.06,0.005,0.00%,0.46
2015-09-11,SEA,COL,"L,2-4",1,0.2,0,0,0,0,1,0,0,5.35,2,7,5,2,1,0,1,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.65,0.030,0.00%,0.87
2015-09-12,SEA,COL,"W,7-2",0,1.0,1,0,0,0,3,0,0,5.22,4,18,13,2,3,0,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.88,0.043,0.00%,0.46
2015-09-14,SEA,LAA,"W,10-1",1,1.0,0,0,0,0,0,0,0,5.09,3,12,7,4,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,1,.02,0.001,0.00%,0.46
2015-09-16,SEA,LAA,"W,3-1",1,1.0,0,0,0,0,1,0,0,4.97,3,13,8,3,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.89,0.066,0.00%,0.46
2015-09-18,SEA,TEX,"W,3-1",1,1.2,0,0,0,0,1,0,0,4.78,4,14,11,4,4,1,2,0,0,0,,3,0,0,0,0,4,0,0,0,1,0,0,1.71,0.287,0.01%,2.10
