date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-08,OAK,HOU,"L,2-6",99,2.0,1,1,1,0,2,1,0,4.50,7,36,25,6,3,1,4,0,2,0,,0,0,0,0,0,7,0,0,0,0,0,0,.02,-0.006,0.00%,0.05
2021-04-13,OAK,ARI,"W,7-5",4,3.0,1,0,0,0,5,0,0,1.80,10,44,29,7,11,2,3,1,1,0,,0,0,1,0,0,10,0,0,0,0,0,0,.24,0.038,0.02%,1.52
2021-04-17,OAK,DET,"W,7-0",3,1.0,0,0,0,0,1,0,0,1.50,3,12,9,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.003,0.00%,0.50
2021-04-21,OAK,MIN,"W,13-12",3,0.1,0,0,0,0,0,0,0,1.42,1,1,1,0,0,0,1,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,.67,-0.019,-0.01%,0.10
2021-04-24,OAK,BAL,"W,7-2",2,1.0,2,0,0,0,1,0,0,1.23,5,20,13,4,2,2,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.13,0.009,0.01%,0.54
2021-04-25,OAK,BAL,"L,1-8",0,0.2,1,5,2,4,0,1,0,3.38,7,38,19,4,3,0,3,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,.19,-0.051,-0.04%,-2.26
2021-04-28,OAK,TBR,"L,0-2",2,1.0,1,0,0,0,2,0,0,3.00,4,13,11,2,5,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.46,0.022,0.02%,0.48
2021-04-30,OAK,BAL,"L,2-3",1,1.0,0,0,0,0,2,0,0,2.70,3,13,9,3,0,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.45,0.034,0.03%,0.50
2021-05-01,OAK,BAL,"L,4-8",0,2.0,0,0,0,1,2,0,0,2.25,7,35,20,7,2,1,3,0,2,0,,0,0,0,0,0,6,0,0,0,0,0,0,.10,0.015,0.01%,0.99
2021-05-06,OAK,TOR,"L,4-10",4,2.0,2,3,2,1,0,0,0,3.21,10,38,23,4,1,2,7,2,0,0,,1,0,3,0,0,9,0,0,0,0,0,0,1.24,0.005,0.00%,-0.06
2021-05-13,OAK,BOS,"L,1-8",6,3.0,1,0,0,0,3,0,0,2.65,9,36,22,4,7,2,4,1,1,0,,3,1,0,0,0,9,0,0,0,1,0,0,.09,0.019,0.02%,2.56
2021-05-19,OAK,HOU,"L,1-8",5,1.2,3,3,3,1,1,0,0,3.86,8,38,22,7,1,2,4,2,1,0,,0,0,0,0,0,7,1,0,0,1,0,0,.99,-0.141,-0.15%,-1.33
2021-05-23,OAK,LAA,"L,5-6",3,1.0,1,1,1,1,0,0,0,4.12,5,17,10,3,2,1,3,1,1,0,,0,0,0,0,0,2,0,0,0,0,1,0,2.34,-0.221,-0.19%,-0.47
2021-05-24,OAK,SEA,"L,2-4",0,1.0,0,0,0,0,0,0,0,3.92,3,6,5,1,1,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.22,0.017,0.02%,0.50
2021-05-29,OAK,LAA,"L,0-4",4,1.1,1,0,0,1,2,0,0,3.68,6,22,15,5,4,2,1,1,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,.10,0.008,0.01%,0.47
2021-05-31,OAK,SEA,"L,5-6",1,2.1,0,0,0,0,3,0,0,3.33,7,37,26,5,4,0,4,2,0,0,,1,0,0,0,0,7,0,0,0,0,0,0,.43,0.077,0.08%,1.31
