date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-01,HOU,OAK,"W,8-1",99,1.0,1,1,0,2,2,0,0,0.00,6,32,19,8,4,0,2,1,0,0,,0,0,1,0,0,3,1,0,0,0,1,0,2.14,-0.011,-0.01%,-0.51
2021-04-03,HOU,OAK,"W,9-1",1,0.1,1,0,0,2,0,0,0,0.00,4,16,6,2,0,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.81,-0.097,-0.07%,-1.07
2021-04-08,HOU,OAK,"W,6-2",4,0.0,0,0,0,2,0,0,0,0.00,2,10,2,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,.26,-0.021,-0.02%,-1.01
2021-05-16,HOU,TEX,"W,6-2",37,1.0,1,0,0,0,2,0,0,0.00,4,14,11,1,4,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.19,0.016,0.01%,0.53
2021-05-18,HOU,OAK,"L,5-6",1,0.1,1,1,1,2,1,0,0,3.38,4,15,6,3,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.88,-0.184,-0.17%,-1.07
2021-05-22,HOU,TEX,"L,4-8",3,0.2,1,3,0,2,1,0,0,2.70,6,27,13,4,3,2,1,0,0,0,,1,1,0,0,0,4,1,0,0,0,0,2,2.03,-0.340,-0.29%,-3.31
2021-05-25,HOU,LAD,"L,2-9",2,1.0,1,3,3,1,1,0,1,8.31,6,31,17,4,1,1,2,1,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.19,0.002,0.00%,0.07
2021-05-31,HOU,BOS,"W,11-2",5,1.0,0,0,0,0,3,0,0,6.75,3,18,10,4,2,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.53
2021-06-03,HOU,BOS,"L,1-5",2,1.0,0,0,0,1,1,0,0,5.68,4,17,8,2,1,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.53,0.030,0.03%,0.53
2021-06-05,HOU,TOR,"L,2-6",1,1.2,1,0,0,2,2,0,0,4.50,8,37,21,8,2,3,1,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.13,0.011,0.01%,0.81
2021-06-08,HOU,BOS,"W,7-1",2,0.2,0,0,0,1,2,0,0,4.15,3,16,9,2,4,0,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.31,0.010,0.01%,0.58
2021-06-10,HOU,BOS,"L,8-12",1,0.0,0,2,2,2,0,0,1,6.23,3,18,9,0,3,0,0,0,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,3.17,-0.258,-0.22%,-2.17
2020-07-24,HOU,SEA,"W,8-2",99,1.0,1,0,0,0,0,0,0,0.00,4,16,10,2,2,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.14,0.003,0.00%,0.57
2020-07-27,HOU,SEA,"W,8-5",2,0.2,1,0,0,0,2,0,0,0.00,3,16,9,2,4,0,1,1,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,.96,0.010,0.01%,-0.26
2020-07-28,HOU,LAD,"L,2-5",0,0.0,2,2,1,1,0,0,0,5.40,4,14,8,2,1,3,0,0,0,0,,3,3,0,0,0,3,0,0,0,0,0,0,3.09,-0.422,-0.28%,-4.00
2020-07-31,HOU,LAA,"W,9-6",2,1.2,1,1,1,2,1,0,0,5.40,7,33,19,7,4,3,1,1,0,0,,2,1,0,0,0,5,0,1,0,2,0,0,2.00,0.052,0.04%,-0.50
2020-08-04,HOU,ARI,"W,8-2",3,1.1,2,0,0,1,0,0,0,3.86,7,26,17,4,2,0,6,6,0,0,,3,0,0,0,0,6,0,0,0,0,0,0,.53,0.032,0.02%,1.33
2020-08-07,HOU,OAK,"L,2-3",2,2.0,1,0,0,1,5,0,1,2.70,9,38,23,6,10,1,1,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,4.23,0.628,0.49%,2.31
2020-08-11,HOU,SFG,"L,6-7",3,1.2,0,1,1,1,1,0,0,3.24,6,22,11,2,4,1,3,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.76,0.091,0.06%,0.88
2020-08-16,HOU,SEA,"W,3-2",4,0.2,1,0,0,0,1,0,0,3.00,3,16,10,4,3,0,2,1,1,0,,1,0,0,0,0,3,0,0,0,0,0,0,1.60,0.043,0.03%,0.24
2020-08-18,HOU,COL,"W,2-1",1,1.0,0,0,0,0,2,0,0,2.70,3,13,9,3,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.91,0.151,0.11%,0.57
2020-08-20,HOU,COL,"W,10-8",1,1.0,0,0,0,1,0,0,0,2.45,4,16,10,3,0,1,2,2,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,1.69,0.123,0.08%,1.03
2020-08-21,HOU,SDP,"L,3-4",0,1.0,0,0,0,0,1,0,0,2.25,3,8,7,3,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.41,0.031,0.02%,0.50
2020-08-23,HOU,SDP,"L,3-5",1,0.2,2,2,2,0,1,1,0,3.55,4,15,9,4,0,0,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.23,-0.322,-0.19%,-1.60
2020-09-01,HOU,TEX,"L,5-6",8,1.0,1,0,0,1,0,0,0,3.29,4,20,10,3,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,3.52,0.128,0.07%,0.57
2020-09-02,HOU,TEX,"W,2-1",0,1.0,1,0,0,0,1,0,0,3.07,3,9,6,1,0,1,1,1,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,2.19,0.128,0.08%,0.57
2020-09-05,HOU,LAA,"L,9-10",2,0.1,2,1,1,0,1,0,0,3.60,3,10,6,2,1,1,1,1,0,0,,2,2,0,0,0,3,1,0,0,0,0,0,5.12,-0.661,-0.32%,-2.01
2020-09-08,HOU,OAK,"W,5-4",2,0.2,1,0,0,2,1,0,0,3.45,5,18,8,3,3,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.61,0.063,0.05%,0.28
2020-09-09,HOU,OAK,"L,2-3",0,1.0,1,0,0,0,1,0,0,3.24,4,15,12,5,3,2,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.78,0.110,0.08%,0.53
