date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-05-07,OAK,MIN,"L,5-6",99,2.0,1,0,0,0,4,0,0,0.00,7,34,23,7,6,0,3,1,2,0,,0,0,0,0,0,7,1,0,0,0,0,0,.75,0.088,0.04%,0.97
2015-05-08,OAK,SEA,"L,3-4",0,1.2,0,0,0,0,2,0,0,0.00,5,17,15,2,5,0,3,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.53,0.187,0.08%,0.71
2015-05-10,OAK,SEA,"L,3-4",1,0.1,0,0,0,2,0,0,0,0.00,3,16,6,2,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.75,0.010,0.00%,0.21
2015-05-12,OAK,BOS,"W,9-2",1,1.0,0,0,0,0,1,0,0,0.00,3,9,8,4,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.005,0.00%,0.47
2015-05-15,OAK,CHW,"L,6-7",2,0.1,1,2,2,0,0,0,1,3.38,3,15,9,0,2,2,0,0,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,1.35,-0.054,-0.01%,-0.87
2015-05-16,OAK,CHW,"L,3-4",0,0.2,3,2,2,0,0,0,0,6.00,5,13,11,2,1,3,2,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.39,-0.318,-0.08%,-1.84
2015-05-19,OAK,HOU,"L,4-6",2,2.1,1,1,1,1,2,0,0,5.40,8,28,18,5,6,3,2,0,0,0,,0,0,0,1,0,7,0,0,0,0,0,0,.61,0.084,0.02%,0.92
2015-05-21,OAK,TBR,"L,0-3",1,0.1,0,0,0,0,0,0,0,5.19,1,4,3,0,1,0,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.10,0.003,0.00%,0.10
2015-05-24,OAK,TBR,"W,7-2",2,0.1,2,2,2,1,1,0,0,7.00,4,21,12,0,4,0,2,2,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,.20,-0.024,0.00%,-1.06
2015-05-27,OAK,DET,"L,2-3",2,2.0,1,0,0,0,2,0,0,5.73,7,36,26,4,6,2,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.32,0.044,0.01%,0.94
2015-05-29,OAK,NYY,"W,6-2",1,0.2,2,0,0,0,1,0,0,5.40,4,15,10,3,3,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.40,0.003,0.00%,-0.01
2015-06-03,OAK,DET,"W,6-1",4,1.0,2,1,1,0,1,0,0,5.68,6,20,15,1,2,1,4,1,0,0,,0,0,0,0,0,6,1,0,0,0,0,1,.10,0.003,0.00%,-0.52
2015-06-05,OAK,BOS,"L,2-4",1,0.1,0,0,0,0,1,0,0,5.54,1,5,3,2,1,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.78,0.022,0.00%,0.51
2015-06-06,OAK,BOS,"L,2-4",0,0.1,0,0,0,0,0,0,0,5.40,1,6,3,0,1,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.48,0.013,0.00%,0.45
2015-06-09,OAK,TEX,"L,1-2",2,0.2,1,0,0,0,1,0,0,5.14,3,14,8,3,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.43,0.017,0.00%,0.25
2015-06-14,OAK,LAA,"W,8-1",4,0.1,0,0,0,0,0,0,0,5.02,1,2,1,0,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.04,0.001,0.00%,0.21
2015-06-16,OAK,SDP,"W,6-5",1,1.0,0,0,0,0,2,0,0,4.70,3,10,7,3,1,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.93,0.068,0.01%,0.44
2015-06-18,OAK,SDP,"L,1-3",1,0.2,2,1,1,0,0,0,0,5.06,4,18,10,1,1,1,3,0,1,0,,0,0,0,0,0,3,0,1,0,0,1,0,.90,-0.104,-0.02%,-0.75
2015-06-23,OAK,TEX,"W,8-6",4,0.2,1,0,0,1,1,0,0,4.86,4,16,9,3,2,1,1,0,0,0,,2,1,0,0,0,3,1,0,0,0,0,0,2.14,-0.018,0.00%,-0.52
2015-06-26,OAK,KCR,"L,2-5",2,1.2,0,0,0,2,0,0,0,4.42,7,26,17,6,3,2,3,1,1,0,,2,0,0,0,0,5,0,0,0,0,0,0,.10,0.015,0.00%,1.35
