date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-02,DET,KCR,"W,6-1",99,6.2,4,1,1,2,3,0,0,1.35,25,94,56,20,9,8,12,4,1,0,63,,,0,1,0,22,1,1,0,0,1,0,.87,0.221,0.12%,2.45
2018-04-09,DET,CLE,"L,0-2",6,6.0,3,2,2,3,4,1,0,2.13,23,97,59,19,4,6,10,2,0,0,59,,,0,0,0,20,0,0,0,1,0,0,.81,0.041,0.03%,1.16
2018-04-17,DET,BAL,"W,4-2",7,5.0,5,2,2,3,7,1,0,2.55,22,88,49,16,11,7,5,4,0,0,53,,,0,0,0,19,0,0,0,0,0,0,1.05,0.055,0.03%,0.64
2018-04-22,DET,KCR,"L,5-8",4,5.1,2,3,3,4,6,1,0,3.13,22,92,56,12,11,4,8,3,1,0,54,,,1,0,0,18,1,0,0,0,0,0,1.15,0.049,0.03%,0.95
2018-04-28,DET,BAL,"W,9-5",5,6.1,6,3,3,2,1,0,0,3.38,25,87,51,16,4,11,11,6,1,0,48,,,0,0,0,23,1,1,0,1,0,0,.48,0.125,0.06%,1.10
2018-05-04,DET,KCR,"L,2-4",5,7.0,3,1,1,2,5,0,0,2.97,23,93,61,18,12,11,5,0,2,0,70,,,0,0,0,21,0,0,0,3,0,0,1.06,0.368,0.22%,3.19
2018-05-09,DET,TEX,"L,4-5",4,4.0,4,3,3,4,3,0,2,3.35,20,81,41,10,10,5,6,3,1,0,41,,,1,0,0,13,0,1,0,1,1,0,1.23,-0.231,-0.12%,-1.77
2018-05-15,DET,CLE,"W,9-8",5,4.1,7,5,5,3,3,2,0,4.03,23,91,51,15,11,7,10,5,2,0,29,,,1,0,0,20,0,0,0,0,0,0,.80,-0.321,-0.26%,-3.58
2018-05-20,DET,SEA,"L,2-3",4,8.0,1,0,0,3,5,0,0,3.42,27,102,60,24,6,7,12,3,0,0,82,,,0,1,0,24,0,0,0,0,0,0,1.05,0.516,0.30%,3.84
2018-05-26,DET,CHW,"L,4-8",5,5.0,6,5,5,3,8,3,0,3.90,24,91,60,13,21,6,7,2,1,0,40,,,0,0,0,21,1,0,0,0,0,0,.87,-0.261,-0.16%,-1.76
