date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-05-11,DET,MIN,"L,3-8",99,4.0,9,7,7,2,1,1,0,15.75,23,88,54,15,3,7,13,8,0,0,15,,,0,0,0,19,2,1,0,0,2,0,1.11,-0.414,-0.26%,-4.79
2019-05-15,DET,HOU,"L,1-5",3,2.0,3,2,2,2,3,1,0,13.50,10,47,27,9,3,3,2,0,0,0,43,,,0,1,0,8,0,0,0,0,0,0,1.02,-0.093,-0.04%,-0.87
2019-05-19,DET,OAK,"L,3-7",3,4.0,4,3,3,2,3,0,0,10.80,18,70,42,11,7,5,8,4,2,0,43,,,0,0,0,15,0,1,0,0,1,0,1.04,-0.090,-0.02%,-0.75
2019-05-24,DET,NYM,"W,9-8",4,3.2,6,5,5,1,4,2,0,11.20,18,72,49,7,10,4,9,5,1,0,32,,,0,0,0,17,1,0,0,0,0,0,.88,-0.386,-0.05%,-3.16
2019-06-15,DET,CLE,"L,2-4",21,4.0,2,0,0,4,3,0,0,8.66,19,75,47,14,7,8,4,0,1,0,57,,,1,0,0,15,0,0,0,0,0,1,1.08,0.225,0.01%,2.26
2019-06-29,DET,WSN,"W,7-5",13,3.2,4,3,3,1,1,1,0,8.44,16,64,41,11,3,5,9,1,0,0,41,,,0,0,0,15,1,0,0,0,0,0,1.03,-0.042,0.00%,-0.09
2019-07-05,DET,BOS,"L,6-9",5,1.0,2,0,0,0,1,0,0,8.06,5,24,18,4,2,2,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.06,0.062,0.00%,0.56
2019-07-07,DET,BOS,"L,3-6",1,2.0,3,2,2,0,1,1,0,8.14,10,41,28,7,3,4,5,1,1,0,43,,,0,0,0,10,0,0,0,0,0,1,1.00,-0.096,0.00%,-0.87
2019-07-12,DET,KCR,"L,5-8",4,3.0,1,0,0,0,3,0,0,7.24,9,37,26,6,3,6,0,0,0,0,,0,0,0,0,0,9,0,0,0,1,0,0,.84,0.181,0.00%,1.68
2019-07-20,DET,TOR,"L,5-7",7,1.2,6,6,6,1,2,2,0,8.69,11,40,27,6,4,2,6,4,0,0,,0,0,0,0,0,10,2,0,0,0,0,0,1.11,-0.549,0.00%,-4.99
2019-07-24,DET,PHI,"L,0-4",3,3.0,2,0,0,1,2,0,0,7.88,12,51,30,7,6,4,5,2,0,0,,0,0,1,0,0,11,1,0,0,0,0,0,.20,0.030,0.00%,1.69
2019-07-27,DET,SEA,"L,1-8",2,2.0,3,0,0,2,4,0,0,7.41,11,47,30,8,6,3,2,1,0,0,,2,2,0,0,0,9,1,0,0,0,0,0,.03,-0.002,0.00%,0.52
2019-07-30,DET,LAA,"L,1-6",2,1.0,1,1,1,1,0,0,0,7.46,5,18,11,5,2,1,3,3,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.16,-0.012,0.00%,-0.46
2019-08-02,DET,TEX,"L,4-5",2,1.0,1,0,0,0,0,0,0,7.25,3,9,7,3,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.14,0.010,0.00%,0.61
2019-08-05,DET,CHW,"L,4-7",2,4.0,6,2,2,1,1,0,0,6.98,18,61,38,12,4,7,9,4,0,0,,0,0,0,0,0,17,1,0,0,1,0,1,1.09,-0.025,0.00%,0.26
2019-08-10,DET,KCR,"L,0-7",4,1.1,0,3,1,2,2,0,0,6.97,8,38,19,4,4,2,2,1,0,0,,0,0,1,0,0,6,0,0,0,0,0,2,.65,-0.119,0.00%,-1.61
2019-08-14,DET,SEA,"W,3-2",3,1.2,3,0,0,1,1,0,0,6.70,10,38,22,8,3,7,1,1,0,0,,0,0,0,0,0,9,0,0,0,0,0,1,1.97,0.100,0.00%,0.66
2019-08-17,DET,TBR,"L,0-1",2,1.1,1,0,0,1,1,0,0,6.50,6,24,13,4,2,2,2,0,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,2.54,0.156,0.00%,0.99
2019-08-19,DET,HOU,"L,4-5",1,1.0,0,0,0,0,1,0,0,6.35,3,14,11,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.46,0.037,0.00%,0.57
2019-08-22,DET,HOU,"L,3-6",2,1.0,3,1,1,1,0,0,0,6.41,7,26,15,3,0,2,4,2,0,0,,0,0,0,0,0,6,1,0,1,0,0,0,.75,-0.046,0.00%,-0.43
2019-08-25,DET,MIN,"L,4-7",2,1.0,1,0,0,0,1,0,0,6.27,4,13,11,2,2,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.05,0.004,0.00%,0.55
2019-08-28,DET,CLE,"L,2-4",2,1.0,0,0,0,1,0,0,0,6.14,3,14,6,1,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.56,0.093,0.00%,0.56
2019-08-31,DET,MIN,"W,10-7",2,1.0,1,0,0,1,1,0,0,6.02,4,15,8,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.39,0.020,0.00%,0.56
2019-09-02,DET,MIN,"L,3-4",1,1.0,2,0,0,0,1,0,0,5.90,5,13,11,3,1,1,3,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.71,0.100,0.00%,0.56
2019-09-03,DET,KCR,"L,5-6",0,0.0,1,0,0,1,0,0,0,5.90,2,10,4,0,0,1,0,0,0,0,,2,2,2,0,0,1,0,0,0,0,0,0,3.79,-0.554,0.00%,-2.00
2019-09-08,DET,OAK,"L,1-3",4,0.2,0,0,0,1,0,0,0,5.82,3,17,9,2,1,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.24,0.009,0.00%,0.28
2019-09-12,DET,NYY,"L,4-6",3,0.0,2,2,2,1,0,1,0,6.18,3,16,10,2,1,0,2,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.32,-0.069,0.00%,-2.40
2019-09-13,DET,BAL,"L,2-6",0,1.0,0,0,0,1,0,0,0,6.06,3,10,4,0,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.11,0.005,0.00%,0.56
2019-09-15,DET,BAL,"L,2-8",1,1.1,0,0,0,0,1,0,0,5.91,4,13,10,2,1,2,1,0,1,0,,3,0,0,0,0,4,0,0,0,0,0,0,.04,0.004,0.00%,1.38
2019-09-17,DET,CLE,"L,2-7",1,2.0,4,1,1,1,4,0,0,5.86,11,48,29,4,7,3,3,1,0,0,,0,0,0,0,0,10,3,0,0,0,0,0,.12,0.002,0.00%,0.15
2019-09-20,DET,CHW,"L,1-10",2,1.0,2,1,1,1,1,0,0,5.91,6,25,15,5,2,2,2,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.03,-0.002,0.00%,-0.44
2019-09-25,DET,MIN,"L,1-5",4,0.1,1,0,0,1,1,0,0,5.88,3,16,9,2,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.16,0.002,0.00%,0.12
2019-09-28,DET,CHW,"L,1-7",2,1.0,0,0,0,1,1,0,0,5.77,3,16,7,3,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.01,0.001,0.00%,0.54
2021-04-01,DET,CLE,"W,3-2",99,1.0,2,2,2,1,0,1,0,18.00,6,27,16,5,0,3,2,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.41,0.033,0.02%,-1.50
