date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-04,ATL,PHI,"L,1-2",99,5.0,4,1,1,2,7,1,0,1.80,20,88,55,17,12,7,4,2,0,0,60,,,1,0,0,17,0,0,0,1,0,0,.95,0.127,0.08%,1.53
2021-04-10,ATL,PHI,"W,5-4",5,5.1,5,4,4,1,6,2,0,4.35,22,89,56,12,8,6,9,7,0,0,47,,,0,0,0,21,0,0,0,0,0,0,1.04,-0.154,-0.11%,-1.01
2021-04-15,ATL,MIA,"W,7-6",4,5.0,6,3,3,4,6,0,0,4.70,25,98,57,14,14,9,6,5,0,0,45,,,0,0,0,20,2,0,0,0,0,0,.87,-0.080,-0.04%,-0.27
2021-04-21,ATL,NYY,"W,4-1",5,6.2,4,0,0,4,4,0,0,3.27,27,97,65,21,8,11,8,3,2,0,66,,,0,0,0,23,0,0,0,1,0,0,1.12,0.318,0.17%,2.86
2021-04-27,ATL,CHC,"W,5-0",5,7.0,1,0,0,1,8,0,0,2.48,23,90,59,16,16,10,4,2,0,0,82,,,0,0,0,21,0,0,0,0,0,0,.95,0.434,0.24%,3.83
2021-05-02,ATL,TOR,"L,2-7",4,4.0,6,4,4,2,5,0,0,3.27,21,89,56,10,13,6,8,5,0,0,37,,,0,0,0,19,2,0,0,0,0,1,1.18,-0.223,-0.12%,-1.87
2021-05-08,ATL,PHI,"W,8-7",5,6.0,6,3,3,3,7,1,0,3.46,25,94,52,16,9,8,7,4,2,0,52,,,0,0,0,22,1,0,0,2,0,0,.74,-0.063,-0.04%,0.28
2021-05-15,ATL,MIL,"W,5-1",6,6.0,2,1,1,4,4,0,0,3.20,23,110,61,20,7,10,5,0,1,0,64,,,0,0,0,19,1,0,0,1,0,0,.75,0.125,0.07%,1.61
2021-05-21,ATL,PIT,"W,20-1",5,6.0,6,0,0,0,6,0,0,2.82,24,92,62,14,14,12,6,3,3,0,66,,,0,0,0,24,0,0,0,0,0,0,.60,0.181,0.09%,3.28
2021-05-29,ATL,NYM,"L,2-13",7,4.0,7,4,4,1,6,2,1,3.27,21,87,55,18,9,4,9,3,0,0,37,,,0,0,0,19,1,0,0,0,0,0,.74,-0.170,-0.13%,-2.40
2021-06-04,ATL,LAD,"L,5-9",5,4.1,1,4,4,3,6,0,0,3.64,18,98,57,11,12,5,4,3,0,0,48,,,0,0,0,14,1,0,0,2,0,1,1.10,-0.077,-0.04%,-0.23
2021-06-10,ATL,PHI,"L,3-4",5,7.0,4,0,0,1,4,0,0,3.26,26,98,66,16,11,13,8,2,2,0,72,,,1,0,0,25,1,0,0,0,0,0,1.05,0.445,0.31%,3.54
2021-06-16,ATL,BOS,"L,8-10",5,4.0,7,4,4,1,5,0,0,3.58,20,87,57,15,15,5,9,6,1,0,36,,,0,0,0,19,4,0,0,0,0,0,1.01,-0.213,-0.08%,-1.81
2021-06-21,ATL,NYM,"W,1-0",4,5.1,3,0,0,1,5,0,0,3.33,19,85,50,15,9,5,8,3,0,0,66,,,0,0,0,18,1,0,0,0,0,0,1.19,0.303,0.19%,2.25
2021-06-26,ATL,CIN,"L,1-4",4,6.0,5,3,3,1,9,1,0,3.42,23,97,60,13,16,8,5,3,0,0,58,,,0,0,0,22,1,0,0,1,0,0,.61,-0.057,-0.03%,0.47
2021-07-01,ATL,NYM,"W,4-3",4,7.0,3,2,2,2,2,1,0,3.35,26,97,59,10,10,8,14,7,1,0,63,,,1,0,0,24,0,0,0,0,0,0,1.01,0.225,0.14%,1.81
2021-07-06,ATL,PIT,"L,1-2",4,5.0,5,1,1,3,4,0,0,3.27,23,91,56,13,4,8,8,4,1,0,54,,,0,0,0,19,2,0,0,0,1,0,1.22,0.142,0.07%,1.51
2021-07-11,ATL,MIA,"L,4-7",4,2.1,6,4,4,5,4,1,0,3.56,17,64,32,6,11,5,3,1,0,0,28,,,1,0,0,12,1,0,1,1,0,0,.83,-0.275,-0.18%,-3.41
2021-08-29,ATL,SFG,"W,9-0",48,5.2,4,0,0,2,0,0,0,3.36,22,85,49,13,6,12,8,3,2,0,59,,,1,0,0,20,0,0,0,1,0,0,1.02,0.294,0.22%,2.94
2021-09-04,ATL,COL,"L,6-7",5,3.0,5,4,4,4,0,2,0,3.61,17,62,33,7,3,7,6,2,0,0,29,,,0,0,0,12,1,0,0,0,0,0,1.20,-0.292,-0.35%,-2.68
2021-09-10,ATL,MIA,"W,6-2",5,5.0,5,2,2,2,9,1,0,3.61,23,89,62,10,19,6,6,1,1,0,56,,,1,0,0,21,0,0,0,0,0,1,.81,0.028,0.03%,0.74
2021-09-17,ATL,SFG,"L,5-6",6,5.2,5,4,4,2,7,3,0,3.75,23,99,60,16,12,4,10,4,0,0,48,,,0,0,0,21,2,0,0,0,0,0,.60,-0.208,-0.20%,-1.60
2021-09-22,ATL,ARI,"W,9-2",4,7.0,2,1,1,1,8,0,0,3.60,23,97,59,17,14,9,5,1,0,0,76,,,0,0,0,22,1,0,0,1,0,0,.61,0.189,0.14%,2.54
2021-09-30,ATL,PHI,"W,5-3",7,6.0,3,2,2,3,2,1,0,3.58,24,91,56,12,8,8,11,4,4,0,57,,,0,0,0,21,1,0,1,0,0,0,.88,0.222,0.00%,1.28
2020-08-26,ATL,NYY,"W,5-1",99,6.0,1,1,1,2,6,1,1,1.50,22,90,55,17,10,7,6,2,1,0,70,,,1,0,0,19,0,0,0,1,0,1,.79,0.274,0.18%,2.34
2020-09-01,ATL,BOS,"W,10-3",5,6.0,6,2,2,1,8,0,1,2.25,26,96,61,13,17,10,6,4,0,0,59,,,0,0,0,24,1,0,0,0,0,0,1.16,0.170,0.07%,1.48
2020-09-07,ATL,MIA,"L,4-5",5,3.0,2,2,1,4,4,0,0,2.40,16,83,50,16,6,6,2,1,0,0,49,,,0,0,0,12,1,0,0,0,0,1,1.01,-0.024,-0.01%,-0.33
2020-09-12,ATL,WSN,"W,2-1",4,7.0,1,0,0,3,9,0,0,1.64,25,99,58,20,12,7,6,2,1,0,81,,,0,0,0,22,0,0,0,0,0,0,1.13,0.476,0.19%,3.93
2020-09-19,ATL,NYM,"L,2-7",6,4.2,4,3,3,4,8,0,0,2.36,22,99,58,16,15,6,4,1,1,0,48,,,0,0,0,18,1,0,0,0,0,0,.87,-0.127,-0.02%,-0.67
2020-09-24,ATL,MIA,"L,2-4",4,5.2,7,3,0,0,6,0,0,1.95,27,104,69,23,7,8,13,4,4,0,55,,,0,0,0,27,1,0,0,0,0,3,1.48,-0.054,0.00%,-0.05
