date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-07-09,DET,MIN,"L,2-4",99,0.2,2,2,2,1,0,0,0,27.00,5,25,14,4,0,1,3,1,0,0,,2,2,0,0,0,3,0,1,0,0,1,0,1.34,-0.250,-0.04%,-2.86
2021-07-10,DET,MIN,"L,4-9",0,0.2,0,0,0,0,1,0,0,13.50,2,10,5,2,2,0,1,0,0,0,,2,2,0,0,0,2,0,0,0,0,0,0,.22,-0.010,0.00%,-0.58
2021-07-19,DET,TEX,"W,14-0",8,2.0,1,0,0,0,1,0,0,5.40,7,26,20,5,1,2,4,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.00,0.000,0.00%,1.00
2021-07-24,DET,KCR,"L,8-9",4,0.1,1,0,0,1,0,0,0,4.91,3,12,6,0,1,0,2,0,0,0,,2,2,0,0,0,2,0,1,0,0,0,0,.84,-0.141,-0.02%,-1.47
2021-07-25,DET,KCR,"L,1-6",0,1.0,0,0,0,0,2,0,0,3.86,3,11,8,2,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.55
2021-07-31,DET,BAL,"L,2-5",5,1.2,3,0,0,0,2,0,0,2.84,8,30,22,4,3,3,3,3,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.17,0.013,0.00%,0.56
2021-08-05,DET,BOS,"W,8-1",4,1.0,1,0,0,1,0,0,0,2.45,5,18,10,5,1,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.11,0.005,0.00%,0.50
2021-08-06,DET,CLE,"L,1-6",0,1.0,1,0,0,1,0,0,0,2.16,4,12,6,0,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.04,0.002,0.00%,0.53
2021-08-08,DET,CLE,"L,5-7",1,1.0,2,0,0,0,0,0,0,1.93,5,15,10,0,1,3,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.25,0.015,0.00%,0.53
2021-08-15,DET,CLE,"L,0-11",6,1.1,5,5,4,0,2,0,0,5.06,10,39,22,5,7,4,4,3,0,0,,1,0,0,0,0,10,1,1,0,0,0,0,.18,-0.047,-0.01%,-4.27
2021-08-17,DET,LAA,"L,2-8",1,0.1,0,0,0,1,1,0,0,4.91,3,12,6,1,3,1,0,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,1,.04,-0.003,0.00%,-0.68
2021-08-19,DET,LAA,"L,10-13",1,1.1,2,1,1,0,1,1,0,5.11,6,20,15,3,4,3,2,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.20,-0.026,0.00%,-0.40
2021-09-11,DET,TBR,"L,2-7",22,0.1,1,0,0,0,0,0,0,4.97,2,7,5,1,0,0,2,1,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,.40,-0.034,0.00%,-0.64
2021-09-16,DET,TBR,"L,2-5",4,1.0,1,0,0,0,2,0,0,4.61,4,19,12,4,3,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.10,0.006,0.00%,0.48
2021-09-20,DET,CHW,"W,4-3",3,1.0,0,0,0,0,2,0,0,4.30,3,15,9,3,0,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.99,0.075,0.00%,0.50
2021-09-21,DET,CHW,"W,5-3",0,0.2,1,0,0,1,1,0,0,4.11,4,20,10,2,2,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.87,-0.001,0.00%,0.00
