date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-21,ATL,NYM,"L,1-7",99,1.0,0,0,0,1,0,0,0,0.00,3,10,5,3,0,1,1,0,1,0,,2,0,0,0,0,2,0,0,0,1,0,0,.36,0.029,0.02%,1.42
2015-04-23,ATL,NYM,"L,3-6",1,0.1,0,0,0,2,1,0,0,0.00,3,16,6,4,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.59,-0.002,0.00%,-0.10
2015-04-26,ATL,PHI,"L,4-5",2,1.0,1,1,0,0,1,0,0,0.00,5,21,14,3,1,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,.84,-0.078,-0.05%,-0.55
2015-04-30,ATL,CIN,"L,1-5",3,1.0,1,1,1,0,1,1,0,2.70,4,16,11,4,2,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.03,-0.006,0.00%,-0.55
2015-05-22,ATL,MIL,"L,0-11",21,2.0,2,1,1,2,2,0,0,3.38,10,44,25,10,4,0,5,2,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,.00,0.000,0.00%,-0.10
2015-06-02,LAD,COL,"L,3-6",10,3.0,5,4,4,2,1,1,0,6.48,16,56,37,11,4,4,9,7,1,0,,0,0,1,0,0,14,2,0,0,0,0,0,1.15,-0.337,-0.29%,-2.36
2015-07-07,LAD,PHI,"L,2-7",34,2.0,0,0,0,1,2,0,0,5.23,7,30,20,5,6,2,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.03,0.004,0.00%,0.88
2015-07-24,LAD,NYM,"W,7-2",16,5.0,3,1,1,0,5,0,0,4.11,17,81,49,15,6,8,4,0,1,0,62,,,0,0,0,17,1,0,0,1,0,0,.48,0.123,0.10%,1.25
2015-09-11,LAD,ARI,"L,4-12",48,3.0,3,1,1,0,3,0,0,3.93,11,46,30,8,6,5,3,1,1,0,,0,0,0,0,0,11,1,0,0,1,0,0,.00,0.000,0.00%,0.46
2015-09-15,LAD,COL,"L,4-5",3,0.1,0,0,0,0,0,0,0,3.86,1,1,1,0,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,6.82,0.164,0.04%,0.73
2015-09-21,LAD,ARI,"L,4-8",5,0.2,1,0,0,1,1,0,0,3.72,5,17,10,3,2,1,2,2,0,0,,2,2,1,0,0,4,0,0,0,0,0,1,.12,-0.025,0.00%,-0.66
2015-09-23,LAD,ARI,"W,4-1",1,1.0,2,0,0,0,1,0,0,3.54,4,12,9,2,3,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,1.58,0.063,0.02%,0.44
2015-09-25,LAD,COL,"L,4-7",1,2.0,2,0,0,0,3,0,0,3.22,7,35,28,5,7,2,2,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.12,0.012,0.00%,1.10
2015-09-27,LAD,COL,"L,5-12",1,1.0,0,2,2,2,2,0,0,3.86,5,23,13,0,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.002,0.00%,-0.47
