date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,TOR,NYY,"L,1-6",99,4.2,4,3,2,1,5,1,0,3.86,20,96,58,12,12,3,11,6,2,0,50,,,0,0,0,19,1,0,0,0,0,1,.69,-0.015,-0.01%,0.28
2018-04-03,TOR,CHW,"W,14-5",4,5.1,7,4,4,1,9,2,1,5.40,24,93,60,16,14,9,4,1,1,0,46,,,0,0,0,22,0,0,0,1,0,0,1.08,-0.025,-0.02%,-0.52
2018-04-09,TOR,BAL,"W,7-1",5,6.0,5,1,1,3,9,1,1,3.94,26,104,69,20,18,6,7,3,1,0,64,,,0,0,0,22,0,0,0,2,0,1,1.57,0.276,0.19%,2.01
2018-04-18,TOR,KCR,"W,15-5",8,6.0,5,4,4,2,8,1,1,4.50,27,99,63,13,12,9,7,1,2,0,52,,,0,0,0,24,1,0,0,0,0,1,1.09,-0.147,-0.10%,-0.99
2018-04-24,TOR,BOS,"W,4-3",5,7.0,4,1,1,0,10,0,0,3.72,25,97,63,16,13,6,9,3,2,0,75,,,0,0,0,25,1,0,0,0,0,0,.87,0.288,0.24%,2.51
2018-04-29,TOR,TEX,"W,7-2",4,7.0,5,2,2,0,9,1,0,3.50,25,99,67,23,8,9,7,2,2,0,68,,,1,0,0,25,1,0,0,0,0,0,.91,0.177,0.10%,1.51
2018-05-04,TOR,TBR,"L,2-6",4,5.2,4,3,3,4,3,1,0,3.67,24,109,57,16,5,8,8,3,1,0,48,,,0,1,0,19,0,0,0,1,0,0,.87,-0.138,-0.09%,-0.80
2018-05-10,TOR,SEA,"L,3-9",5,3.1,10,7,7,2,3,2,0,4.80,21,84,52,14,9,9,7,2,0,0,13,,,0,0,0,18,1,0,0,1,1,0,.78,-0.445,-0.25%,-6.18
2018-05-16,TOR,NYM,"W,12-1",5,7.0,2,0,0,0,10,0,0,4.15,23,101,74,15,16,7,6,2,0,0,83,,,0,0,0,23,1,0,0,0,0,0,.53,0.221,0.10%,3.11
2018-05-22,TOR,LAA,"W,5-3",5,7.0,3,2,2,3,5,0,0,3.97,25,99,60,20,11,7,10,4,1,0,65,,,0,0,0,22,0,0,0,2,0,0,.73,0.181,0.06%,1.51
2018-05-27,TOR,PHI,"W,5-3",4,6.2,6,3,2,2,8,0,0,3.84,28,100,63,20,7,8,10,3,5,0,58,,,0,0,0,26,1,0,0,0,0,0,1.25,0.156,0.04%,0.35
2018-06-02,TOR,DET,"L,4-7",5,5.0,5,4,4,2,8,1,0,4.08,22,106,62,23,8,4,8,3,2,0,47,,,1,0,0,20,3,0,0,0,0,0,1.09,-0.215,-0.03%,-1.37
2018-06-08,TOR,BAL,"W,5-1",5,7.0,2,1,0,2,3,0,0,3.71,25,105,65,16,6,8,12,2,2,0,72,,,1,0,0,23,1,0,0,0,0,0,1.08,0.320,0.03%,2.51
2018-06-13,TOR,TBR,"L,0-1",4,5.0,1,0,0,3,4,0,0,3.48,20,98,64,21,6,7,6,3,0,0,66,,,0,0,0,16,0,0,0,0,0,1,1.11,0.279,0.03%,2.48
