date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-05-10,ARI,SDP,"W,2-1",99,2.2,4,1,1,1,3,0,0,3.38,13,39,27,5,6,7,2,1,0,0,,3,0,1,0,0,12,1,0,1,0,0,0,1.87,0.198,0.10%,1.53
2015-05-16,ARI,PHI,"L,5-7",5,1.0,0,0,0,0,0,0,0,2.45,2,6,3,1,0,1,1,1,0,0,,3,1,0,0,0,2,0,0,0,1,0,0,.64,0.032,0.01%,1.27
2015-05-17,ARI,PHI,"L,0-6",0,0.1,1,0,0,0,0,0,0,2.25,2,3,3,0,0,1,1,1,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,.05,-0.002,0.00%,-0.59
2015-05-22,ARI,CHC,"W,5-4",4,0.2,0,0,0,0,0,0,0,1.93,1,5,3,1,0,1,0,0,0,0,,2,0,0,1,0,1,0,0,0,0,0,0,.52,0.027,0.01%,0.90
2015-05-23,ARI,CHC,"L,6-9",0,1.2,1,1,1,0,1,0,0,2.84,6,19,14,4,2,4,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.94,0.107,0.06%,0.75
2015-05-25,ARI,STL,"L,2-3",1,1.0,1,1,1,0,3,1,0,3.68,4,18,14,3,2,0,1,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,3.55,-0.059,-0.03%,0.45
2015-05-27,ARI,STL,"L,3-4",1,1.0,1,0,0,0,0,0,0,3.24,4,18,11,2,1,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.78,0.136,0.06%,0.47
2015-05-31,ARI,MIL,"L,6-7",3,2.0,2,0,0,0,0,0,0,2.61,8,31,23,4,1,4,4,1,0,0,,2,2,0,0,0,8,0,0,0,0,0,0,1.23,-0.030,-0.02%,0.40
2015-06-02,ARI,ATL,"W,7-6",1,0.0,2,3,3,1,0,0,0,5.23,3,8,4,1,1,1,1,1,0,0,,2,2,0,0,0,2,1,0,0,0,0,0,2.65,-0.371,-0.16%,-3.00
2015-06-03,ARI,ATL,"W,9-8",0,1.0,1,0,0,0,2,0,0,4.76,4,16,10,6,1,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.34,0.023,0.01%,0.49
2015-06-07,ARI,NYM,"L,3-6",3,1.0,2,1,1,2,1,0,0,5.11,7,33,16,3,6,2,2,1,0,0,,0,0,4,0,0,5,0,0,1,0,0,0,.32,-0.032,-0.02%,-0.51
2015-06-08,ARI,LAD,"L,3-9",0,3.0,0,0,0,0,1,0,0,4.11,9,39,20,4,1,5,3,0,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,.01,0.002,0.00%,1.32
2015-09-08,SEA,TEX,"L,6-9",91,2.0,0,0,0,1,0,0,1,3.63,8,29,14,4,3,1,5,2,1,0,,0,0,1,0,0,6,0,0,0,0,0,0,.18,0.021,0.00%,0.92
2015-09-13,SEA,COL,"L,2-3",4,1.0,0,0,0,0,1,0,0,3.44,3,18,16,5,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.69,0.051,0.00%,0.46
2015-09-19,SEA,TEX,"L,1-10",5,0.1,1,0,0,1,0,0,0,3.38,3,13,6,3,0,0,2,1,1,0,,3,2,0,0,0,2,1,0,1,0,0,0,.93,-0.070,0.00%,-1.19
2015-09-22,SEA,KCR,"W,11-2",2,1.0,2,1,1,0,1,0,0,3.66,5,18,11,0,2,0,4,2,1,0,,0,0,0,0,0,5,1,0,0,0,0,0,.00,0.000,0.00%,-0.49
2015-09-24,SEA,KCR,"L,4-10",1,1.0,1,0,0,2,0,0,0,3.48,6,30,14,3,2,2,2,1,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.47,0.043,0.00%,0.51
2015-09-29,SEA,HOU,"W,6-4",4,1.0,1,1,1,1,1,0,0,3.74,5,20,9,2,2,0,3,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.01,-0.089,0.00%,-0.54
2015-09-30,SEA,HOU,"L,6-7",0,0.0,2,3,3,1,0,1,0,4.98,3,12,8,3,2,1,1,0,0,0,,0,0,1,0,0,2,0,0,0,0,0,0,1.62,-0.377,0.00%,-3.00
2015-10-03,SEA,OAK,"L,5-7",2,2.0,3,2,2,1,2,1,0,5.32,10,38,24,4,6,1,6,1,1,0,,0,0,0,0,0,9,0,0,0,0,0,0,1.29,-0.288,0.00%,-1.08
2017-04-03,LAA,OAK,"L,2-4",99,1.0,2,1,1,2,0,1,0,9.00,7,19,11,3,0,2,3,1,0,0,,0,0,0,0,0,5,0,0,1,0,0,0,.35,-0.058,-0.04%,-0.50
2017-04-05,LAA,OAK,"W,5-0",1,2.2,2,0,0,0,2,0,0,2.45,10,38,26,10,3,2,6,2,2,0,,0,0,0,0,0,10,1,0,0,0,0,0,.31,0.046,0.03%,1.27
2017-04-08,LAA,SEA,"W,5-4",2,1.1,3,2,2,0,1,0,0,5.40,7,21,18,8,2,5,1,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,2.13,-0.111,-0.08%,-0.51
2017-04-14,LAA,KCR,"L,1-7",5,5.0,4,5,5,2,3,1,0,7.20,21,75,50,13,9,8,8,3,3,0,40,,,0,0,0,17,1,0,0,0,1,0,.71,-0.283,-0.18%,-2.33
2017-04-19,LAA,HOU,"L,1-5",4,5.1,6,3,3,1,9,0,0,6.46,21,83,53,18,15,4,7,5,1,0,52,,,1,0,0,20,2,1,0,1,0,0,1.00,-0.049,-0.03%,0.04
2017-04-25,LAA,OAK,"W,2-1",5,7.0,2,0,0,2,7,0,0,4.43,24,92,60,14,13,2,13,5,3,0,78,,,0,1,0,22,0,0,0,0,0,0,1.11,0.447,0.24%,3.59
2017-04-30,LAA,TEX,"W,5-2",4,5.1,4,2,2,2,9,1,0,4.23,21,91,56,20,9,4,6,3,0,0,59,,,3,0,0,19,0,0,0,0,0,0,1.00,0.079,0.05%,0.90
2017-05-06,LAA,HOU,"W,2-1",5,6.0,8,1,1,2,2,0,1,3.74,26,90,52,12,2,11,10,7,0,0,52,,,0,0,0,23,2,0,0,3,0,0,1.38,0.252,0.18%,2.07
2017-05-11,LAA,DET,"L,1-7",4,7.0,8,5,5,1,4,2,0,4.20,30,99,69,17,6,11,14,6,0,0,44,,,0,0,0,29,0,0,0,1,0,1,.49,-0.262,-0.13%,-1.41
2017-05-16,LAA,CHW,"W,7-6",4,7.0,5,2,2,0,2,1,0,3.97,25,85,60,11,6,11,12,6,2,0,61,,,0,1,0,25,0,0,0,0,0,0,.88,0.234,0.12%,1.59
2017-05-22,LAA,TBR,"W,3-2",5,6.2,6,2,2,1,5,2,0,3.81,25,99,64,15,9,13,6,2,0,0,58,,,0,0,0,24,0,0,0,2,0,0,.94,0.178,0.10%,1.31
2017-05-27,LAA,MIA,"W,5-2",4,7.0,7,1,0,1,3,0,0,3.38,26,95,62,20,6,11,11,2,1,0,63,,,0,0,0,25,1,0,0,2,0,0,1.48,0.373,0.19%,2.26
2017-06-02,LAA,MIN,"L,5-11",5,4.1,8,7,7,0,3,3,1,4.11,22,74,48,21,3,8,10,7,0,0,22,,,0,0,0,21,1,0,0,0,0,0,.41,-0.336,-0.16%,-5.36
2017-06-08,LAA,DET,"W,11-4",5,5.0,10,4,4,1,4,1,0,4.33,24,89,59,10,8,7,12,5,1,0,34,,,1,1,0,23,3,0,0,0,0,0,.92,-0.133,-0.05%,-1.33
2017-06-13,LAA,NYY,"W,3-2",4,6.2,5,2,2,3,7,1,0,4.19,29,111,68,19,15,11,8,2,2,0,60,,,0,1,1,26,1,0,0,0,0,1,1.09,0.036,0.02%,1.14
2017-06-18,LAA,KCR,"L,3-7",4,3.0,5,5,5,4,6,0,1,4.59,19,89,52,9,13,3,5,3,0,0,31,,,1,0,0,14,2,0,0,0,0,0,1.39,-0.268,-0.13%,-2.46
2017-06-24,LAA,BOS,"W,6-3",5,6.0,4,1,1,0,5,1,1,4.38,22,95,64,20,13,11,5,3,1,0,65,,,0,0,0,21,1,0,0,1,0,0,1.17,0.284,0.12%,2.33
2017-06-29,LAA,LAD,"L,2-6",4,5.2,7,6,5,1,3,3,0,4.60,26,95,57,13,9,10,12,6,0,0,35,,,0,0,0,24,1,0,0,0,1,1,.89,-0.293,-0.15%,-3.16
2017-07-04,LAA,MIN,"L,4-5",4,5.0,7,4,4,2,4,0,1,4.73,24,100,59,18,11,10,7,5,1,0,39,,,3,0,0,20,2,0,0,1,1,0,1.17,-0.155,-0.07%,-0.99
2017-07-09,LAA,TEX,"W,3-0",4,6.0,2,0,0,5,2,0,0,4.46,23,96,55,15,9,11,5,1,1,0,65,,,1,0,0,17,1,0,0,2,0,0,1.25,0.397,0.15%,3.49
2017-07-15,LAA,TBR,"L,3-6",5,6.0,8,4,4,1,5,1,0,4.54,26,91,61,10,10,13,7,4,0,0,44,,,0,0,0,25,2,0,0,0,0,0,.81,-0.170,-0.07%,-0.93
2017-07-22,LAA,BOS,"W,7-3",6,6.0,5,3,1,3,6,0,0,4.38,26,101,66,30,1,9,8,5,1,0,57,,,0,0,0,23,2,0,0,0,0,1,.95,0.014,0.01%,0.07
2017-07-27,LAA,CLE,"L,1-2",4,6.2,5,2,2,6,4,1,0,4.29,29,108,63,16,10,10,9,5,1,0,54,,,1,0,0,22,1,0,0,1,0,0,1.21,0.058,0.02%,1.39
2017-08-02,LAA,PHI,"W,7-0",5,8.0,6,0,0,2,3,0,0,4.03,30,103,62,19,6,13,12,5,2,0,71,,,1,1,0,28,0,0,0,1,0,0,.46,0.192,0.06%,4.10
2017-08-07,LAA,BAL,"L,2-6",4,7.0,8,6,6,2,2,1,1,4.21,30,90,64,24,4,15,10,3,3,0,37,,,1,0,0,26,0,0,0,2,1,0,1.50,-0.381,-0.14%,-2.41
2017-08-12,LAA,SEA,"W,6-3",4,5.0,7,3,3,3,4,1,0,4.26,24,96,56,15,5,8,9,3,1,0,42,,,1,0,0,21,0,0,0,1,0,0,1.12,-0.117,-0.07%,-0.50
2017-08-19,LAA,BAL,"W,5-1",6,5.2,5,1,1,2,0,0,0,4.15,23,78,49,12,5,16,5,4,0,0,53,,,0,0,0,21,1,0,0,1,0,0,.99,0.171,0.11%,1.97
2016-04-22,CIN,CHC,"L,1-8",99,3.0,1,0,0,1,2,0,0,0.00,10,37,22,4,4,3,4,2,1,0,,0,0,0,1,0,9,0,0,0,0,0,0,.26,0.050,0.03%,1.50
2016-04-25,CIN,NYM,"L,3-5",2,2.0,2,2,2,1,2,1,0,3.60,9,27,21,3,2,4,2,2,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.00,-0.259,-0.13%,-1.05
2016-04-29,CIN,PIT,"L,1-4",3,1.0,0,0,0,1,1,0,0,3.00,4,19,8,4,0,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.05,0.003,0.00%,0.49
2016-04-30,CIN,PIT,"L,1-5",0,2.0,0,0,0,1,1,0,0,2.25,7,24,13,0,4,3,2,0,0,0,,2,1,0,0,0,5,0,0,1,0,1,0,.86,0.035,0.01%,0.97
2016-05-02,CIN,SFG,"L,6-9",1,0.1,4,4,4,0,1,0,0,6.48,5,25,14,4,2,0,4,4,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.55,-0.330,-0.12%,-2.69
2016-05-07,CIN,MIL,"L,7-13",4,2.0,1,1,1,0,3,1,0,6.10,7,26,20,7,2,3,1,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.41,-0.046,-0.02%,0.00
2016-05-09,CIN,PIT,"W,3-2",1,1.0,0,0,0,0,0,0,0,5.56,3,11,7,3,0,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.16,0.088,0.03%,0.50
2016-05-11,CIN,PIT,"L,4-5",1,0.1,0,0,0,0,0,0,0,5.40,1,2,2,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.25,0.032,0.01%,0.44
2016-05-13,CIN,PHI,"L,2-3",1,1.0,1,0,0,0,0,0,0,4.97,3,6,4,1,0,2,1,0,0,0,,0,0,0,1,1,3,0,0,0,0,0,0,.81,0.042,0.01%,0.49
2016-05-14,CIN,PHI,"L,3-4",0,1.0,1,1,1,0,1,1,0,5.27,4,18,12,1,2,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.45,-0.076,-0.02%,-0.51
2016-05-16,CIN,CLE,"L,6-15",1,1.0,2,1,0,0,1,0,0,4.91,5,16,11,3,2,2,2,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.00,0.000,0.00%,-0.45
2016-05-18,CIN,CLE,"L,7-8",1,1.1,0,0,0,1,2,0,0,4.50,6,21,11,3,3,2,1,0,0,0,,0,0,0,0,0,5,0,0,1,0,0,1,2.46,0.171,0.03%,0.60
2016-05-20,CIN,SEA,"L,3-8",1,1.0,1,1,1,1,0,0,0,4.76,5,15,10,1,1,2,2,0,0,0,,0,0,0,0,0,3,1,0,0,0,1,0,.61,-0.050,-0.01%,-0.50
2016-05-27,CIN,MIL,"L,5-9",6,1.0,3,2,2,1,0,0,0,5.50,7,19,11,2,0,5,1,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.53,-0.076,0.00%,-1.49
2016-05-28,CIN,MIL,"W,7-6",0,0.2,0,0,0,0,0,0,0,5.30,2,3,2,0,0,1,1,0,0,0,,3,1,0,0,0,1,0,0,0,0,1,0,.31,0.000,0.00%,0.58
2016-05-30,CIN,COL,"W,11-8",1,0.1,0,0,0,0,0,0,0,5.21,1,3,3,1,0,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.61,0.018,0.00%,0.26
2016-06-02,CIN,COL,"W,11-4",2,1.0,0,0,0,0,0,0,0,4.95,3,9,5,1,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.06,0.005,0.00%,0.58
2016-06-03,CIN,WSN,"W,7-2",0,1.0,0,0,0,0,3,0,0,4.71,3,15,12,2,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.006,0.00%,0.50
2016-06-05,CIN,WSN,"L,9-10",1,0.2,4,2,2,0,1,0,0,5.40,5,22,13,2,3,4,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.59,-0.084,-0.01%,-1.73
2016-06-08,CIN,STL,"L,7-12",2,0.1,5,4,4,1,0,1,0,6.95,7,26,13,3,2,3,3,3,0,0,,2,1,0,0,0,6,0,0,0,0,0,0,.43,-0.128,-0.01%,-4.95
2016-06-12,CIN,OAK,"L,1-6",3,1.0,3,1,1,0,1,0,0,7.04,6,15,12,2,2,3,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.09,-0.007,0.00%,-0.50
2016-06-13,CIN,ATL,"W,9-8",0,2.0,2,2,2,0,0,1,0,7.20,8,24,18,7,1,6,2,1,0,0,,0,0,1,0,0,8,0,0,0,0,0,0,1.25,-0.193,-0.01%,-1.03
2016-06-15,CIN,ATL,"L,8-9",1,2.0,1,0,0,0,6,0,0,6.67,7,38,29,8,8,0,1,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,2.08,0.269,0.02%,0.97
2016-06-17,CIN,HOU,"W,4-2",1,1.2,1,0,0,1,0,0,0,6.28,7,23,10,0,2,3,3,1,1,0,,3,1,0,0,0,6,0,0,0,0,0,0,2.62,0.163,0.01%,1.02
2016-06-19,CIN,HOU,"L,0-6",1,2.0,1,1,1,0,2,1,0,6.16,7,32,22,6,7,3,2,0,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.08,-0.002,0.00%,-0.05
2016-06-23,CIN,SDP,"L,4-7",3,0.2,2,2,2,0,1,1,0,6.61,4,18,13,2,3,0,3,2,0,0,,1,1,0,0,0,4,0,0,0,0,0,0,1.50,-0.404,-0.02%,-2.48
2016-06-24,CIN,SDP,"L,4-13",0,1.0,0,0,0,0,0,0,0,6.40,3,5,4,0,0,1,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.50
2016-06-27,LAA,HOU,"L,2-4",2,0.1,0,0,0,0,1,0,0,6.34,1,5,4,0,1,0,0,0,0,0,,3,1,0,0,0,1,0,0,0,0,0,0,1.28,-0.059,0.00%,-0.24
2016-06-28,LAA,HOU,"L,1-7",0,2.0,3,2,2,1,3,0,0,6.49,10,42,30,9,1,4,2,1,0,0,,0,0,2,0,0,8,1,0,0,0,1,0,.11,-0.026,0.00%,-1.04
2016-07-01,LAA,BOS,"L,4-5",2,2.0,3,0,0,0,2,0,0,6.14,9,34,23,4,3,7,0,0,0,0,,0,0,1,0,0,9,0,0,0,0,0,0,.88,0.081,0.00%,1.08
2016-07-03,LAA,BOS,"L,5-10",1,0.1,0,0,0,0,0,0,0,6.08,1,2,2,1,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.08,0.002,0.00%,0.34
2016-07-04,LAA,TBR,"L,2-4",0,1.0,0,0,0,0,1,0,0,5.92,3,10,7,1,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.29,0.022,0.00%,0.48
2016-07-06,LAA,TBR,"W,7-2",1,1.0,1,0,0,0,1,0,1,5.77,5,23,17,5,2,0,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.38,0.010,0.00%,0.48
2016-07-08,LAA,BAL,"W,9-5",1,1.0,1,0,0,1,0,0,0,5.63,5,14,7,2,0,2,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.35,0.012,0.00%,0.52
2016-07-09,LAA,BAL,"L,2-3",0,0.2,2,1,1,0,0,0,0,5.75,4,11,8,2,2,1,3,2,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.95,-0.022,0.00%,-0.10
2016-07-15,LAA,CHW,"W,7-0",5,1.0,0,0,0,1,0,0,0,5.62,4,12,6,3,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,0.00%,0.48
2016-07-18,LAA,TEX,"W,9-5",2,1.2,0,0,0,0,1,0,1,5.40,7,25,15,5,3,3,2,0,1,0,,2,0,0,0,0,6,0,0,0,0,0,1,1.22,0.170,0.01%,1.37
2016-07-20,LAA,TEX,"W,7-4",1,1.0,1,0,0,0,0,0,1,5.28,5,16,10,4,1,2,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.56,0.031,0.00%,0.48
