date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,LAD,SFG,"L,0-1",99,1.0,0,0,0,0,2,0,0,0.00,3,12,10,4,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.71,0.052,0.04%,0.47
2018-04-02,LAD,ARI,"L,7-8",3,0.1,1,0,0,1,1,0,0,0.00,3,13,6,2,1,0,1,1,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,1.88,0.016,0.01%,0.11
2018-04-07,LAD,SFG,"L,5-7",4,1.1,0,0,0,0,0,0,0,0.00,4,16,10,5,0,3,1,0,1,0,,1,0,0,0,0,4,0,0,0,0,0,0,2.25,0.230,0.12%,0.75
2018-04-08,LAD,SFG,"W,2-1",0,0.2,1,0,0,0,0,0,0,0.00,2,7,6,1,0,1,1,1,0,0,,2,1,0,0,0,2,0,0,0,1,0,0,3.93,-0.066,-0.04%,0.08
2018-04-11,LAD,OAK,"L,6-16",2,0.1,1,0,0,0,0,0,0,0.00,2,5,3,0,1,0,2,1,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,.22,-0.024,-0.01%,-0.69
2018-04-13,LAD,ARI,"L,7-8",1,1.0,1,1,1,0,2,1,0,1.93,4,13,9,5,1,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.28,-0.049,-0.03%,-0.53
2018-04-17,LAD,SDP,"W,7-3",3,1.0,0,0,0,1,2,0,0,1.59,4,16,10,4,2,1,0,0,0,0,,2,0,0,0,0,3,0,0,0,0,0,0,2.22,0.100,0.05%,0.61
2018-04-18,LAD,SDP,"W,13-4",0,1.0,0,0,0,0,1,0,0,1.35,3,12,10,4,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.006,0.00%,0.45
2018-04-23,LAD,MIA,"W,2-1",4,0.1,1,1,1,1,0,0,1,2.57,4,12,5,3,0,2,0,0,0,0,,0,0,1,0,0,2,0,0,0,0,0,0,2.76,-0.326,-0.17%,-1.41
2018-04-25,LAD,MIA,"L,6-8",1,1.0,0,0,0,0,2,0,0,2.25,3,14,10,4,3,1,0,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,.50,0.031,0.02%,0.85
