date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-29,NYM,MIA,"L,3-7",99,0.1,1,0,0,0,0,0,0,0.00,1,5,4,2,0,0,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.00,0.001,0.00%,0.09
2015-04-30,NYM,WSN,"L,2-8",0,0.2,1,0,0,0,1,0,0,0.00,3,10,9,2,3,1,1,1,0,0,,3,3,0,0,0,3,1,0,0,0,0,0,.11,-0.015,-0.01%,-1.49
2015-05-14,NYM,CHC,"L,5-6",13,0.0,0,0,0,1,0,0,0,0.00,1,5,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,.49,-0.018,-0.02%,-0.37
2015-05-16,NYM,MIL,"W,14-1",1,1.0,1,0,0,0,1,0,0,0.00,3,15,10,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.00,0.000,0.00%,0.45
2015-05-19,NYM,STL,"L,2-10",2,1.0,0,0,0,1,0,0,1,0.00,5,16,7,2,1,1,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.45
2015-05-20,NYM,STL,"L,0-9",0,1.2,1,0,0,1,3,0,0,0.00,7,30,20,8,4,2,1,0,1,0,,1,1,0,0,0,6,0,0,0,0,0,0,.02,-0.002,0.00%,0.09
2015-05-23,NYM,PIT,"L,2-8",2,1.0,2,0,0,0,1,0,0,0.00,5,21,16,5,2,2,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.04,0.002,0.00%,0.46
2015-05-30,NYM,MIA,"L,5-9",6,0.1,0,0,0,0,1,0,0,0.00,1,5,3,1,0,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.22,0.059,0.05%,0.34
2015-06-02,NYM,SDP,"L,2-7",2,1.1,2,0,0,1,1,0,0,0.00,6,27,15,3,3,1,3,2,1,0,,0,0,1,1,0,5,0,0,0,0,0,0,.06,0.001,0.00%,0.25
2015-06-03,NYM,SDP,"L,3-7",0,1.0,0,0,0,0,1,0,0,0.00,3,13,8,1,2,1,1,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,0.00%,0.81
2015-06-05,NYM,ARI,"L,2-7",1,0.0,0,1,1,1,0,0,0,1.08,1,6,2,1,1,0,0,0,0,0,,2,0,2,0,0,0,0,0,0,0,0,0,.35,-0.015,-0.01%,-0.85
2015-06-06,NYM,ARI,"L,1-2",0,0.1,0,0,0,0,1,0,0,1.04,1,4,3,3,0,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.10,0.030,0.02%,0.49
2015-06-10,NYM,SFG,"L,5-8",3,0.1,2,1,1,0,0,0,0,2.00,3,7,5,1,0,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.38,-0.021,-0.02%,-0.68
2015-06-13,NYM,ATL,"L,3-5",2,0.2,1,0,0,0,0,0,0,1.86,3,15,7,2,1,1,2,1,0,0,,0,0,1,0,0,3,1,0,0,0,0,1,1.63,0.035,0.04%,0.24
2015-06-15,NYM,TOR,"W,4-3",1,0.2,0,0,0,1,0,0,0,1.74,3,13,7,1,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.19,0.059,0.05%,0.24
2015-06-17,NYM,TOR,"L,0-8",1,0.1,0,0,0,1,1,0,0,1.69,2,11,6,2,2,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.00,0.000,0.00%,0.23
2015-06-20,NYM,ATL,"L,4-6",2,1.0,1,1,1,0,3,0,0,2.31,4,24,15,5,3,1,0,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.77,-0.053,-0.05%,-0.16
