date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-03,KCR,DET,"W,1-0",99,7.0,3,0,0,1,6,0,0,0.00,25,87,62,16,10,8,10,3,3,0,76,,,0,0,0,24,0,0,0,0,0,1,1.20,0.410,0.22%,3.30
2018-04-09,KCR,SEA,"W,10-0",5,7.0,1,0,0,2,3,0,3,0.00,26,90,56,19,6,8,10,2,1,0,76,,,0,0,0,21,0,0,0,1,0,0,.47,0.179,0.09%,3.58
2018-04-14,KCR,LAA,"L,3-5",4,4.2,7,4,4,1,7,3,0,1.93,22,98,63,18,12,3,11,2,2,0,40,,,0,0,0,21,1,0,0,0,0,0,.67,-0.179,-0.07%,-2.05
2018-04-20,KCR,DET,"W,3-2",5,8.0,4,2,2,1,4,0,0,2.03,29,106,72,19,9,11,13,4,1,0,69,,,1,0,0,27,1,1,0,0,1,0,1.00,0.110,0.03%,2.22
2018-04-26,KCR,CHW,"L,3-6",5,5.2,6,6,6,2,5,5,0,3.34,25,99,65,21,6,7,11,3,2,0,36,,,0,0,0,23,0,0,0,0,0,0,.65,-0.324,-0.09%,-3.17
2018-05-01,KCR,BOS,"W,7-6",4,6.0,7,2,2,1,5,1,0,3.29,26,101,67,16,8,10,10,4,1,0,54,,,0,0,0,25,2,0,0,0,0,0,1.11,0.067,0.02%,1.19
2018-05-06,KCR,DET,"W,4-2",4,7.0,8,2,2,1,8,1,0,3.18,29,98,67,12,13,6,14,5,1,0,60,,,0,0,0,28,1,0,0,1,0,0,.98,0.243,0.08%,2.19
2018-05-12,KCR,CLE,"L,2-6",5,5.2,6,4,4,2,7,1,0,3.53,25,92,58,18,9,4,12,8,1,0,46,,,0,0,0,23,3,0,1,0,0,0,.97,-0.207,-0.08%,-1.63
2018-05-18,KCR,NYY,"W,5-2",5,5.1,7,2,2,1,3,0,0,3.51,24,101,62,17,9,10,10,3,0,0,48,,,0,0,0,23,0,0,0,0,0,0,.97,0.220,0.04%,2.14
2018-05-23,KCR,STL,"W,5-2",4,5.0,5,2,2,1,7,0,0,3.52,21,81,55,21,6,7,6,4,0,0,55,,,0,0,0,19,2,0,0,0,0,0,.99,-0.005,0.00%,0.34
2018-05-28,KCR,MIN,"L,5-8",4,6.0,6,3,3,4,7,1,1,3.61,29,93,57,16,13,6,11,3,2,0,51,,,0,0,0,24,0,1,0,0,0,0,1.22,-0.101,-0.02%,0.07
2018-06-03,KCR,OAK,"L,1-5",5,7.1,6,3,3,1,9,0,1,3.62,30,106,69,20,15,8,11,3,3,0,62,,,1,1,0,28,1,0,0,0,0,1,1.20,0.081,0.01%,1.56
2018-06-08,KCR,OAK,"L,2-7",4,5.1,10,6,6,1,5,3,0,4.05,26,97,64,15,10,9,11,4,2,0,28,,,0,0,0,25,1,0,0,1,0,0,.49,-0.212,-0.02%,-3.70
2018-06-15,KCR,HOU,"L,3-7",6,5.1,7,6,6,1,3,3,0,4.43,24,96,62,21,3,5,15,3,1,0,32,,,0,0,0,23,0,0,0,0,0,0,1.18,-0.461,-0.01%,-3.20
