date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2020-08-04,MIA,BAL,"W,4-0",99,1.0,1,0,0,0,2,0,0,0.00,4,16,10,4,3,1,1,0,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,.86,0.060,0.04%,0.55
2020-08-07,MIA,NYM,"W,4-3",2,0.2,1,1,1,0,1,0,0,5.40,3,10,9,4,1,1,1,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,.69,-0.037,-0.03%,-0.36
2020-08-08,MIA,NYM,"L,4-8",0,0.2,0,0,0,0,1,0,0,3.86,2,7,5,0,2,0,1,1,0,0,,2,1,0,0,0,1,0,0,0,0,1,0,.78,-0.009,-0.01%,0.17
2020-08-11,MIA,TOR,"L,4-5",2,0.2,0,0,0,0,1,0,0,3.00,2,8,5,1,2,0,1,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,.34,0.018,0.01%,0.29
2020-08-12,MIA,TOR,"W,14-11",0,0.2,2,1,1,0,1,1,0,4.91,4,12,8,1,2,1,2,2,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.33,-0.028,-0.02%,-0.39
2020-08-15,MIA,ATL,"L,1-2",2,1.0,0,0,0,1,1,0,0,3.86,4,17,9,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.98,0.055,0.04%,0.50
2020-08-16,MIA,ATL,"L,0-4",0,0.1,0,0,0,0,1,0,0,3.60,1,3,3,1,2,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.45,0.013,0.01%,0.60
2020-08-18,MIA,NYM,"L,3-8",1,0.2,0,0,0,0,0,0,0,3.18,2,16,11,2,1,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.60,0.030,0.02%,0.26
2020-08-19,MIA,NYM,"L,3-5",0,0.2,0,0,0,0,1,0,0,2.84,2,8,6,2,2,0,1,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,1.19,0.058,0.05%,0.91
2020-08-21,MIA,WSN,"W,3-2",1,0.1,0,0,0,0,1,0,1,2.70,2,12,7,2,2,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.70,0.054,0.05%,0.25
2020-08-24,MIA,WSN,"W,11-8",2,0.2,1,0,0,1,0,0,0,2.45,4,12,6,1,0,3,0,0,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,.99,0.009,0.01%,-0.27
2020-08-29,MIA,TBR,"L,0-4",4,0.1,1,0,0,1,1,0,0,2.35,3,14,7,4,1,0,1,0,0,0,,2,2,0,0,0,2,1,0,0,0,0,0,.91,-0.096,-0.08%,-1.57
2020-09-01,MIA,TOR,"W,3-2",2,0.2,0,0,0,0,0,0,0,2.16,2,8,4,0,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.19,0.060,0.05%,0.26
2020-09-04,MIA,TBR,"L,4-5",2,1.0,0,0,0,2,2,0,0,1.93,5,19,8,1,5,0,1,0,0,0,,0,0,2,0,0,3,0,0,0,0,0,0,.83,0.034,0.03%,0.54
2020-09-07,MIA,ATL,"W,5-4",2,0.1,0,0,0,0,1,0,0,1.86,1,4,3,1,2,0,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,5.92,0.154,0.14%,0.81
2020-09-08,MIA,ATL,"W,8-0",0,0.2,0,0,0,1,1,0,0,1.74,3,22,13,1,3,0,1,0,1,0,,2,0,0,0,0,2,0,0,0,0,0,0,.70,0.026,0.03%,0.76
2020-09-11,MIA,PHI,"W,5-3",2,0.1,0,0,0,0,1,0,0,1.69,1,3,3,1,2,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.84,0.052,0.05%,0.32
2020-09-12,MIA,PHI,"L,6-12",0,0.2,0,0,0,0,0,0,0,1.59,2,6,4,1,0,1,1,0,1,0,,2,1,0,0,0,2,0,0,0,0,0,0,.89,-0.006,-0.01%,0.18
2020-09-15,MIA,BOS,"L,0-2",2,0.1,1,0,0,1,1,0,0,1.54,3,12,8,2,1,0,1,0,0,0,,1,1,0,0,0,2,0,0,1,0,0,0,1.48,-0.073,-0.05%,-0.79
2020-09-19,MIA,WSN,"W,7-3",3,0.2,0,0,0,0,1,0,0,1.46,2,9,6,2,2,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.66,0.034,0.03%,0.52
2020-09-21,MIA,ATL,"L,4-5",1,1.0,0,0,0,0,1,0,0,1.35,3,6,6,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.45,0.035,0.03%,0.56
2020-09-24,MIA,ATL,"W,4-2",2,0.2,1,0,0,1,1,0,0,1.29,4,13,9,3,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.53,0.003,0.00%,0.02
