date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-06,SFG,ARI,"W,5-4",99,0.0,1,1,1,0,0,0,0,inf,1,3,2,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.58,-0.028,-0.02%,-0.38
2015-04-09,SFG,SDP,"W,1-0",2,0.2,0,0,0,0,0,0,0,13.50,2,8,5,0,1,1,1,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,3.53,0.183,0.12%,0.67
2015-04-12,SFG,SDP,"L,4-6",2,0.1,0,0,0,0,0,0,0,9.00,1,4,2,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.32,0.009,0.01%,0.30
2015-04-13,SFG,COL,"L,0-2",0,0.2,0,0,0,0,0,0,0,5.40,2,6,3,1,0,2,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.56,0.025,0.02%,0.87
2015-04-14,SFG,COL,"L,1-4",0,0.1,0,0,0,0,1,0,0,4.50,1,6,4,2,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.19,0.005,0.00%,0.31
2015-04-16,SFG,ARI,"L,6-7",1,0.1,0,0,0,0,0,0,0,3.86,1,3,3,1,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,6.83,0.166,0.08%,0.74
2015-04-21,SFG,LAD,"W,6-2",4,0.1,0,0,0,0,0,0,0,3.38,1,3,2,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.72,0.051,0.02%,0.57
2015-04-23,SFG,LAD,"W,3-2",1,0.2,0,0,0,0,0,0,0,2.70,1,2,2,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,1,0,0,1.12,0.049,0.02%,0.49
2015-04-24,SFG,COL,"L,4-6",0,0.1,1,0,0,0,0,0,0,2.45,2,8,4,0,1,1,1,1,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,1.31,-0.068,-0.04%,-0.53
2015-04-25,SFG,COL,"W,5-4",0,0.1,0,0,0,0,0,0,0,2.25,1,3,3,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.30,0.060,0.03%,0.26
