date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2020-07-27,WSN,TOR,"L,1-4",99,2.1,0,0,0,0,0,0,0,0.00,7,20,14,5,1,1,6,2,0,0,,1,0,0,0,0,7,0,0,0,0,0,0,.30,0.057,0.04%,1.38
2020-07-30,WSN,TOR,"W,6-4",2,1.1,1,1,1,0,2,1,0,2.45,5,21,15,4,1,1,2,1,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.79,0.020,0.01%,-0.19
2020-08-04,WSN,NYM,"W,5-3",4,1.0,2,0,0,0,2,0,0,1.93,4,20,13,2,4,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.60,0.082,0.06%,0.56
2020-08-05,WSN,NYM,"L,1-3",0,1.0,0,0,0,0,2,0,0,1.59,3,14,10,5,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.28,0.022,0.02%,0.56
2020-08-08,WSN,BAL,"L,3-5",2,1.0,0,0,0,0,0,0,0,1.35,3,13,7,2,2,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.88,0.070,0.04%,0.56
2020-08-09,WSN,BAL,"L,2-6",0,0.2,0,0,0,0,2,0,0,1.23,2,6,6,4,1,0,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.25,0.014,0.01%,0.56
2020-08-11,WSN,NYM,"W,2-1",1,0.1,1,0,0,1,0,0,0,1.17,3,15,8,3,0,0,2,1,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,2.41,-0.081,-0.05%,-0.41
2020-08-13,WSN,NYM,"L,2-8",1,1.0,3,1,1,0,0,0,0,2.08,6,20,15,2,2,2,4,2,2,0,,0,0,0,0,0,6,0,0,0,0,0,0,.03,-0.002,0.00%,-0.51
2020-08-15,WSN,BAL,"L,3-7",1,0.2,0,1,1,1,0,0,0,2.89,3,18,10,2,3,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.69,0.017,0.01%,0.30
2020-08-18,WSN,ATL,"W,8-5",2,0.1,1,0,0,1,0,0,0,2.79,3,15,8,1,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,3.03,-0.120,-0.08%,-0.68
2020-08-24,WSN,MIA,"L,8-11",5,1.1,5,1,1,1,1,0,0,3.27,10,41,28,7,5,1,7,5,1,0,,2,2,0,0,0,9,1,0,0,0,0,0,.20,-0.099,-0.08%,-2.30
2020-08-25,WSN,PHI,"L,3-8",0,1.0,1,0,0,0,0,0,0,3.00,3,12,9,2,0,0,3,2,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.50,0.029,0.02%,0.56
2020-08-30,WSN,BOS,"L,5-9",4,2.0,5,3,3,0,2,1,0,4.50,10,41,29,2,5,2,6,2,0,0,,0,0,0,0,0,10,1,0,0,1,0,0,.35,-0.101,-0.05%,-1.84
2020-09-01,WSN,PHI,"L,0-6",1,1.2,0,0,0,3,2,0,0,4.02,8,29,14,5,4,1,2,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.01,0.002,0.00%,0.28
2017-08-09,MIA,WSN,"L,1-10",99,1.2,3,3,3,3,1,1,0,16.20,11,49,30,5,2,2,5,1,3,0,,1,1,0,0,0,8,1,0,1,0,0,0,.08,-0.019,0.00%,-2.75
2017-08-13,MIA,COL,"W,5-3",3,2.0,0,0,0,1,3,0,0,7.36,7,32,19,4,2,1,2,0,1,0,,2,0,0,0,0,6,0,0,0,0,0,0,1.93,0.311,0.04%,2.40
2017-08-16,MIA,SFG,"W,8-1",2,1.0,0,0,0,1,0,0,0,5.79,3,8,3,1,0,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.06,0.002,0.00%,0.47
2017-08-19,MIA,NYM,"L,1-8",2,1.0,1,1,1,0,1,1,0,6.35,4,13,10,2,2,0,3,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,-0.001,0.00%,-0.52
2017-09-04,MIA,WSN,"L,2-7",15,2.0,1,0,0,0,2,0,0,4.70,7,32,22,7,3,2,3,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.63,0.088,0.01%,0.93
2017-09-10,MIA,ATL,"L,8-10",5,1.1,2,0,0,0,0,0,0,4.00,6,15,14,1,0,4,2,0,0,0,,2,2,0,0,0,6,0,0,0,0,0,0,3.41,-0.267,0.00%,-1.04
2017-09-12,MIA,PHI,"L,8-9",1,0.2,2,1,1,0,0,0,0,4.66,4,7,5,1,0,1,3,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,2.33,-0.361,0.00%,-0.82
2017-09-14,MIA,PHI,"L,0-10",1,3.2,4,1,1,1,2,0,0,4.05,14,54,39,11,3,8,3,2,0,0,,1,1,0,0,0,13,1,0,0,2,0,0,.05,-0.015,0.00%,0.05
2017-09-17,MIA,MIL,"L,3-10",2,1.0,1,0,0,0,0,0,0,3.77,3,13,10,3,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.00,0.004,0.00%,0.52
2017-09-19,MIA,NYM,"W,5-4",1,1.0,2,1,1,0,0,0,0,4.11,5,16,12,3,0,2,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.34,-0.032,0.00%,-0.54
2017-09-22,MIA,ARI,"L,11-13",2,0.1,2,0,0,0,0,0,0,4.02,3,9,7,1,0,1,2,2,0,0,,2,2,0,0,0,3,1,0,0,0,0,0,1.29,-0.138,0.00%,-1.53
2017-09-24,MIA,ARI,"L,2-3",1,0.1,1,0,0,0,0,0,0,3.94,2,6,4,1,1,1,1,1,0,0,,3,1,0,0,0,2,0,0,0,0,0,0,5.90,-0.162,0.00%,-0.17
2017-09-26,MIA,COL,"L,0-6",1,1.2,2,0,0,1,0,0,0,3.57,7,19,12,3,1,4,2,2,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,.03,0.002,0.00%,0.93
2017-09-27,MIA,COL,"L,9-15",0,1.0,2,1,0,0,0,0,0,3.38,5,17,13,2,0,5,0,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,1,.00,0.000,0.00%,-0.40
2017-09-29,MIA,ATL,"W,6-5",1,1.0,0,0,0,0,2,0,0,3.20,3,16,12,5,1,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.10,0.008,0.00%,0.47
2017-10-01,MIA,ATL,"L,5-8",1,1.1,0,0,0,0,1,0,0,3.00,4,14,13,4,1,1,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.15,0.016,0.00%,0.56
