date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-06,SFG,ARI,"W,5-4",99,0.1,1,2,2,1,0,0,0,54.00,3,8,4,1,1,0,2,1,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.46,-0.068,-0.04%,-0.69
2015-04-08,SFG,ARI,"W,5-2",1,1.0,1,0,0,0,0,0,0,13.50,4,8,4,0,0,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.36,0.107,0.07%,0.49
2015-04-09,SFG,SDP,"W,1-0",0,0.2,1,0,0,0,1,0,0,9.00,4,13,8,2,1,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,3.01,-0.004,0.00%,-0.02
2015-04-12,SFG,SDP,"L,4-6",2,1.0,1,0,0,1,0,0,0,6.00,5,20,11,2,2,2,2,1,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.40,0.020,0.01%,0.48
2015-04-14,SFG,COL,"L,1-4",1,1.0,0,0,0,1,0,0,0,4.50,3,9,4,0,2,2,0,0,0,0,,0,0,0,1,0,2,0,0,0,0,0,0,.18,0.013,0.01%,0.46
2015-04-16,SFG,ARI,"L,6-7",1,2.0,0,0,0,0,2,0,0,3.00,6,30,22,7,4,4,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.54,0.080,0.04%,0.92
2015-04-19,SFG,ARI,"L,1-5",2,1.1,2,0,0,0,1,0,0,2.45,6,15,10,1,2,4,1,1,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,.10,0.002,0.00%,-0.23
2015-04-21,SFG,LAD,"W,6-2",1,0.2,2,1,1,1,1,0,0,3.38,5,20,10,6,0,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.26,-0.007,0.00%,-0.28
2015-04-23,SFG,LAD,"W,3-2",1,1.0,0,0,0,0,0,0,0,3.00,3,11,6,1,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.45,0.034,0.02%,0.46
2015-04-25,SFG,COL,"W,5-4",1,1.2,1,0,0,0,0,0,0,2.53,5,17,10,2,1,5,0,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,2.85,0.303,0.15%,0.84
2015-04-29,SFG,LAD,"L,3-7",3,1.0,0,0,0,0,1,0,0,2.31,3,9,6,3,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.06,0.005,0.00%,0.44
2015-05-01,SFG,LAA,"W,3-2",1,0.2,0,0,0,0,1,0,0,2.19,2,6,4,1,0,0,1,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,3.34,0.207,0.09%,1.14
2015-05-03,SFG,LAA,"W,5-0",1,1.0,0,0,0,1,2,0,0,2.03,4,18,8,2,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.06,0.005,0.00%,0.46
2015-05-06,SFG,SDP,"L,1-9",2,0.2,2,3,3,2,0,0,0,3.86,7,31,16,5,1,1,4,2,0,0,,0,0,1,0,0,4,1,0,0,0,1,0,.04,-0.013,-0.01%,-2.95
2015-05-07,SFG,MIA,"L,2-7",0,1.0,0,0,0,0,1,0,0,3.60,3,14,10,5,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.006,0.00%,0.46
2015-05-09,SFG,MIA,"L,2-6",1,0.2,2,3,3,2,0,0,0,5.17,7,22,11,3,2,4,1,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.47,-0.109,-0.06%,-2.95
2015-05-14,SFG,CIN,"L,3-4",4,1.0,0,0,0,0,1,0,0,4.86,3,14,10,3,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.53,0.040,0.02%,0.46
2015-05-16,SFG,CIN,"W,11-2",1,2.1,1,0,0,1,2,0,1,4.26,10,33,19,7,3,6,0,0,0,0,,2,0,0,0,0,8,0,0,0,0,0,0,.04,0.004,0.00%,1.51
2015-05-19,SFG,LAD,"W,2-0",2,0.1,0,0,0,0,0,0,0,4.19,1,3,1,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.33,0.035,0.03%,0.18
2015-05-20,SFG,LAD,"W,4-0",0,0.2,2,0,0,0,0,0,0,4.05,4,14,10,0,1,0,4,2,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,.55,-0.005,-0.01%,-0.11
2015-05-22,SFG,COL,"W,11-8",1,0.2,2,1,1,1,0,0,0,4.35,5,13,5,1,0,1,3,2,0,0,,0,0,0,0,0,4,2,0,0,0,0,0,.54,-0.041,-0.03%,-0.92
2015-05-24,SFG,COL,"L,2-11",1,2.2,5,3,2,1,1,1,0,4.63,15,46,30,8,2,6,7,4,0,0,,2,2,0,0,0,14,2,0,0,0,0,1,.02,-0.027,-0.02%,-3.79
2015-05-30,SFG,ATL,"L,0-8",5,2.0,5,4,4,0,3,1,0,5.68,11,38,25,3,4,0,8,5,0,0,,0,0,1,0,0,11,0,1,0,0,0,0,.10,-0.018,-0.01%,-3.08
2015-06-01,SFG,PIT,"L,3-4",1,1.0,0,0,0,0,0,0,0,5.47,3,8,5,0,0,0,3,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.41,0.031,0.03%,0.46
2015-06-24,SFG,SDP,"W,6-0",22,1.0,0,0,0,0,1,0,0,5.27,3,8,6,1,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.002,0.00%,0.46
2015-06-26,SFG,COL,"L,6-8",1,0.1,1,0,0,0,0,0,0,5.20,2,6,5,0,1,0,2,2,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.03,0.001,0.00%,0.21
2015-06-30,SFG,MIA,"L,3-5",3,0.2,1,1,1,1,0,0,0,5.40,4,11,5,1,1,2,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,1,0,.75,-0.068,-0.06%,-0.89
2015-07-02,SFG,MIA,"L,4-5",1,1.1,1,0,0,1,1,0,0,5.16,6,16,8,3,0,3,1,1,0,0,,0,0,0,0,0,5,0,1,0,0,0,0,.43,-0.020,-0.02%,-0.24
2015-07-04,SFG,WSN,"L,3-9",1,1.0,1,0,0,0,1,0,0,4.99,4,8,8,1,3,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.00%,0.47
2015-07-06,SFG,NYM,"L,0-3",1,0.2,0,0,0,0,1,0,0,4.88,2,7,6,1,1,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.14,0.007,0.01%,0.49
2015-07-08,SFG,NYM,"L,1-4",1,1.0,2,2,2,0,0,1,0,5.29,5,15,11,1,0,1,4,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.16,-0.052,-0.04%,-1.54
2015-07-10,SFG,PHI,"W,15-2",1,2.0,2,0,0,0,1,0,0,4.98,7,22,15,6,2,3,3,2,0,0,,0,0,0,0,0,7,0,0,0,1,0,0,.01,0.001,0.00%,0.92
2015-07-17,SFG,ARI,"W,6-5",6,0.2,2,1,1,0,0,0,0,5.14,4,18,12,3,1,1,3,3,0,0,,0,0,0,0,0,4,2,0,0,0,0,0,.64,-0.061,-0.05%,-0.83
2015-08-01,BOS,TBR,"W,11-7",14,1.1,1,1,1,0,1,1,0,5.20,5,21,15,4,2,3,1,0,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,.38,0.051,0.00%,0.03
2015-08-04,BOS,NYY,"L,3-13",2,0.1,1,3,2,1,1,0,0,5.65,4,18,10,3,3,2,0,0,0,0,,2,0,0,0,0,3,0,0,0,0,0,1,1.04,-0.111,-0.01%,-1.56
2015-08-07,BOS,DET,"W,7-2",2,1.0,1,0,0,0,1,0,0,5.50,4,10,8,2,1,0,3,1,2,0,,0,0,0,0,0,4,1,0,0,0,0,0,.37,0.019,0.00%,0.48
2015-08-09,BOS,DET,"W,7-2",1,1.0,0,0,0,1,2,0,0,5.35,4,17,10,7,2,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.24,0.007,0.00%,0.48
2015-08-11,BOS,MIA,"L,4-5",1,1.0,1,0,0,1,1,0,0,5.22,5,17,9,2,2,2,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,2.73,0.132,0.01%,0.45
