date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-06,LAA,SEA,"L,1-4",99,6.0,8,4,4,0,1,1,0,6.00,25,90,54,17,4,7,17,7,3,0,41,,,0,0,0,25,3,1,0,1,0,0,.76,-0.206,-0.13%,-1.23
2015-04-11,LAA,KCR,"L,4-6",4,4.1,7,6,6,4,5,2,0,8.71,22,85,48,17,10,6,7,3,0,0,26,,,1,1,0,18,1,0,0,1,0,0,.99,-0.378,-0.22%,-3.86
2015-04-17,LAA,HOU,"W,6-3",5,6.0,6,2,2,0,3,1,0,6.61,25,86,60,13,8,11,11,3,1,0,55,,,1,0,0,25,1,0,0,0,0,1,1.34,0.066,0.05%,0.83
2015-04-22,LAA,OAK,"L,2-9",4,6.0,8,1,1,0,3,0,0,5.24,25,93,61,23,6,9,13,8,0,0,55,,,3,0,0,25,0,0,0,1,0,0,1.25,0.228,0.15%,1.74
2015-04-28,LAA,OAK,"L,2-6",5,7.0,6,6,6,0,1,2,1,5.83,29,98,67,26,5,11,16,10,2,0,42,,,2,0,0,28,0,0,0,0,0,1,.60,-0.386,-0.26%,-2.70
2015-05-03,LAA,SFG,"L,0-5",4,5.0,10,5,5,1,2,2,0,6.29,25,87,56,15,9,11,11,5,1,0,28,,,0,0,0,24,2,1,0,1,0,0,.59,-0.231,-0.12%,-2.70
2015-05-08,LAA,HOU,"W,2-0",4,9.0,6,0,0,0,6,0,0,4.98,32,120,77,20,13,8,18,7,4,0,81,,,0,2,1,32,0,0,0,0,0,1,.98,0.533,0.35%,4.12
2015-05-15,LAA,BAL,"W,3-1",6,7.1,3,1,1,1,3,1,0,4.44,26,83,54,14,6,8,14,7,4,0,70,,,0,0,0,25,0,0,0,1,0,1,1.06,0.363,0.22%,2.71
2015-05-20,LAA,TOR,"W,4-3",4,7.0,4,3,3,3,4,0,0,4.37,27,93,58,17,11,11,9,4,1,0,58,,,1,0,0,24,2,0,0,1,0,0,1.09,0.027,0.02%,0.51
2015-05-25,LAA,SDP,"W,4-3",4,6.2,6,1,1,1,7,0,0,4.06,26,104,72,22,16,10,8,1,3,0,64,,,0,0,1,25,0,0,0,0,0,0,1.10,0.330,0.18%,2.90
2015-05-30,LAA,DET,"W,8-6",4,6.1,9,3,3,0,3,1,1,4.08,27,96,70,19,3,9,14,8,0,0,46,,,1,0,0,25,2,0,0,1,1,0,.71,0.009,0.01%,-0.66
2015-06-05,LAA,NYY,"L,7-8",5,5.2,9,7,7,0,2,3,0,4.60,26,98,63,20,7,6,18,6,6,0,25,,,1,0,0,25,1,1,0,0,1,0,.50,-0.271,-0.18%,-4.16
2015-06-10,LAA,TBR,"L,2-4",4,7.2,8,4,4,3,1,1,0,4.61,33,103,66,15,7,9,20,7,6,0,45,,,1,1,0,30,2,0,0,0,0,0,.93,-0.026,-0.02%,0.42
2015-06-15,LAA,ARI,"L,3-7",4,7.0,8,5,4,2,4,2,0,4.65,30,95,61,17,6,8,16,6,3,0,45,,,1,0,0,27,2,0,0,0,0,0,.55,-0.225,-0.15%,-1.80
2015-06-20,LAA,OAK,"L,1-4",4,5.2,6,4,4,1,4,0,0,4.75,25,100,66,16,4,5,15,7,5,0,44,,,1,0,0,24,4,0,0,0,0,1,1.01,-0.160,-0.11%,-0.48
2015-08-09,LAA,BAL,"W,5-4",49,5.0,4,2,2,0,7,0,1,4.69,19,85,54,16,18,7,4,3,0,0,58,,,0,0,0,18,1,0,0,1,0,0,.96,0.035,0.04%,0.29
2015-08-14,LAA,KCR,"L,1-4",4,6.0,4,3,2,2,3,1,2,4.60,27,97,56,24,7,6,14,1,2,0,55,,,2,0,0,23,1,0,0,0,0,1,1.20,-0.117,-0.13%,0.04
2015-08-19,LAA,CHW,"W,1-0",4,6.1,5,0,0,0,5,0,0,4.34,24,86,57,21,10,11,8,3,1,0,68,,,1,0,0,23,1,0,0,0,0,0,1.22,0.336,0.36%,2.72
2015-08-25,LAA,DET,"W,8-7",5,5.2,7,6,6,0,1,1,2,4.59,27,86,53,13,2,8,16,8,2,0,32,,,0,0,0,24,4,0,0,0,0,1,1.03,-0.297,-0.23%,-3.33
2015-08-30,LAA,CLE,"L,2-9",4,6.0,9,8,8,4,2,1,1,4.94,31,108,73,18,9,5,19,9,4,0,20,,,0,0,0,24,5,0,2,0,0,0,.76,-0.220,-0.14%,-4.87
2015-09-05,LAA,TEX,"L,1-2",5,6.0,4,1,1,3,3,0,2,4.78,27,106,60,19,8,8,11,4,2,0,60,,,1,0,0,22,1,0,1,0,0,0,1.45,0.234,0.21%,1.74
2015-09-11,LAA,HOU,"W,3-2",5,6.0,5,2,2,2,7,1,0,4.71,24,101,65,20,10,6,9,2,2,0,59,,,2,1,0,22,1,0,0,0,0,0,.88,0.095,0.06%,0.74
2015-09-16,LAA,SEA,"L,1-3",4,4.2,6,3,3,1,3,1,1,4.74,20,78,49,12,7,4,11,4,2,0,42,,,0,1,0,18,1,0,0,0,0,0,1.06,-0.135,-0.08%,-0.91
2015-09-21,LAA,HOU,"L,3-6",4,5.2,9,5,5,2,5,2,0,4.86,25,108,67,21,8,5,13,6,1,0,34,,,0,1,1,23,1,0,0,0,0,0,.41,-0.243,-0.31%,-2.39
2015-09-27,LAA,SEA,"W,3-2",5,5.0,4,1,1,0,3,0,1,4.76,18,71,48,16,7,4,10,3,4,0,58,,,0,2,0,17,2,0,0,0,0,0,1.02,0.127,0.18%,1.29
2015-10-02,LAA,TEX,"W,2-1",4,6.0,2,1,1,3,2,1,0,4.64,24,91,54,23,7,6,13,6,4,0,63,,,3,1,0,21,1,0,0,0,0,2,1.31,0.236,0.28%,2.07
2017-04-06,SDP,LAD,"L,2-10",99,5.0,5,4,4,3,2,2,1,7.20,24,82,46,10,2,8,10,4,3,0,40,,,0,0,0,20,0,0,0,0,0,0,.56,-0.182,-0.11%,-1.52
2017-04-11,SDP,COL,"L,2-3",4,6.0,3,2,2,0,5,2,0,4.91,21,74,53,18,12,8,8,1,2,0,63,,,0,0,0,21,1,0,0,0,0,0,.92,0.116,0.08%,1.63
2017-04-17,SDP,ATL,"L,4-5",5,6.0,7,3,2,0,3,1,0,4.24,24,64,46,9,7,12,9,6,1,0,51,,,0,0,0,24,2,0,0,1,0,0,.77,-0.080,-0.04%,0.10
2017-04-22,SDP,MIA,"L,3-6",4,6.0,4,2,2,1,3,2,0,3.91,22,85,57,25,6,7,11,2,4,0,58,,,1,0,0,21,0,0,0,0,0,0,.88,0.062,0.03%,0.95
2017-04-27,SDP,ARI,"L,2-6",4,5.2,6,5,5,2,1,3,0,4.71,24,81,45,12,4,9,12,5,1,0,36,,,1,0,1,22,1,0,0,0,0,0,.73,-0.223,-0.12%,-2.04
2017-05-03,SDP,COL,"L,3-11",5,4.0,10,10,5,0,2,2,0,5.51,25,89,61,12,7,10,13,8,0,0,14,,,0,0,0,23,3,0,0,0,1,2,.53,-0.403,-0.22%,-7.38
2017-05-09,SDP,TEX,"L,0-11",5,3.0,6,7,7,2,4,2,2,6.81,18,68,42,11,10,3,7,4,0,0,21,,,0,0,0,14,1,0,0,0,0,0,.56,-0.400,-0.13%,-5.53
2017-05-14,SDP,CHW,"L,3-9",4,6.0,5,1,1,2,3,0,1,6.05,24,89,48,12,5,7,11,3,1,0,59,,,1,0,0,21,0,0,0,2,0,1,.99,0.179,0.04%,2.07
2017-05-19,SDP,ARI,"L,1-10",4,0.2,5,7,7,2,0,2,0,7.44,9,39,24,8,2,3,4,1,1,0,12,,,2,0,0,7,1,0,0,0,0,0,.91,-0.415,-0.07%,-5.74
2016-04-10,LAA,TEX,"W,3-1",99,6.0,6,1,1,1,4,1,1,1.50,25,84,56,18,11,5,14,3,2,0,59,,,1,0,0,23,0,0,0,1,0,0,1.32,0.238,0.14%,1.89
2016-04-16,LAA,MIN,"L,4-6",5,4.1,8,4,4,2,1,1,1,4.35,23,96,62,16,5,5,14,9,3,0,30,,,2,0,0,20,1,1,0,0,0,0,1.25,-0.349,-0.20%,-2.88
2016-04-21,LAA,CHW,"W,3-2",4,7.0,3,1,1,2,2,1,0,3.12,25,93,58,17,6,5,16,6,3,0,67,,,0,1,0,23,1,0,0,0,0,0,.98,0.312,0.16%,2.41
2016-04-26,LAA,KCR,"W,9-4",4,6.0,9,4,4,2,4,1,0,3.86,27,90,56,20,5,6,15,6,0,0,40,,,0,0,0,25,6,0,0,2,0,0,1.07,-0.189,-0.11%,-1.11
2016-05-02,LAA,MIL,"L,5-8",5,5.0,11,7,7,2,3,0,0,5.40,26,92,58,16,7,5,16,12,1,0,18,,,0,0,1,23,2,0,1,1,0,0,1.13,-0.315,-0.18%,-3.47
2016-05-07,LAA,TBR,"L,2-4",4,6.0,6,2,1,0,5,1,0,4.72,25,103,75,20,16,7,13,5,4,0,59,,,2,0,0,25,0,0,0,0,0,1,1.26,0.061,0.03%,0.89
2016-05-12,LAA,STL,"L,10-12",4,4.0,9,8,8,0,5,3,0,6.10,21,79,56,15,8,5,11,5,1,0,17,,,0,0,0,21,1,0,0,0,0,0,1.04,-0.772,-0.26%,-6.07
2016-05-17,LAA,LAD,"L,1-5",4,7.0,10,4,3,2,2,2,0,5.76,31,83,55,13,4,14,13,6,2,0,43,,,0,0,0,29,1,0,0,2,0,1,.73,-0.154,-0.07%,-0.63
2016-05-22,LAA,BAL,"W,10-2",4,7.0,5,2,2,1,6,1,0,5.33,26,103,76,25,18,3,16,5,3,0,64,,,1,1,0,25,0,0,0,0,0,0,.48,0.182,0.08%,1.38
2016-05-28,LAA,HOU,"L,2-4",5,6.0,6,4,4,3,3,1,1,5.40,26,95,59,19,3,7,12,6,1,0,44,,,1,0,0,21,1,0,0,2,1,0,1.40,-0.221,-0.10%,-1.11
2016-06-03,LAA,PIT,"W,9-2",5,6.0,6,2,2,1,5,2,0,5.18,24,96,60,22,9,5,13,5,1,0,56,,,1,1,0,23,1,0,0,0,0,0,.70,0.050,0.02%,0.95
2016-06-08,LAA,NYY,"L,6-12",4,5.1,9,6,6,2,2,2,0,5.56,28,91,63,21,4,8,15,4,4,0,26,,,0,0,0,25,3,0,0,0,0,0,1.32,-0.319,-0.10%,-2.40
2016-06-13,LAA,MIN,"L,4-9",4,6.0,8,6,5,2,4,2,0,5.71,28,106,73,29,9,10,12,5,2,0,36,,,1,0,0,26,1,0,0,1,0,1,.82,-0.400,-0.08%,-3.11
2016-06-19,LAA,OAK,"W,2-0",5,9.0,3,0,0,1,1,0,0,5.10,29,95,62,20,3,7,20,7,5,0,81,,,0,0,0,28,0,0,0,1,0,0,1.09,0.621,0.11%,4.39
2016-06-24,LAA,OAK,"L,4-7",4,4.2,8,4,4,1,4,1,0,5.24,21,94,57,19,8,7,9,5,2,0,35,,,0,1,0,19,1,0,0,1,1,0,1.22,-0.254,-0.03%,-2.08
2016-06-29,LAA,HOU,"L,4-10",4,5.1,7,6,6,4,3,1,0,5.51,28,90,57,15,10,3,18,10,1,0,29,,,1,0,0,23,1,1,0,0,1,1,.98,-0.400,-0.02%,-3.36
2016-07-06,LAA,TBR,"W,7-2",6,6.0,4,1,1,1,5,1,0,5.27,23,99,61,15,9,7,10,3,3,0,64,,,0,0,0,22,0,0,0,0,0,0,.41,0.164,0.00%,1.89
2016-07-17,LAA,CHW,"W,8-1",10,7.0,6,1,1,1,1,0,0,5.02,26,86,61,15,8,6,18,5,6,0,61,,,0,0,0,25,2,0,0,1,0,0,.61,0.142,0.01%,2.38
2016-07-23,LAA,HOU,"L,2-7",5,4.0,7,6,6,3,1,2,1,5.32,21,84,51,15,2,2,14,2,2,0,22,,,0,1,0,17,2,0,0,0,0,0,.83,-0.294,-0.03%,-4.09
2016-07-28,LAA,BOS,"W,2-1",4,5.2,6,1,1,2,2,0,0,5.14,22,104,63,22,2,1,17,11,0,0,53,,,1,1,0,19,0,0,1,1,1,0,1.01,0.135,0.01%,1.47
2016-08-03,LAA,OAK,"W,8-6",5,6.0,9,4,3,0,1,0,0,5.11,26,89,60,14,5,10,15,7,2,0,41,,,1,0,0,26,1,0,0,2,0,1,1.29,-0.158,-0.01%,-1.11
2016-08-09,LAA,CHC,"L,1-5",5,5.0,8,5,4,2,3,2,0,5.19,24,87,55,15,14,4,15,7,4,0,34,,,0,1,0,21,3,0,0,0,1,0,.78,-0.262,0.00%,-2.50
2016-08-14,LAA,CLE,"L,4-5",4,5.1,10,5,5,2,0,1,0,5.32,25,91,51,17,4,6,17,10,2,0,26,,,2,0,0,23,2,0,0,1,0,0,1.49,-0.220,0.00%,-1.40
2016-08-19,LAA,NYY,"L,0-7",4,4.2,10,5,5,0,2,4,0,5.47,22,70,52,9,9,2,18,7,3,0,26,,,1,0,0,22,3,0,0,1,0,0,.69,-0.216,0.00%,-2.69
2016-08-25,LAA,TOR,"W,6-3",5,5.2,5,2,1,3,4,1,0,5.31,26,98,61,15,12,7,12,5,3,0,54,,,1,0,0,22,2,0,0,0,1,1,1.09,-0.031,0.00%,0.32
2016-08-30,LAA,CIN,"W,4-2",4,6.1,8,2,2,0,5,1,0,5.21,26,88,64,21,8,5,16,7,4,0,54,,,1,1,0,26,1,0,0,0,0,0,.77,0.076,0.00%,0.87
2016-09-05,LAA,OAK,"W,10-7",5,4.0,4,5,5,3,4,1,0,5.37,19,83,48,14,8,5,7,5,0,0,35,,,0,0,0,16,2,0,0,0,0,0,.92,-0.138,0.00%,-3.05
2016-09-11,LAA,TEX,"W,3-2",5,6.2,4,2,2,2,8,2,0,5.25,26,100,67,20,9,2,14,2,5,0,64,,,1,0,0,24,0,0,0,0,0,0,.94,0.132,0.00%,1.15
2016-09-16,LAA,TOR,"L,0-5",4,6.0,7,2,2,3,4,1,0,5.17,26,101,61,21,8,7,12,4,3,0,51,,,0,0,0,23,0,0,0,1,0,0,1.06,0.025,0.00%,0.89
2016-09-21,LAA,TEX,"W,5-4",4,6.0,6,4,4,2,6,1,0,5.20,25,95,61,19,6,7,10,3,3,0,48,,,1,0,0,23,0,1,0,1,0,0,1.15,0.003,0.00%,-0.74
2016-09-26,LAA,OAK,"W,2-1",4,5.0,1,0,0,1,3,0,0,5.06,17,71,50,12,5,7,6,3,0,0,67,,,1,0,0,16,0,0,0,0,0,0,.91,0.279,0.00%,2.41
