date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-21,ATL,NYM,"W,4-3",99,1.0,0,0,0,1,0,0,0,0.00,4,15,8,0,0,3,0,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,.64,0.037,0.03%,0.49
2018-04-23,ATL,CIN,"L,4-10",1,1.1,1,0,0,1,1,0,0,0.00,6,23,14,6,2,3,1,0,0,0,,3,3,0,0,0,5,0,0,0,0,0,0,.46,-0.107,-0.07%,-1.74
2018-04-25,ATL,CIN,"W,5-4",1,2.0,3,0,0,1,2,0,0,0.00,9,31,21,4,4,4,2,1,1,0,,0,0,0,0,0,8,1,0,1,1,0,0,1.26,0.089,0.05%,0.99
2018-04-29,ATL,PHI,"W,10-1",3,2.0,0,0,0,1,5,0,0,0.00,7,29,17,5,6,1,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.01,0.002,0.00%,0.99
2018-05-03,ATL,NYM,"W,11-0",3,1.0,0,0,0,0,1,0,0,0.00,3,11,7,2,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.44
2018-05-04,ATL,SFG,"L,4-9",0,1.0,2,2,2,1,2,1,0,2.16,6,25,17,4,6,1,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.23,-0.065,-0.05%,-1.51
2018-05-06,ATL,SFG,"L,3-4",1,0.2,1,0,0,0,0,0,0,2.00,3,13,8,1,1,1,2,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,.36,0.005,0.00%,0.17
2018-05-11,ATL,MIA,"L,3-6",4,2.0,2,0,0,0,1,0,0,1.64,7,15,12,2,1,4,2,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.15,0.016,0.01%,0.91
2018-05-13,ATL,MIA,"W,4-3",1,0.0,2,2,2,0,0,0,0,3.27,2,5,4,2,0,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.61,-0.063,-0.05%,-0.97
2018-05-19,ATL,MIA,"W,8-1",5,1.0,1,0,0,0,0,0,0,3.00,4,19,10,4,0,2,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.02,0.001,0.00%,0.49
2018-05-21,ATL,PHI,"L,0-3",1,1.0,0,0,0,1,1,0,0,2.77,4,13,6,3,0,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.12,0.006,0.01%,0.49
2018-05-23,ATL,PHI,"L,0-4",1,0.1,0,0,0,0,1,0,0,2.70,1,7,4,2,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.08,0.002,0.00%,0.32
2018-05-25,ATL,BOS,"L,2-6",1,0.2,1,1,1,0,1,0,0,3.21,3,7,6,3,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.99,0.024,0.02%,0.29
2018-05-26,ATL,BOS,"L,6-8",0,1.0,1,1,1,0,0,1,0,3.60,4,17,12,3,1,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.94,-0.049,-0.04%,-0.47
2018-05-28,ATL,NYM,"W,4-3",1,2.0,1,0,0,1,1,0,0,3.18,7,31,19,5,4,3,2,1,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,.62,0.070,0.06%,0.98
2018-06-02,ATL,WSN,"L,3-5",4,3.0,1,0,0,2,8,0,1,2.70,13,50,33,9,12,0,2,1,0,0,,0,0,1,0,0,10,0,0,1,0,0,0,2.83,0.404,0.42%,1.46
2018-06-06,ATL,SDP,"L,1-3",3,1.0,0,0,0,1,0,0,0,2.57,3,12,7,2,1,0,2,2,0,0,,0,0,0,1,0,2,0,0,0,0,0,0,.63,0.043,0.04%,0.45
2018-06-08,ATL,LAD,"L,3-7",1,1.0,1,1,1,0,2,1,0,2.86,4,24,13,4,3,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.06,-0.012,-0.01%,-0.53
2018-06-12,ATL,NYM,"W,8-2",3,0.1,1,2,1,2,0,0,0,3.22,5,19,6,3,0,2,1,0,0,0,,0,0,0,0,0,3,1,0,0,0,0,1,2.39,-0.425,-0.38%,-2.90
2018-06-19,ATL,TOR,"W,11-4",6,1.0,0,0,0,0,1,0,0,3.09,3,10,8,3,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.50
2018-06-22,ATL,BAL,"L,7-10",2,3.0,0,0,0,0,3,0,0,2.73,9,29,19,6,4,4,2,2,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,1.79,0.404,0.34%,1.46
2018-06-24,ATL,BAL,"W,7-3",1,1.0,0,0,0,1,0,0,0,2.63,3,8,4,0,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.34,0.069,0.06%,0.49
2018-06-25,ATL,CIN,"W,5-4",0,1.0,1,0,0,2,0,0,0,2.54,6,19,11,4,1,2,2,1,1,0,,0,0,0,0,0,3,0,0,1,0,0,0,4.40,0.135,0.12%,0.49
2018-06-29,ATL,STL,"W,5-1",3,0.2,0,0,0,0,0,0,0,2.48,2,6,4,1,1,0,2,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.21,0.111,0.10%,0.50
2018-07-01,ATL,STL,"W,6-5",1,0.1,0,1,1,1,0,0,0,2.76,2,7,3,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.64,0.005,0.00%,0.08
2018-07-02,ATL,NYY,"W,5-3",0,2.0,3,0,0,1,4,0,0,2.59,9,31,22,6,5,2,2,1,0,0,,0,0,0,0,0,8,1,0,1,1,0,0,3.48,0.279,0.22%,1.02
2018-07-06,ATL,MIL,"L,4-5",3,2.0,1,0,0,0,3,0,0,2.43,7,31,18,8,5,3,1,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.54,0.073,0.06%,0.99
2018-07-10,ATL,TOR,"L,2-6",3,0.1,0,0,0,0,0,0,0,2.41,1,6,5,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.77,0.020,0.02%,0.10
2018-07-13,ATL,ARI,"L,1-2",2,0.2,1,0,0,0,1,0,0,2.36,3,12,8,2,2,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.66,0.028,0.03%,0.26
2018-07-15,ATL,ARI,"W,5-1",1,0.2,0,0,0,0,1,0,0,2.31,2,6,4,2,1,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,1.22,0.058,0.06%,0.90
2018-07-20,ATL,WSN,"W,8-5",4,2.0,2,2,2,0,1,1,0,2.68,8,26,20,4,3,3,4,1,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,.56,0.023,0.03%,-0.98
2018-07-24,ATL,MIA,"L,3-9",3,1.0,1,0,0,0,0,0,0,2.61,4,19,13,3,0,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.00%,0.45
2018-07-27,ATL,LAD,"L,1-4",2,1.0,1,0,0,2,0,0,0,2.54,5,13,4,1,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.41,0.014,0.02%,0.49
2018-07-30,ATL,MIA,"W,5-3",2,1.0,0,0,0,0,0,0,0,2.48,3,7,7,1,1,2,1,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,1.80,0.155,0.15%,1.11
2018-08-02,ATL,NYM,"W,4-2",2,1.0,0,0,0,0,1,0,0,2.41,3,13,9,2,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.00,0.074,0.08%,0.44
2018-08-03,ATL,NYM,"W,2-1",0,1.0,0,0,0,0,1,0,0,2.36,3,13,7,3,0,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.80,0.132,0.14%,0.44
2018-08-05,ATL,NYM,"W,5-4",1,1.0,1,0,0,0,0,0,0,2.30,4,16,11,5,0,4,0,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,4.86,0.181,0.19%,0.44
2018-08-07,ATL,WSN,"W,3-1",1,1.2,0,0,0,0,4,0,0,2.22,5,26,18,8,2,0,1,0,1,0,,1,0,0,0,0,5,0,0,0,0,0,0,1.55,0.198,0.24%,1.05
2018-08-11,ATL,MIL,"L,2-4",3,0.1,3,3,2,0,0,0,0,2.60,5,9,8,3,0,3,2,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,1,2.45,-0.537,-0.62%,-2.41
2018-08-13,ATL,MIA,"W,9-1",1,1.0,1,0,0,1,0,0,0,2.54,4,18,11,0,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.26,0.005,0.01%,0.49
2018-08-14,ATL,MIA,"W,10-6",0,2.0,3,1,1,0,4,0,1,2.63,9,32,21,7,4,2,2,2,0,0,,0,0,0,0,0,8,1,0,0,1,0,0,1.57,-0.025,-0.03%,-0.03
2018-08-19,ATL,COL,"L,2-4",4,0.1,0,0,0,0,1,0,0,2.61,1,4,3,1,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.49,0.012,0.02%,0.10
2018-08-20,ATL,PIT,"W,1-0",0,0.1,1,0,0,0,0,0,0,2.59,1,4,2,1,0,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.66,0.074,0.09%,0.31
2018-08-23,ATL,MIA,"W,5-0",2,2.0,2,0,0,0,4,0,1,2.49,9,31,23,9,5,2,2,2,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.20,0.018,0.02%,0.91
2018-08-26,ATL,MIA,"W,4-0",2,1.0,0,0,0,1,1,0,0,2.44,4,20,14,3,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.97,0.085,0.08%,0.45
2018-08-28,ATL,TBR,"W,9-5",1,0.1,0,0,0,0,1,0,0,2.42,1,5,3,0,3,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.67,0.017,0.02%,0.10
2018-08-29,ATL,TBR,"L,5-8",0,1.0,1,0,0,0,0,0,0,2.38,3,10,6,1,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.008,0.01%,0.49
2018-08-31,ATL,PIT,"L,2-3",1,1.1,0,0,0,0,2,0,0,2.32,4,15,11,2,4,2,0,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.86,0.094,0.10%,1.08
2018-09-03,ATL,BOS,"L,2-8",2,1.0,2,2,0,1,1,0,0,2.28,7,26,15,5,2,2,3,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,1,1.21,-0.167,-0.15%,-1.51
2018-09-05,ATL,BOS,"L,8-9",1,1.0,0,0,0,1,0,0,0,2.24,3,11,5,1,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.24,0.009,0.01%,0.49
2018-09-06,ATL,ARI,"W,7-6",0,1.0,3,2,2,0,0,1,0,2.51,6,24,18,3,0,3,3,0,0,0,,0,0,0,0,0,5,1,0,0,0,1,0,2.39,-0.407,-0.44%,-1.49
2018-09-08,ATL,ARI,"W,5-4",1,0.2,0,0,0,1,0,0,0,2.48,4,14,8,3,1,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,1,2.78,0.026,0.03%,0.07
2018-09-12,ATL,SFG,"W,2-1",3,1.0,1,0,0,1,1,0,0,2.44,5,13,8,3,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,1,0,0,1,2.71,0.083,0.03%,0.45
2018-09-14,ATL,WSN,"W,10-5",1,0.2,0,0,0,1,1,0,0,2.41,3,17,10,3,2,1,0,0,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,2.12,0.084,0.02%,0.39
2018-09-17,ATL,STL,"L,6-11",2,1.0,1,3,3,2,2,1,0,2.82,6,30,15,6,3,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.85,-0.208,-0.08%,-2.51
2018-09-19,ATL,STL,"W,7-3",1,1.0,0,0,0,0,1,0,0,2.77,3,14,8,3,2,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.60,0.045,0.02%,0.49
2018-09-20,ATL,PHI,"W,8-3",0,0.2,1,0,0,0,0,0,0,2.74,2,9,8,2,0,1,1,1,0,0,,0,0,0,1,0,2,0,0,0,0,0,0,1.13,0.048,0.03%,0.26
2018-09-22,ATL,PHI,"W,5-3",1,0.0,1,1,1,1,0,0,0,2.89,2,12,6,1,2,0,1,1,0,0,,2,2,0,0,0,1,0,0,0,0,0,0,1.89,-0.147,-0.03%,-2.00
2018-09-27,ATL,NYM,"L,1-4",4,0.1,1,2,2,1,1,0,0,3.16,3,12,8,3,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.03,-0.028,-0.01%,-0.41
2018-09-28,ATL,PHI,"W,10-2",0,1.0,0,0,0,1,1,0,0,3.11,4,19,11,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.10,0.054,0.01%,0.49
2019-03-30,ATL,PHI,"L,6-8",99,1.2,1,1,1,0,2,1,0,5.40,6,27,16,7,3,0,4,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.38,-0.012,-0.01%,-0.03
2019-04-01,ATL,CHC,"W,8-0",1,2.0,1,0,0,0,1,0,0,2.45,7,28,16,6,1,3,3,2,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.09,0.012,0.01%,1.11
2019-04-03,ATL,CHC,"W,6-4",1,1.0,3,1,1,0,1,0,0,3.86,5,18,11,6,1,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.33,-0.082,-0.04%,-0.44
2019-04-05,ATL,MIA,"W,4-0",1,1.0,0,0,0,0,1,0,0,3.18,3,11,8,1,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.34,0.027,0.02%,0.56
2019-04-07,ATL,MIA,"W,4-3",1,0.0,2,0,0,0,0,0,0,3.18,2,10,7,3,1,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.78,-0.209,-0.13%,-1.02
2019-04-09,ATL,COL,"W,7-1",1,1.0,0,0,0,1,1,0,0,2.70,4,18,11,5,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.17,0.005,0.00%,0.62
2019-04-12,ATL,NYM,"L,2-6",2,1.0,1,0,0,0,1,0,0,2.35,4,14,10,4,1,1,2,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,.24,0.010,0.01%,0.56
