date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,LAA,OAK,"L,5-6",99,1.0,0,0,0,0,1,0,0,0.00,3,11,7,3,2,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.81,0.136,0.09%,0.50
2018-03-31,LAA,OAK,"W,8-3",1,1.1,0,0,0,1,2,0,0,0.00,5,29,17,9,2,2,0,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.95,0.060,0.04%,0.99
2018-04-03,LAA,CLE,"W,13-2",2,1.1,0,0,0,0,2,0,0,0.00,4,17,13,4,1,1,1,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.03,0.002,0.00%,0.82
2018-04-04,LAA,CLE,"W,3-2",0,1.0,0,0,0,0,1,0,0,0.00,3,10,7,3,1,0,2,0,1,0,,1,0,0,0,0,3,0,0,0,0,0,0,.99,0.077,0.05%,0.63
2018-04-06,LAA,OAK,"W,13-9",1,1.2,1,1,1,0,1,1,0,1.42,6,22,14,7,1,2,3,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.53,-0.071,-0.05%,-0.23
2018-04-09,LAA,TEX,"W,8-3",2,1.0,2,1,1,1,1,0,0,2.45,6,14,9,3,0,1,3,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.02,0.002,0.00%,-0.44
2018-04-12,LAA,KCR,"W,7-1",2,1.1,2,1,1,0,1,0,0,3.12,6,16,11,3,0,3,2,2,0,0,,2,0,0,0,0,6,1,0,0,0,0,0,.11,0.012,0.01%,-0.05
2018-04-14,LAA,KCR,"W,5-3",1,0.2,2,1,1,1,1,0,0,3.86,5,27,16,5,4,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.43,-0.057,-0.04%,-1.00
2018-04-17,LAA,BOS,"L,1-10",2,1.0,1,0,0,1,0,0,0,3.48,4,18,7,2,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.00,0.000,0.00%,0.50
2018-04-19,LAA,BOS,"L,2-8",1,1.2,1,0,0,0,1,0,0,3.00,5,21,11,3,1,2,2,1,0,0,,2,0,0,0,0,5,1,0,0,1,0,0,.51,0.078,0.06%,1.69
2018-04-21,LAA,SFG,"W,4-3",1,1.0,0,0,0,0,2,0,0,2.77,3,10,8,3,1,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.93,0.071,0.05%,0.50
2018-04-22,LAA,SFG,"L,2-4",0,1.0,1,0,0,1,0,0,0,2.57,5,14,9,3,1,1,3,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.32,0.012,0.01%,0.50
2018-04-24,LAA,HOU,"W,8-7",1,0.2,4,2,2,0,0,0,0,3.68,6,19,13,4,1,2,4,3,1,0,,1,0,0,0,0,6,0,0,0,0,0,0,1.82,-0.145,-0.13%,-1.18
2018-04-27,LAA,NYY,"L,3-4",2,1.0,0,0,0,0,1,0,0,3.45,3,8,6,0,3,1,1,0,0,0,,1,1,0,0,0,2,0,0,0,0,1,1,2.34,-0.055,-0.04%,-0.12
2018-05-01,LAA,BAL,"W,3-2",3,0.1,0,0,0,0,0,0,0,3.38,1,1,1,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.51,0.014,0.01%,0.10
2018-05-02,LAA,BAL,"W,10-7",0,0.2,1,0,0,0,1,0,0,3.24,3,18,12,3,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.58,0.014,0.01%,0.27
2018-05-04,LAA,SEA,"W,5-0",1,1.0,0,0,0,0,1,0,0,3.06,3,7,5,1,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.09,0.007,0.01%,0.48
2018-05-05,LAA,SEA,"L,8-9",0,1.1,3,3,2,1,1,0,0,3.79,7,31,20,2,6,2,3,3,0,0,,0,0,0,1,0,5,1,0,0,0,0,0,3.92,-0.809,-0.70%,-1.70
2018-05-10,LAA,MIN,"W,7-4",4,1.0,0,0,0,1,2,0,0,3.60,4,17,10,2,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.62,0.033,0.02%,0.50
2018-05-11,LAA,MIN,"L,4-5",0,0.2,1,0,0,0,0,0,0,3.48,3,12,8,3,2,1,2,2,0,0,,2,2,0,0,0,2,0,0,0,0,1,0,3.98,-0.519,-0.39%,-1.09
2018-05-13,LAA,MIN,"W,2-1",1,1.0,2,0,0,2,1,0,0,3.32,6,25,16,7,2,1,2,1,0,0,,0,0,0,0,0,4,1,0,1,0,0,0,2.71,-0.009,-0.01%,-0.17
2018-05-15,LAA,HOU,"L,3-5",1,1.0,0,1,0,0,0,0,0,3.18,4,10,8,1,2,3,1,0,0,0,,0,0,1,0,0,4,0,0,0,1,0,2,.75,-0.071,-0.07%,-0.50
2018-05-17,LAA,TBR,"L,1-7",1,0.1,4,4,3,0,0,1,0,4.30,5,25,14,4,3,3,2,1,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,.84,-0.248,-0.18%,-3.02
