date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2016-07-08,CLE,NYY,"W,10-2",99,1.0,2,1,1,0,1,0,0,9.00,5,16,11,3,1,0,4,2,1,0,,0,0,0,0,0,5,2,0,0,0,0,0,.01,0.000,0.00%,-0.45
2016-07-10,CLE,NYY,"L,7-11",1,2.1,1,0,0,0,3,0,0,2.70,8,30,21,6,3,1,4,2,0,0,,3,0,0,0,0,8,0,0,0,0,0,0,.19,0.033,0.03%,1.92
2016-07-16,CLE,MIN,"L,4-5",5,0.1,1,1,0,2,0,0,0,2.45,5,21,9,1,1,2,1,1,0,0,,0,0,0,0,0,3,1,0,1,0,0,0,3.34,-0.361,-0.26%,-2.08
2016-09-05,CLE,HOU,"L,2-6",50,0.2,1,0,0,1,1,0,0,2.08,4,18,10,3,1,0,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.30,0.002,0.00%,0.02
2016-09-09,CLE,MIN,"W,5-4",3,1.0,0,0,0,1,0,0,0,1.69,4,13,7,2,1,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.14,0.012,0.01%,0.12
2016-09-10,CLE,MIN,"L,1-2",0,0.2,2,1,1,0,0,0,0,3.00,4,16,10,2,1,2,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.32,-0.361,-0.13%,-0.73
2016-09-13,CLE,CHW,"L,1-8",2,1.1,0,0,0,1,1,0,0,2.45,5,17,12,5,1,2,1,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.02,0.002,0.00%,0.81
2016-09-18,CLE,DET,"L,5-9",4,0.1,1,3,3,2,1,1,0,5.87,4,14,6,5,0,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.10,-0.155,-0.02%,-2.74
2016-09-24,CLE,CHW,"L,1-8",5,1.0,0,0,0,0,3,0,0,5.19,3,14,9,1,4,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.31,0.024,0.00%,0.55
2016-09-25,CLE,CHW,"L,0-3",0,0.1,0,0,0,0,0,0,0,5.00,1,6,3,0,0,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.30,0.008,0.00%,0.47
2016-09-28,CLE,DET,"L,3-6",2,1.0,4,3,3,0,0,1,0,7.20,7,21,15,4,1,2,5,3,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.15,-0.298,-0.05%,-2.49
