date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-11,STL,MIL,"L,3-9",99,4.2,2,0,0,2,4,0,0,0.00,17,65,42,12,11,8,3,2,0,0,,0,0,0,0,0,15,0,0,0,1,0,0,.10,0.030,0.02%,2.13
2021-04-28,STL,PHI,"L,3-5",16,5.0,3,3,3,2,7,1,0,2.79,20,86,49,12,16,5,6,2,0,0,54,,,0,0,0,17,1,0,0,0,0,0,1.14,-0.109,-0.07%,-0.65
2021-05-05,STL,NYM,"L,2-7",6,4.0,5,4,4,0,2,2,1,4.61,18,59,40,8,9,5,10,3,1,0,38,,,0,0,0,17,1,0,0,0,0,0,.83,-0.262,-0.20%,-2.12
2021-05-14,STL,SDP,"L,4-5",8,2.0,2,3,3,5,0,0,1,5.74,13,57,22,7,1,5,2,1,0,0,35,,,0,0,0,7,1,0,0,1,0,0,1.17,-0.163,-0.13%,-1.89
2021-05-28,STL,ARI,"W,8-6",13,4.1,5,3,2,6,3,0,0,5.40,24,91,48,15,7,7,8,3,1,0,40,,,0,0,0,17,1,0,0,1,1,0,1.34,-0.134,-0.11%,-1.88
2021-06-05,STL,CIN,"L,2-5",7,4.0,3,2,2,2,4,1,0,5.25,18,65,49,7,10,9,3,0,0,0,50,,,0,0,0,16,1,0,1,0,0,0,1.14,-0.050,-0.04%,-0.12
2021-06-11,STL,CHC,"L,5-8",5,4.1,5,4,4,1,5,1,0,5.72,18,73,48,15,9,2,10,5,1,0,41,,,0,1,0,17,0,1,0,0,0,0,.99,-0.189,-0.15%,-1.98
2021-06-16,STL,MIA,"W,1-0",4,7.0,6,0,0,0,4,0,1,4.58,27,87,63,21,6,14,8,4,1,0,69,,,0,0,0,26,0,0,0,1,0,0,1.41,0.431,0.24%,3.29
2021-06-22,STL,DET,"L,2-8",5,3.2,6,6,2,3,1,1,0,4.62,21,82,49,10,6,7,10,6,0,0,31,,,0,0,0,18,1,0,0,0,0,0,1.06,-0.253,-0.15%,-4.23
2021-06-27,STL,PIT,"L,2-7",4,4.0,6,5,5,4,5,0,0,5.23,22,90,51,12,8,6,7,3,0,0,31,,,1,0,0,18,0,0,0,0,0,0,.91,-0.285,-0.10%,-3.12
2021-07-02,STL,COL,"W,9-3",4,6.0,7,3,3,1,2,1,0,5.14,26,79,53,14,5,9,14,4,2,0,47,,,0,0,0,25,4,0,0,0,0,0,1.09,-0.027,-0.01%,0.44
2021-07-07,STL,SFG,"L,2-5",4,4.0,3,2,2,4,3,0,1,5.09,20,80,41,10,10,6,6,2,1,0,47,,,0,0,0,15,2,0,0,0,0,0,1.41,-0.025,-0.01%,0.00
2021-07-20,STL,CHC,"L,6-7",12,5.0,3,1,1,1,5,0,2,4.81,21,74,50,15,12,9,4,2,0,0,61,,,1,0,0,18,0,0,1,0,0,0,.96,0.090,0.04%,0.97
2021-07-25,STL,CIN,"W,10-6",4,4.1,5,3,3,6,6,1,0,4.91,23,98,55,15,7,6,5,3,0,0,41,,,0,0,0,17,1,0,0,1,0,0,.89,-0.161,-0.06%,-1.77
2020-08-19,STL,CHC,"L,2-4",99,5.0,2,2,2,2,4,0,0,3.60,18,89,50,16,8,6,6,4,0,0,57,,,0,0,0,16,0,1,0,1,0,0,.96,-0.003,0.00%,0.70
2020-08-27,STL,PIT,"L,0-2",7,5.0,4,2,2,2,1,0,0,3.60,21,82,46,12,6,5,13,5,0,0,50,,,0,0,0,19,0,0,0,0,0,0,1.04,-0.018,-0.02%,0.59
2020-09-02,STL,CIN,"L,3-4",5,4.2,3,3,3,1,5,1,2,4.30,20,83,51,17,10,6,6,4,1,0,50,,,1,0,0,17,1,0,0,0,0,0,1.12,-0.117,-0.10%,-0.52
2020-09-07,STL,CHC,"L,1-5",4,4.2,8,5,3,3,1,0,0,4.66,26,96,63,16,4,11,11,7,2,0,30,,,0,0,0,22,3,0,0,1,1,1,.81,-0.186,-0.18%,-2.64
2020-09-16,STL,MIL,"L,0-6",8,5.1,7,6,5,2,5,2,3,5.47,27,94,61,15,11,5,12,7,0,0,35,,,0,0,0,21,2,0,0,1,1,0,.42,-0.276,-0.34%,-3.08
