date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-10,STL,CIN,"L,4-5",99,6.0,4,4,4,2,1,2,0,6.00,23,67,47,11,6,6,14,8,2,0,47,,,0,0,0,21,0,0,0,1,0,0,.86,-0.192,-0.13%,-1.22
2015-04-16,STL,MIL,"W,4-0",5,7.0,5,0,0,1,8,0,0,2.77,28,105,75,17,18,8,11,5,5,0,74,,,0,0,0,27,0,0,0,0,0,1,1.13,0.413,0.28%,3.28
2015-04-22,STL,WSN,"W,7-5",5,5.2,8,5,5,1,4,0,0,4.34,27,98,61,22,7,13,9,6,1,0,36,,,0,0,0,25,3,0,0,0,1,1,1.07,-0.164,-0.11%,-2.47
2015-04-27,STL,PHI,"L,1-4",4,7.0,9,3,3,1,1,0,0,4.21,29,82,64,14,5,16,11,7,1,0,47,,,0,0,0,27,1,0,0,0,0,0,1.45,-0.144,-0.11%,0.28
2015-05-02,STL,PIT,"W,2-1",4,6.0,6,1,1,3,4,0,1,3.69,29,101,66,13,10,12,9,3,3,0,57,,,1,0,0,23,0,0,1,0,0,1,1.26,0.174,0.15%,1.81
2015-05-07,STL,CHC,"W,5-1",4,7.2,5,1,1,1,10,0,0,3.20,29,109,80,20,16,5,12,5,3,1,74,,,0,0,0,28,2,0,0,0,0,0,.63,0.276,0.23%,2.53
2015-05-13,STL,CLE,"L,0-2",5,5.1,5,2,2,5,2,0,1,3.22,27,105,64,21,1,9,10,3,3,0,47,,,0,0,0,20,1,0,0,0,0,0,.89,-0.057,-0.04%,-0.30
2015-05-18,STL,NYM,"L,1-2",4,7.0,3,1,1,0,6,0,0,2.96,22,76,55,18,7,9,7,6,0,0,73,,,0,0,0,22,1,0,0,2,0,0,.78,0.179,0.13%,2.15
2015-05-23,STL,KCR,"L,2-3",4,5.0,6,3,3,2,2,1,0,3.18,23,68,42,12,4,7,12,3,2,0,43,,,0,0,0,21,2,0,1,0,0,0,1.04,-0.096,-0.07%,-0.47
2015-05-29,STL,LAD,"W,3-0",5,7.0,5,0,0,1,9,0,0,2.83,26,96,66,22,10,8,8,4,1,0,75,,,0,0,0,25,0,0,0,1,0,0,1.26,0.395,0.27%,3.28
2015-06-03,STL,MIL,"W,7-4",4,7.0,10,3,3,1,5,1,0,2.93,32,94,68,16,8,8,18,8,1,0,49,,,0,0,0,31,2,0,0,0,0,1,.58,0.105,0.07%,0.28
2015-06-08,STL,COL,"L,3-11",4,4.0,12,10,8,0,5,2,0,3.74,26,82,60,10,10,7,14,6,4,0,7,,,1,0,0,25,2,1,0,0,1,2,.48,-0.391,-0.23%,-7.81
2015-06-15,STL,MIN,"W,3-2",6,8.0,5,2,2,1,6,0,0,3.59,29,100,74,19,10,9,13,4,1,0,69,,,0,0,0,27,2,1,0,1,1,0,1.01,0.290,0.17%,1.75
