date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-10,NYM,ATL,"L,3-5",99,5.0,7,3,1,2,2,1,0,1.80,26,86,51,17,3,16,6,5,0,0,45,,,1,0,0,23,2,0,0,0,0,2,1.01,-0.070,-0.05%,-0.75
2015-04-15,NYM,PHI,"W,6-1",4,6.1,9,1,1,2,4,0,0,1.59,30,94,58,16,7,14,10,8,0,0,53,,,0,0,0,28,3,1,0,1,0,1,1.24,0.159,0.11%,1.29
2015-04-21,NYM,ATL,"W,7-1",5,6.2,4,1,1,4,5,1,1,1.50,29,106,67,24,4,10,9,4,0,0,63,,,0,0,0,24,0,0,0,0,0,1,.94,0.287,0.25%,1.94
2015-04-26,NYM,NYY,"L,4-6",4,5.0,8,6,4,1,3,1,0,2.74,23,86,61,20,3,14,5,4,0,0,33,,,0,0,0,22,4,0,0,2,0,2,.88,-0.394,-0.28%,-3.55
2015-05-02,NYM,WSN,"L,0-1",5,7.0,9,1,1,1,5,0,0,2.40,31,107,73,17,10,20,5,4,0,0,59,,,0,0,0,27,0,0,0,0,0,0,1.12,0.217,0.18%,2.15
2015-05-09,NYM,PHI,"W,3-2",6,7.0,5,2,0,1,6,0,0,1.95,28,90,62,17,8,10,11,4,0,0,68,,,1,0,0,26,1,0,0,0,1,1,1.32,0.047,0.04%,1.15
2015-05-14,NYM,CHC,"L,5-6",4,6.1,6,6,4,1,2,1,2,2.49,29,90,56,11,3,10,14,6,2,0,42,,,0,0,0,26,1,0,0,0,0,1,1.32,-0.264,-0.21%,-2.68
2015-05-19,NYM,STL,"L,2-10",4,5.0,11,8,8,1,1,1,0,3.72,25,92,62,7,6,7,16,6,2,0,13,,,0,0,0,23,2,1,0,2,0,0,.91,-0.366,-0.29%,-5.22
2015-05-24,NYM,PIT,"L,1-9",4,4.2,7,4,4,4,6,1,0,4.08,25,104,60,15,8,9,6,3,1,0,36,,,1,0,0,21,2,0,1,0,0,0,1.20,-0.264,-0.20%,-1.92
2015-05-30,NYM,MIA,"L,5-9",5,4.0,7,5,4,0,3,2,0,4.42,20,82,54,13,6,8,9,7,0,0,33,,,0,0,0,20,2,0,0,0,0,1,.86,-0.338,-0.26%,-3.20
2015-06-05,NYM,ARI,"L,2-7",5,6.0,6,3,3,1,8,0,0,4.43,24,81,54,18,5,10,5,4,0,0,55,,,1,0,0,22,2,0,0,1,0,0,1.17,-0.139,-0.11%,-0.07
2015-06-11,NYM,SFG,"W,5-4",5,7.0,5,4,2,2,4,1,0,4.24,28,97,63,21,4,19,3,1,0,0,57,,,0,0,0,25,0,0,0,1,0,1,.94,-0.262,-0.20%,-0.85
2015-06-17,NYM,TOR,"L,0-8",5,7.0,7,3,3,4,6,1,0,4.21,28,104,64,18,7,10,8,4,2,0,53,,,0,1,0,24,1,0,0,2,0,0,.91,0.007,0.01%,0.51
