date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-01,MIN,BAL,"W,7-0",99,9.0,3,0,0,1,6,0,0,0.00,31,107,71,16,11,11,13,2,6,0,86,,,0,0,0,30,1,0,0,0,0,0,.22,0.154,0.09%,4.51
2018-04-07,MIN,SEA,"L,4-11",5,4.2,6,5,5,0,7,1,0,3.29,20,77,48,17,6,5,8,5,1,0,39,,,0,0,0,20,1,0,0,0,0,0,.72,-0.222,-0.15%,-2.65
2018-04-12,MIN,CHW,"W,4-0",4,7.0,3,0,0,0,11,0,1,2.18,24,99,73,17,14,7,5,1,1,0,82,,,0,0,0,23,0,0,0,1,0,0,.84,0.413,0.30%,3.62
2018-04-18,MIN,CLE,"W,2-1",5,7.0,3,0,0,0,5,0,0,1.63,24,84,57,15,9,8,11,5,4,0,76,,,0,0,0,24,0,0,0,0,0,0,.90,0.449,0.37%,3.62
2018-04-24,MIN,NYY,"L,3-8",5,4.0,6,5,5,2,7,2,0,2.84,21,93,57,13,13,6,6,3,0,0,35,,,0,0,0,19,1,0,0,1,0,1,1.03,-0.260,-0.16%,-2.96
2018-04-29,MIN,CIN,"L,2-8",4,3.0,5,4,4,3,0,0,0,3.63,17,60,32,6,4,6,8,6,0,0,30,,,1,0,0,14,3,0,0,0,0,0,1.03,-0.232,-0.12%,-2.45
2018-05-04,MIN,CHW,"W,6-4",4,6.0,6,4,4,2,2,2,0,3.98,26,99,69,10,11,9,13,5,3,0,44,,,0,0,0,24,0,1,0,0,0,0,1.03,-0.050,-0.03%,-0.99
2018-05-10,MIN,LAA,"L,4-7",5,5.1,7,5,5,1,2,2,2,4.50,24,78,52,17,5,7,12,4,1,0,35,,,0,0,0,21,2,0,0,2,0,0,.65,-0.203,-0.13%,-1.52
2018-05-15,MIN,STL,"W,4-1",4,7.1,2,1,1,1,10,0,1,4.05,26,102,65,16,16,8,6,3,1,0,79,,,0,0,0,24,0,0,0,0,0,0,.91,0.285,0.18%,2.60
2018-05-21,MIN,DET,"W,4-2",5,8.0,3,2,2,2,9,1,0,3.82,28,107,68,11,15,6,11,3,3,0,75,,,0,0,0,26,1,0,0,1,0,0,.92,0.289,0.23%,2.13
2018-05-27,MIN,SEA,"L,1-3",5,7.1,8,2,2,1,8,1,0,3.67,30,106,72,18,17,7,14,6,1,0,61,,,1,1,0,29,0,0,0,0,0,0,1.36,0.303,0.19%,2.33
