date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,MIA,CHC,"L,4-8",99,4.0,6,5,5,4,2,2,3,11.25,24,74,44,9,6,6,9,3,3,0,28,,,0,0,0,17,3,0,2,1,0,0,1.16,-0.370,-0.21%,-3.18
2018-04-03,MIA,BOS,"L,2-4",4,7.0,4,1,1,1,7,0,0,4.91,25,109,72,18,10,10,7,2,2,0,71,,,1,0,0,24,1,0,0,1,0,0,1.05,0.292,0.15%,2.18
2018-04-09,MIA,NYM,"L,2-4",5,5.0,5,3,3,1,4,0,0,5.06,19,80,49,12,12,5,9,3,1,0,48,,,0,1,0,18,1,0,0,1,0,0,.81,-0.141,-0.08%,-0.73
2018-04-15,MIA,PIT,"L,3-7",5,5.0,8,4,4,1,5,0,1,5.57,25,90,55,12,10,9,9,4,1,0,39,,,0,0,0,22,1,0,0,0,1,0,1.01,-0.244,-0.08%,-1.73
2018-04-21,MIA,MIL,"L,5-6",5,5.0,4,4,4,2,3,1,0,5.88,22,99,59,11,11,11,6,2,0,0,44,,,0,0,0,19,1,0,0,0,1,1,1.28,-0.132,-0.03%,-1.53
2018-04-27,MIA,COL,"L,0-1",5,7.0,6,1,1,1,5,0,0,4.91,26,98,67,19,7,10,10,4,1,0,65,,,0,1,1,25,3,0,1,0,0,0,.99,0.205,0.05%,2.18
2018-05-02,MIA,PHI,"L,0-6",4,7.0,7,2,1,1,6,1,1,4.28,30,108,82,21,10,12,10,4,1,0,62,,,0,0,0,28,2,0,1,1,0,1,.75,0.041,0.01%,1.18
2018-05-08,MIA,CHC,"L,3-4",5,5.1,7,3,3,0,6,0,1,4.37,24,87,60,17,8,9,8,4,0,0,48,,,0,0,0,23,2,0,0,0,0,0,1.17,-0.176,-0.05%,-1.18
2018-05-13,MIA,ATL,"L,3-4",4,6.0,4,3,3,2,5,1,0,4.38,24,104,63,15,4,12,5,2,1,0,55,,,0,0,0,22,1,0,0,0,0,0,.81,-0.063,-0.01%,-0.28
2018-05-19,MIA,ATL,"L,1-8",5,6.0,5,4,4,1,2,0,0,4.55,22,72,46,7,3,11,8,6,0,0,47,,,0,1,0,19,0,0,0,1,0,0,1.11,-0.220,-0.04%,-1.07
2018-05-25,MIA,WSN,"L,5-9",5,6.0,5,4,4,1,7,2,1,4.69,24,98,57,16,9,10,5,1,0,0,52,,,0,0,0,22,1,0,0,1,0,0,.75,-0.260,-0.04%,-1.28
2018-05-30,MIA,SDP,"L,2-3",4,6.0,3,1,1,2,6,1,0,4.41,23,93,55,13,9,6,10,3,3,0,66,,,0,0,0,20,0,0,0,0,0,0,1.14,0.243,0.02%,1.70
2018-06-05,MIA,STL,"W,7-4",5,5.0,10,4,4,1,3,0,0,4.60,23,98,61,12,11,8,11,9,0,0,33,,,0,0,1,22,1,0,0,1,0,0,1.44,-0.193,-0.01%,-1.66
2018-06-10,MIA,SDP,"L,1-3",4,6.0,6,3,3,0,5,1,0,4.59,23,86,54,11,8,9,9,1,0,0,53,,,0,0,0,22,1,0,0,0,1,0,.86,-0.066,0.00%,-0.28
2018-06-15,MIA,BAL,"W,2-0",4,8.0,3,0,0,1,4,0,1,4.18,27,112,68,15,9,17,4,1,0,0,79,,,0,0,0,25,0,0,0,2,0,0,1.34,0.533,0.02%,4.01
2018-06-20,MIA,SFG,"L,5-6",4,5.2,8,5,5,2,5,0,0,4.40,26,99,70,12,9,10,9,6,1,0,36,,,1,0,0,24,1,0,1,1,0,0,1.35,-0.288,-0.01%,-2.51
2018-07-04,MIA,TBR,"W,3-0",13,5.0,3,0,0,2,6,0,0,4.18,18,78,46,9,6,5,5,2,1,0,65,,,1,1,0,16,1,0,1,1,0,0,1.28,0.270,0.01%,2.27
