date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-05-03,BOS,CHW,"W,6-1",99,1.0,1,0,0,0,1,0,0,0.00,4,16,12,3,4,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.11,0.009,0.00%,0.54
2019-05-06,BOS,BAL,"L,1-4",2,3.1,5,4,4,2,3,1,0,8.31,17,70,42,13,7,2,10,5,2,0,35,,,0,0,0,15,0,0,0,0,0,0,1.01,-0.240,-0.14%,-2.77
2019-05-12,BOS,SEA,"W,11-2",5,2.0,1,0,0,0,1,0,0,5.68,8,41,27,5,4,5,2,2,0,0,,0,0,0,0,0,8,0,0,0,0,0,1,.04,0.004,0.00%,1.16
2019-05-18,BOS,HOU,"L,3-7",5,1.0,1,0,0,0,1,0,0,4.91,4,17,13,3,3,1,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.07,0.005,0.00%,0.58
2019-06-08,BOS,TBR,"L,2-9",20,4.0,7,4,4,1,3,1,1,6.35,18,83,49,13,11,2,11,5,0,0,34,,,1,0,0,16,0,0,0,0,0,0,.85,-0.179,-0.13%,-1.68
2019-06-13,BOS,TEX,"W,7-6",4,1.0,0,0,0,1,1,0,1,5.84,5,19,11,3,2,1,1,0,0,0,,0,0,1,0,0,3,0,0,1,0,0,0,4.16,0.180,0.10%,0.58
2019-06-14,BOS,BAL,"W,13-2",0,1.0,3,1,1,0,2,0,0,6.08,6,22,15,3,4,1,3,2,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,.00,0.000,0.00%,-0.45
2019-06-16,BOS,BAL,"W,8-6",1,1.0,2,3,1,0,0,2,0,6.28,6,36,25,5,4,3,3,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,1,.39,0.009,0.01%,-2.45
2019-06-22,BOS,TOR,"L,7-8",5,1.0,0,0,0,0,3,0,0,5.87,3,14,9,4,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.29,0.023,0.02%,0.58
2019-06-23,BOS,TOR,"L,1-6",0,3.0,2,1,1,1,4,1,0,5.40,12,48,27,11,4,2,5,2,1,0,,0,0,0,0,0,11,1,0,0,0,0,0,.11,0.002,0.00%,0.74
2019-08-03,BOS,NYY,"L,2-9",40,4.0,4,1,1,1,2,0,1,4.84,18,56,32,5,5,4,10,3,2,0,,0,0,1,0,0,16,1,0,0,0,0,0,.06,0.001,0.00%,1.17
2019-08-23,BOS,SDP,"W,11-0",19,2.0,0,0,0,0,1,0,0,4.44,7,21,14,3,4,3,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,1,.00,0.000,0.00%,1.00
2019-08-27,BOS,COL,"W,10-6",3,1.1,4,4,4,0,1,2,0,5.61,8,40,23,6,3,4,3,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.07,-0.006,0.00%,-3.09
2019-08-31,BOS,LAA,"L,4-10",3,0.1,1,1,1,0,1,1,0,5.88,2,12,8,1,3,0,1,0,0,0,,2,2,1,0,0,2,0,0,0,0,0,0,.18,-0.026,0.00%,-2.48
