date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,MIL,SDP,"W,2-1",99,1.0,1,0,0,1,3,0,0,0.00,5,21,15,3,5,1,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,3.14,0.103,0.06%,0.45
2018-03-31,MIL,SDP,"W,7-3",1,2.0,0,0,0,0,4,0,0,0.00,6,29,19,1,8,0,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.97,0.143,0.09%,0.90
2018-04-06,MIL,CHC,"W,5-4",5,2.0,0,1,1,1,3,0,0,1.80,7,41,26,8,5,1,2,0,1,0,,1,0,0,0,0,6,0,0,0,0,0,0,1.14,0.081,0.05%,0.90
2018-04-09,MIL,STL,"W,5-4",2,1.1,0,0,0,1,4,0,0,1.42,5,30,20,6,6,0,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.39,0.166,0.10%,0.69
2018-04-11,MIL,STL,"W,3-2",1,1.1,1,1,1,0,3,1,0,2.35,5,20,14,2,6,1,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.69,0.062,0.04%,-0.31
2018-04-14,MIL,NYM,"W,5-1",2,2.0,0,0,0,0,5,0,0,1.86,6,23,18,6,7,0,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.39,0.058,0.03%,0.89
2018-04-17,MIL,CIN,"W,2-0",2,2.0,1,0,0,0,3,0,0,1.54,7,29,19,5,4,0,4,3,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.01,0.146,0.08%,0.99
2018-04-21,MIL,MIA,"W,6-5",3,1.0,0,0,0,0,1,0,0,1.42,3,12,9,4,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.72,0.055,0.04%,0.49
2018-04-22,MIL,MIA,"W,4-2",0,2.0,1,1,0,1,3,0,0,1.23,7,34,21,7,5,0,3,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.77,0.075,0.05%,-0.01
2018-04-25,MIL,KCR,"W,6-2",2,0.2,0,0,0,0,2,0,0,1.17,2,11,8,1,2,0,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,1.27,0.072,0.05%,1.20
2018-04-30,MIL,CIN,"W,6-5",4,2.2,0,0,0,1,8,0,0,1.00,9,37,26,9,9,1,0,0,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,2.25,0.397,0.25%,1.25
