date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-09-01,HOU,LAA,"W,7-3",99,5.0,3,3,3,3,9,1,0,5.40,21,91,56,24,8,4,5,1,1,0,55,,,1,0,0,18,0,0,0,0,0,0,.98,-0.093,-0.09%,-0.47
2018-09-08,HOU,BOS,"W,5-3",6,2.2,1,0,0,0,4,0,0,3.52,9,41,31,10,5,2,3,2,1,0,,0,0,0,0,0,9,1,0,0,0,0,0,.86,0.144,0.07%,1.26
2018-09-12,HOU,DET,"W,5-4",3,3.0,2,2,2,1,4,1,0,4.22,12,38,28,9,6,3,4,1,1,0,,0,0,0,0,0,11,0,0,0,0,0,0,1.56,0.076,0.04%,-0.42
2018-09-18,HOU,SEA,"W,7-0",5,5.1,4,0,0,2,7,0,0,2.81,22,87,55,11,15,5,8,3,2,0,65,,,0,0,0,20,1,0,0,0,0,0,.88,0.214,0.07%,2.35
2018-09-25,HOU,TOR,"W,4-1",6,5.0,4,1,1,1,3,1,1,2.57,19,65,44,11,10,6,8,3,2,0,57,,,0,0,0,17,2,0,0,2,0,0,1.08,0.191,0.01%,1.51
2018-09-30,HOU,BAL,"L,0-4",4,2.0,1,0,0,0,2,0,1,2.35,8,27,17,3,7,2,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.16,0.023,0.00%,1.00
2019-03-29,HOU,TBR,"L,2-4",99,1.0,1,0,0,1,1,0,0,0.00,4,21,13,2,5,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.35,0.016,0.01%,0.54
2019-03-31,HOU,TBR,"L,1-3",1,2.0,0,0,0,0,4,0,0,0.00,6,23,18,2,8,0,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.27,0.042,0.02%,1.07
2019-04-03,HOU,TEX,"L,0-4",2,2.0,1,1,1,1,4,1,0,1.80,8,37,25,8,5,1,2,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.15,0.004,0.00%,0.23
2019-04-06,HOU,OAK,"W,6-0",2,1.0,0,0,0,2,1,0,0,1.50,5,23,11,3,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.29,0.012,0.01%,0.57
2019-04-07,HOU,OAK,"W,9-8",0,2.0,2,2,2,0,1,1,0,3.38,8,28,19,8,1,2,5,3,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.93,-0.174,-0.11%,-0.86
2019-04-10,HOU,NYY,"W,8-6",2,0.0,2,4,4,2,0,1,0,7.88,4,24,13,2,3,0,2,2,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.90,-0.180,-0.11%,-3.02
2019-04-16,HOU,OAK,"W,9-1",5,2.0,0,0,0,1,3,0,1,6.30,8,29,18,5,8,1,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.03,0.003,0.00%,1.05
2019-04-19,HOU,TEX,"W,7-2",2,0.2,0,0,0,0,0,0,0,5.91,1,4,2,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,1,0,0,.27,0.010,0.01%,0.62
