date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-07-25,KCR,CLE,"L,4-5",99,2.0,3,0,0,2,1,0,0,0.00,11,30,18,5,3,4,4,1,0,0,,0,0,0,0,0,9,1,0,1,0,0,0,3.40,0.297,0.00%,1.12
2019-07-27,KCR,CLE,"L,1-9",1,1.0,0,0,0,0,1,0,0,0.00,3,13,7,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.56
2019-07-29,KCR,TOR,"L,3-7",1,0.1,1,2,2,1,1,0,0,5.40,3,16,9,3,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.75,-0.053,0.00%,-0.68
2019-07-30,KCR,TOR,"L,2-9",0,1.0,3,5,0,2,0,1,1,4.15,10,41,22,8,3,2,5,1,2,0,,0,0,0,0,0,7,0,0,0,0,0,1,.17,-0.037,0.00%,-4.44
2019-08-05,KCR,BOS,"L,5-7",5,1.0,0,0,0,1,0,0,0,3.38,4,11,6,3,0,0,3,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.34,0.018,0.00%,0.58
2019-08-08,KCR,DET,"L,8-10",2,2.0,2,1,1,0,2,1,0,3.68,9,33,24,6,6,3,4,3,0,0,,0,0,0,0,0,9,0,0,0,0,0,1,1.46,-0.027,0.00%,0.13
2019-08-14,KCR,STL,"L,0-6",5,1.0,1,1,1,0,0,1,0,4.32,4,12,6,1,1,1,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.06,-0.008,0.00%,-0.44
2019-08-18,KCR,NYM,"L,5-11",3,1.2,2,1,1,0,2,0,0,4.50,6,24,16,5,2,2,2,1,0,0,,2,0,0,0,0,6,2,0,0,0,0,0,.18,0.003,0.00%,0.80
2019-08-23,KCR,CLE,"L,1-4",4,2.0,2,0,0,0,1,0,0,3.75,6,20,14,2,2,2,3,1,0,0,,0,0,0,0,0,6,1,0,0,1,0,0,.24,0.024,0.00%,1.15
2019-08-26,KCR,OAK,"L,4-19",2,1.2,1,1,1,0,3,1,0,3.95,6,19,14,6,3,1,2,1,0,0,,1,0,0,0,0,6,0,0,0,0,0,0,.00,0.000,0.00%,0.29
