date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-01,TOR,NYY,"W,3-2",99,1.0,0,0,0,0,3,0,0,0.00,3,11,10,5,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,4.78,0.451,0.30%,1.15
2021-04-04,TOR,NYY,"W,3-1",2,1.0,0,0,0,0,2,0,0,0.00,3,11,9,2,3,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.24,0.096,0.06%,0.52
2021-04-08,TOR,LAA,"L,5-7",3,2.0,1,0,0,1,2,0,0,0.00,8,31,20,6,2,1,4,1,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,3.29,0.459,0.27%,1.69
2021-04-13,TOR,NYY,"W,7-3",4,0.1,0,0,0,0,0,0,0,0.00,0,2,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,1.57,0.042,0.02%,0.45
2021-09-10,TOR,BAL,"L,3-6",99,0.2,3,3,3,1,0,1,0,5.40,6,22,13,2,2,3,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,2.00,-0.341,-0.30%,-2.71
2021-09-12,TOR,BAL,"W,22-7",1,1.0,0,0,0,0,0,0,0,4.50,3,12,9,2,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.54
2021-09-17,TOR,MIN,"L,3-7",4,1.0,1,1,1,0,0,1,0,5.14,4,11,7,2,1,0,4,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.28,-0.039,-0.04%,-0.47
2021-09-20,TOR,TBR,"L,4-6",2,0.1,0,0,0,1,0,0,0,4.91,2,9,4,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.38,0.033,0.04%,0.31
2021-09-22,TOR,TBR,"L,1-7",1,1.0,1,0,0,1,0,0,0,4.32,5,21,13,4,1,2,2,0,1,0,50,,,0,0,0,4,0,0,0,0,0,0,1.25,0.047,0.05%,0.48
2021-09-23,TOR,MIN,"L,2-7",0,1.1,2,1,1,0,1,1,0,4.66,6,26,18,7,2,2,3,1,0,0,,2,2,0,0,0,6,0,0,0,0,0,0,.39,-0.200,0.00%,-1.98
2021-09-28,TOR,NYY,"L,2-7",4,1.1,1,0,0,0,2,0,0,4.09,4,13,12,1,5,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,.14,0.012,0.02%,0.64
2021-09-30,TOR,NYY,"L,2-6",1,1.0,2,1,1,0,2,1,0,4.50,5,25,17,7,3,2,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.08,-0.016,-0.03%,-0.47
2021-10-03,TOR,BAL,"W,12-4",2,1.0,2,1,1,0,0,0,1,4.85,6,23,15,3,0,1,4,2,0,0,,0,0,0,0,0,4,0,0,0,0,1,0,.02,0.000,0.00%,-0.47
2020-08-20,TOR,PHI,"W,3-2",99,1.1,1,0,0,0,3,0,0,0.00,5,22,16,3,2,1,1,1,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.95,0.079,0.06%,0.78
2020-08-22,TOR,TBR,"L,1-2",1,2.0,0,0,0,2,3,0,0,0.00,8,32,19,7,4,0,3,1,2,0,,2,0,0,0,0,6,0,0,0,0,0,0,2.34,0.264,0.21%,1.28
2020-08-26,TOR,BOS,"W,9-1",3,2.0,1,0,0,0,3,0,0,0.00,7,36,23,5,6,1,3,1,0,0,57,,,0,0,0,7,1,0,0,0,0,0,.74,0.103,0.08%,1.07
2020-09-01,TOR,MIA,"L,2-3",5,2.0,0,0,0,1,3,0,0,0.00,7,31,21,6,5,2,1,0,0,0,58,,,0,0,0,6,0,0,0,0,0,0,.98,0.105,0.08%,0.99
2020-09-04,TOR,BOS,"W,8-7",2,0.2,4,3,3,0,1,0,0,3.38,6,16,13,2,2,1,4,4,0,0,,2,0,0,0,0,6,1,0,0,0,0,0,2.44,-0.191,-0.13%,-2.36
2020-09-07,TOR,NYY,"W,12-7",2,2.0,0,0,0,1,1,0,0,2.70,7,42,25,5,3,4,1,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.11,0.018,0.01%,1.07
2020-09-12,TOR,NYM,"W,3-2",4,2.0,3,1,1,0,1,0,0,3.00,9,33,25,5,4,5,3,1,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,1.91,0.058,0.03%,0.07
2020-09-17,TOR,NYY,"L,7-10",4,1.0,2,2,2,2,0,0,0,4.15,6,21,10,3,1,2,2,2,0,0,39,,,0,0,0,4,1,0,0,1,0,0,1.34,-0.143,-0.07%,-1.46
