date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-23,LAA,HOU,"W,2-0",99,1.0,2,0,0,0,1,0,0,0.00,5,20,14,2,3,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.67,0.090,0.08%,0.51
2018-04-24,LAA,HOU,"W,8-7",0,0.2,1,0,0,1,1,0,0,0.00,4,17,9,3,3,1,1,0,0,0,,2,1,0,0,0,3,0,0,0,0,0,0,4.60,0.039,0.03%,-0.08
2018-04-27,LAA,NYY,"L,3-4",2,1.0,0,0,0,1,1,0,0,0.00,4,17,9,3,3,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.65,0.121,0.09%,0.50
2018-04-29,LAA,NYY,"L,1-2",1,1.2,0,0,0,1,3,0,0,0.00,6,25,14,6,4,2,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.92,0.076,0.05%,0.77
2018-05-01,LAA,BAL,"W,3-2",1,0.2,0,0,0,0,1,0,0,0.00,2,10,8,2,2,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.72,0.036,0.02%,0.27
2018-05-04,LAA,SEA,"W,5-0",2,1.1,1,0,0,0,2,0,0,0.00,5,23,16,1,6,1,1,1,0,0,,1,0,0,0,0,4,0,0,0,1,0,0,1.64,0.078,0.07%,0.79
2018-05-05,LAA,SEA,"L,8-9",0,0.0,2,3,3,1,0,1,0,4.26,3,13,6,1,3,1,1,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,2.02,-0.687,-0.60%,-2.84
2018-05-09,LAA,COL,"W,8-0",3,1.2,0,0,0,0,3,0,1,3.38,6,22,14,9,2,2,0,0,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.66,0.070,0.05%,1.15
2018-05-11,LAA,MIN,"L,4-5",1,1.1,2,3,3,1,3,1,0,5.79,7,33,21,6,4,0,3,1,0,0,,0,0,0,0,0,6,1,0,1,0,0,0,1.92,-0.133,-0.10%,-0.91
2018-05-14,LAA,HOU,"W,2-1",2,1.0,2,0,0,1,0,0,0,5.23,5,17,11,3,3,3,1,0,0,0,,0,0,0,0,0,4,0,0,1,0,0,0,3.52,0.162,0.15%,0.50
