date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-07,SEA,CHW,"W,8-4",99,4.2,1,3,3,8,3,0,0,5.79,22,93,48,18,5,5,6,1,3,0,45,,,3,0,0,14,1,0,0,0,0,0,1.48,0.044,0.02%,0.71
2021-04-15,SEA,BAL,"W,2-1",7,5.0,2,1,1,2,6,1,1,3.72,20,68,47,9,9,3,8,1,0,0,63,,,0,0,0,17,0,0,0,0,0,0,1.19,0.131,0.09%,1.29
2021-04-22,SEA,BOS,"W,7-3",6,5.0,6,2,2,1,5,1,1,3.68,23,100,64,15,10,7,9,3,1,0,51,,,3,0,0,21,0,1,0,0,0,0,.96,0.028,0.02%,0.84
2021-04-28,SEA,HOU,"L,5-7",5,5.2,4,3,3,2,2,0,0,3.98,23,84,51,13,4,4,15,5,4,0,49,,,1,0,0,21,1,0,0,0,0,0,.98,0.081,0.06%,0.83
2021-05-04,SEA,BAL,"W,5-2",5,5.1,3,1,1,4,6,1,0,3.51,23,88,57,17,11,2,11,3,2,0,60,,,1,0,0,19,0,0,0,0,0,0,1.28,0.082,0.06%,1.07
2021-05-12,SEA,LAD,"L,1-7",7,3.1,3,2,2,3,2,0,0,3.72,16,72,40,14,4,3,8,3,2,0,45,,,0,0,0,13,2,0,0,0,0,0,1.24,-0.130,-0.08%,-1.37
2021-05-18,SEA,DET,"L,0-5",5,5.2,5,2,2,2,9,1,0,3.63,24,94,67,11,12,6,7,1,2,0,58,,,0,0,0,22,0,0,0,0,0,0,.75,0.009,0.01%,0.54
2021-05-23,SEA,SDP,"L,2-9",4,5.0,1,1,1,3,4,1,0,3.40,19,71,41,6,7,5,7,0,1,0,62,,,0,0,0,16,0,0,0,0,0,0,.98,0.130,0.05%,1.35
2021-05-29,SEA,TEX,"W,3-2",5,5.2,2,1,1,2,8,0,1,3.18,22,98,62,13,15,5,6,1,0,0,67,,,1,0,0,18,0,0,0,0,1,0,1.28,0.194,0.11%,1.75
2021-06-11,SEA,CLE,"L,0-7",12,3.0,9,5,5,2,3,1,1,3.91,19,72,49,15,5,4,9,5,0,0,22,,,0,0,0,16,0,0,0,1,0,0,.85,-0.289,-0.14%,-3.42
2021-06-17,SEA,TBR,"W,6-5",5,2.0,1,0,0,0,1,0,0,3.75,7,30,19,6,3,2,4,0,0,0,55,,,1,0,0,7,0,0,0,0,0,0,.73,0.098,0.04%,0.99
2020-07-29,SEA,LAA,"W,10-7",99,3.0,1,3,2,3,2,1,0,6.00,14,65,37,12,5,5,4,2,0,0,46,,,0,0,0,11,0,0,0,0,0,1,.93,-0.213,-0.14%,-1.77
2020-08-04,SEA,LAA,"L,3-5",5,4.0,3,3,3,4,4,2,0,6.43,18,76,42,19,4,3,7,2,0,0,44,,,1,0,0,14,0,0,0,0,0,0,.61,-0.143,-0.10%,-0.95
2020-08-10,SEA,TEX,"W,10-2",5,6.0,7,2,2,3,2,0,0,4.85,28,90,49,12,2,8,15,5,1,0,49,,,2,0,0,24,0,1,0,0,1,0,1.05,0.102,0.07%,1.68
2020-08-17,SEA,LAD,"L,9-11",6,2.0,5,6,6,1,1,2,1,7.80,12,43,25,6,2,0,9,6,1,0,22,,,0,0,0,10,0,0,0,0,0,0,1.37,-0.464,-0.13%,-4.98
2020-08-23,SEA,TEX,"W,4-1",5,6.0,1,0,0,1,6,0,0,5.57,21,80,56,11,13,4,10,3,3,0,75,,,1,0,0,20,1,0,0,0,0,1,.83,0.305,0.09%,3.08
2020-08-30,SEA,LAA,"W,2-1",6,6.0,1,0,0,4,6,0,0,4.33,23,96,56,16,10,5,8,2,3,0,72,,,2,0,1,19,0,0,1,0,0,0,1.18,0.367,0.08%,3.25
2020-09-06,SEA,TEX,"W,4-3",6,6.0,4,2,2,4,4,2,0,4.09,24,93,63,23,8,5,11,5,3,0,56,,,1,1,0,20,0,0,0,1,0,0,.97,0.164,0.10%,1.08
2020-09-13,SEA,ARI,"W,7-3",6,2.0,1,1,1,5,5,0,0,4.11,12,66,33,7,8,0,2,1,0,0,50,,,3,0,0,7,1,0,0,0,0,0,1.60,0.007,0.00%,0.07
2020-09-20,SEA,SDP,"L,4-7",6,5.2,2,3,3,4,6,1,1,4.20,24,106,62,21,10,3,10,6,0,0,55,,,3,0,0,19,1,0,0,0,0,0,1.19,-0.135,-0.08%,-0.09
2020-09-26,SEA,OAK,"W,12-3",5,5.0,6,3,3,2,2,2,0,4.34,22,86,56,22,4,8,10,6,2,0,43,,,0,0,0,20,1,0,0,1,0,0,.54,0.048,0.00%,-0.38
