date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-30,SDP,MIL,"L,6-8",99,1.1,0,0,0,1,0,0,0,0.00,4,13,9,2,3,2,1,0,0,0,,2,0,0,0,0,3,0,0,0,1,0,0,1.77,0.147,0.08%,0.92
2018-04-03,SDP,COL,"W,8-4",3,0.2,1,1,1,2,1,0,0,4.50,5,21,11,2,5,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.12,-0.005,0.00%,-0.96
2018-04-04,SDP,COL,"L,2-5",0,1.0,0,0,0,0,1,0,0,3.00,3,14,11,3,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.006,0.00%,0.45
2018-04-07,SDP,HOU,"L,0-1",2,1.0,1,0,0,0,1,0,0,2.25,3,14,10,1,1,0,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.28,0.107,0.05%,0.51
2018-04-10,SDP,COL,"W,5-2",2,1.0,0,0,0,0,1,0,0,1.80,3,10,9,1,2,0,2,0,1,0,,2,0,1,0,0,3,0,0,0,0,0,0,2.55,0.230,0.11%,1.92
2018-04-13,SDP,SFG,"W,5-1",2,0.1,2,0,0,0,1,0,0,1.69,3,7,7,3,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.29,-0.018,-0.01%,-0.41
2018-04-16,SDP,LAD,"L,3-10",2,1.0,2,4,4,2,2,1,0,7.11,7,26,17,5,3,0,3,2,0,0,,0,0,0,0,0,5,1,0,1,0,0,0,.05,-0.012,-0.01%,-3.55
2018-04-17,SDP,LAD,"L,3-7",0,0.2,1,1,1,1,1,0,0,7.71,4,12,8,3,0,0,2,1,1,0,,1,1,0,0,0,3,1,0,1,0,0,0,.34,-0.044,-0.02%,-1.36
2018-04-18,SDP,LAD,"L,4-13",0,1.0,1,0,0,0,0,0,0,6.75,4,20,14,5,2,2,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.09,0.005,0.00%,0.45
2018-04-22,SDP,ARI,"L,2-4",3,2.0,0,0,0,0,2,0,0,5.40,6,26,18,5,6,1,3,3,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.35,0.054,0.02%,1.02
2018-04-24,SDP,COL,"L,0-8",1,2.0,0,0,0,0,2,0,0,4.50,6,21,13,4,3,0,4,1,2,0,,0,0,0,0,0,6,0,0,0,0,0,0,.01,0.001,0.00%,1.13
2018-04-27,SDP,NYM,"L,1-5",2,1.0,1,1,1,0,1,0,1,4.85,5,17,11,4,3,1,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.12,-0.013,0.00%,-0.55
2018-04-29,SDP,NYM,"L,2-14",1,1.0,6,5,5,1,1,2,0,7.71,10,38,25,5,8,0,8,4,1,0,,0,0,0,0,0,9,0,0,0,0,0,0,.00,-0.003,0.00%,-4.55
2018-05-04,SDP,LAD,"L,0-4",4,2.0,0,0,0,0,3,0,0,6.75,6,27,18,6,4,2,1,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.10,0.015,0.00%,0.90
2018-05-14,SDP,COL,"L,4-6",9,1.0,3,3,3,0,1,1,0,7.94,6,17,13,3,2,1,4,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.25,-0.359,-0.09%,-2.55
2018-05-21,SDP,WSN,"L,2-10",6,1.0,1,0,0,0,1,0,0,7.50,4,27,17,1,5,0,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.00%,0.51
