date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-24,HOU,LAA,"W,16-2",99,8.2,5,2,2,0,5,2,1,2.08,30,90,65,20,7,15,9,2,2,0,,0,0,0,0,0,29,0,0,0,3,0,0,.29,-0.001,0.00%,2.50
2021-04-30,HOU,TBR,"W,9-2",5,1.0,1,0,0,0,2,0,0,1.86,4,16,12,5,1,0,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.12,0.007,0.00%,0.48
2021-05-02,HOU,TBR,"L,4-5",1,1.0,0,0,0,0,2,0,0,1.69,3,15,9,5,1,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.39,0.029,0.02%,0.48
2021-05-07,HOU,TOR,"W,10-4",4,2.0,2,2,2,1,0,1,0,2.84,9,30,19,4,1,3,5,4,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.17,0.014,0.01%,-0.95
2021-05-09,HOU,TOR,"W,7-4",1,1.0,2,0,0,0,1,0,0,2.63,4,16,11,5,1,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.89,0.050,0.03%,0.53
2021-05-10,HOU,LAA,"L,4-5",0,1.1,0,0,0,1,1,0,0,2.40,5,20,12,7,0,2,1,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.88,0.086,0.06%,0.90
2021-05-14,HOU,TEX,"W,10-4",3,1.0,1,1,1,0,0,1,0,2.81,4,16,11,4,0,1,3,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.04,0.002,0.00%,-0.47
2021-05-19,HOU,OAK,"W,8-1",4,1.0,0,0,0,0,2,0,0,2.65,4,22,14,5,1,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,.02,0.001,0.00%,0.50
2021-05-21,HOU,TEX,"L,5-7",1,0.2,1,0,0,1,0,0,0,2.55,4,11,6,2,0,2,1,0,1,0,,1,1,0,0,0,3,0,0,0,0,0,0,.55,-0.053,-0.05%,-0.43
2021-05-25,HOU,LAD,"L,2-9",3,0.0,0,0,0,1,0,0,0,2.55,1,4,0,0,0,0,0,0,0,0,,3,1,0,0,0,0,0,0,0,0,0,0,.43,-0.018,-0.01%,-1.00
