date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-01,BAL,MIN,"L,0-7",99,4.0,7,6,6,2,5,3,0,13.50,22,73,46,10,11,4,11,3,2,0,27,,,0,0,0,20,2,0,0,0,0,1,.56,-0.347,-0.20%,-4.00
2018-04-06,BAL,NYY,"W,7-3",4,5.0,5,2,2,1,3,0,1,8.00,21,96,61,18,11,10,6,3,0,0,51,,,0,0,0,19,1,0,0,1,0,0,1.27,0.013,0.01%,0.17
2018-04-11,BAL,TOR,"W,5-3",4,6.0,6,3,3,3,7,1,0,6.60,27,106,68,16,13,5,12,7,2,0,52,,,0,0,0,24,1,0,0,0,0,0,1.07,0.005,0.00%,0.01
2018-04-18,BAL,DET,"L,5-6",6,6.0,9,2,2,0,4,2,0,5.57,26,97,64,11,10,8,14,6,3,0,50,,,0,0,0,26,1,0,0,1,0,0,.99,-0.043,-0.01%,-0.19
2018-04-23,BAL,CLE,"L,1-2",4,8.0,4,2,2,1,7,1,0,4.66,29,107,75,25,12,8,13,7,1,0,72,,,0,0,0,28,1,0,0,0,0,0,.79,0.199,0.04%,2.01
2018-04-29,BAL,DET,"W,5-3",5,5.2,5,1,1,3,4,1,0,4.15,24,106,66,22,9,11,6,3,1,0,56,,,0,0,0,21,1,0,0,0,0,0,1.03,0.124,0.02%,1.24
2018-05-05,BAL,OAK,"L,0-2",5,9.0,2,0,0,2,6,0,0,3.30,31,113,66,14,11,14,9,3,3,0,87,,,0,0,0,29,0,0,0,0,0,0,1.19,0.684,0.06%,4.46
2018-05-11,BAL,TBR,"W,9-4",5,7.1,11,2,2,0,6,0,0,3.18,32,107,86,19,16,14,12,8,2,0,54,,,0,0,0,32,2,0,0,1,0,0,1.23,0.335,0.02%,2.48
2018-05-17,BAL,BOS,"L,2-6",5,4.2,8,6,6,2,6,2,0,3.88,23,101,59,19,8,8,7,1,0,0,28,,,5,0,0,20,0,0,0,1,1,0,.73,-0.200,-0.01%,-3.45
2018-05-22,BAL,CHW,"L,2-3",4,6.1,9,0,0,1,10,0,0,3.48,29,106,76,17,25,9,9,7,1,0,64,,,0,0,0,28,3,0,0,0,0,0,1.44,0.352,0.01%,2.98
2018-05-27,BAL,TBR,"L,3-8",4,2.2,6,7,7,2,1,1,2,4.31,17,74,43,8,9,6,6,3,0,0,17,,,0,0,0,13,1,0,0,1,0,0,1.30,-0.559,-0.02%,-5.95
2018-06-02,BAL,NYY,"L,5-8",5,5.1,9,6,5,0,9,2,0,4.63,25,97,64,12,18,6,10,6,0,0,37,,,0,0,0,25,3,0,0,0,0,0,.79,-0.338,0.00%,-3.67
2018-06-09,BAL,TOR,"L,3-4",6,6.2,9,3,3,0,6,1,0,4.58,27,93,65,12,13,15,6,2,2,0,50,,,0,1,0,27,3,0,0,1,0,0,.95,-0.134,0.00%,0.28
2018-06-15,BAL,MIA,"L,0-2",5,5.2,5,2,2,3,7,0,1,4.48,26,107,71,19,11,9,6,4,1,0,55,,,1,0,0,22,1,2,0,0,0,0,1.22,0.006,0.00%,0.51
2018-06-21,BAL,WSN,"L,2-4",5,6.0,4,2,2,4,3,1,0,4.38,24,114,72,20,3,6,11,7,0,0,55,,,0,0,0,19,1,0,0,1,1,0,1.17,0.077,0.00%,1.07
2018-06-26,BAL,SEA,"L,2-3",4,6.0,5,1,1,1,4,1,0,4.20,23,100,63,17,6,8,10,3,1,0,61,,,0,1,0,22,1,0,0,0,0,0,.93,0.232,0.00%,2.01
2018-07-01,BAL,LAA,"W,8-2",4,8.0,6,2,2,0,2,1,0,4.05,29,104,73,14,10,10,17,7,2,0,64,,,0,0,0,29,1,0,0,1,0,0,.54,0.126,0.00%,2.01
2018-07-07,BAL,MIN,"L,4-5",5,5.0,5,3,3,1,5,1,0,4.11,21,90,54,13,13,9,6,3,0,0,49,,,0,0,0,20,1,0,0,1,0,1,1.37,-0.113,0.00%,-0.42
2018-07-12,BAL,PHI,"L,4-5",4,5.0,12,5,5,1,2,1,1,4.33,29,99,74,17,9,13,12,4,1,0,24,,,0,0,0,27,2,0,0,0,0,0,.98,-0.236,0.00%,-3.49
2018-07-23,BAL,BOS,"L,3-5",10,4.2,3,5,5,3,2,1,0,4.54,20,79,44,10,5,6,9,2,0,0,37,,,0,0,0,17,2,0,0,0,0,0,1.04,-0.175,0.00%,-2.10
2018-07-28,BAL,TBR,"W,11-2",4,7.0,9,2,2,2,5,1,0,4.43,29,106,62,13,13,12,10,7,2,0,54,,,0,0,0,27,2,0,0,2,0,0,.69,0.051,0.00%,1.51
2018-08-04,ATL,NYM,"L,0-3",6,5.0,6,3,3,2,2,0,1,4.47,23,86,51,11,4,9,9,4,1,0,43,,,0,0,0,20,1,0,0,1,0,0,.92,-0.034,-0.04%,-0.60
2018-08-10,ATL,MIL,"W,10-1",5,8.0,6,1,1,0,8,0,0,4.27,30,94,71,24,10,10,12,5,1,0,74,,,0,0,0,30,2,0,0,0,0,0,.38,0.168,0.20%,2.90
2018-08-15,ATL,MIA,"W,5-2",4,6.0,4,2,2,2,2,1,0,4.22,23,98,62,19,5,10,9,5,1,0,56,,,1,0,0,21,0,0,0,1,0,0,.99,0.113,0.11%,0.93
2018-08-21,ATL,PIT,"W,6-1",5,8.0,4,0,0,2,5,0,0,3.99,29,103,73,17,11,12,10,5,0,0,77,,,0,0,0,27,1,0,0,1,0,0,1.13,0.371,0.43%,3.71
2018-08-26,ATL,MIA,"W,4-0",4,5.0,1,0,0,1,5,0,0,3.87,17,80,54,16,12,6,5,3,0,0,69,,,0,0,0,16,0,0,0,0,0,0,.76,0.270,0.26%,2.27
2018-09-01,ATL,PIT,"W,5-3",5,6.0,5,3,1,0,4,1,1,3.78,24,94,61,12,12,8,11,2,0,0,58,,,1,1,0,23,1,0,0,0,0,1,.94,-0.069,-0.08%,-0.07
2018-09-07,ATL,ARI,"L,3-5",5,4.2,7,4,4,4,4,1,0,3.89,23,104,61,13,17,6,9,6,0,0,34,,,0,0,0,19,1,0,1,0,0,0,.82,-0.246,-0.23%,-1.90
2018-09-14,ATL,WSN,"W,10-5",6,5.2,7,4,3,2,1,1,0,3.92,24,79,50,13,7,9,12,6,0,0,40,,,1,0,0,21,2,0,0,1,1,0,1.10,-0.149,-0.04%,-1.30
2018-09-20,ATL,PHI,"W,8-3",5,6.1,5,3,3,2,7,0,0,3.93,26,105,67,16,16,4,13,3,2,0,56,,,0,0,0,24,0,0,0,0,0,0,1.15,0.048,0.03%,0.16
2018-09-30,ATL,PHI,"L,1-3",9,5.0,5,3,2,3,6,1,0,3.92,23,86,57,13,11,2,12,4,3,0,50,,,2,0,0,19,1,1,0,0,1,0,.97,-0.103,-0.04%,-0.53
2019-04-05,ATL,MIA,"W,4-0",99,7.0,2,0,0,2,7,0,0,0.00,22,88,54,14,12,4,9,4,2,0,78,,,0,0,0,20,0,0,0,3,0,0,.83,0.331,0.20%,3.89
2019-04-11,ATL,NYM,"L,3-6",5,5.2,4,4,4,3,5,1,0,2.84,24,102,65,10,12,8,8,5,0,0,47,,,0,0,0,20,0,0,0,0,0,0,.97,-0.032,-0.02%,-0.20
2019-04-17,ATL,ARI,"L,2-3",5,7.0,3,2,2,1,10,1,0,2.75,25,99,67,13,19,5,9,3,1,0,72,,,1,0,0,24,1,0,0,0,0,0,1.09,0.185,0.12%,1.89
2019-04-23,ATL,CIN,"L,6-7",5,5.1,8,6,5,2,6,2,0,3.96,27,88,58,19,8,9,10,4,1,0,34,,,0,0,0,23,1,0,0,0,0,1,.89,-0.429,-0.26%,-2.45
2019-04-28,ATL,COL,"W,8-7",4,5.0,5,5,5,2,5,1,0,4.80,22,79,55,10,8,7,8,1,1,0,40,,,1,0,0,18,3,0,0,0,1,0,1.11,-0.237,-0.13%,-2.22
2019-05-03,ATL,MIA,"W,7-2",4,1.2,1,1,1,1,1,0,1,4.83,8,27,16,5,3,3,2,1,0,0,49,,,0,0,0,6,0,0,0,0,0,0,1.27,-0.071,-0.04%,-0.61
