date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-08-05,ARI,PHI,"L,3-7",99,0.2,2,1,0,0,1,0,0,0.00,4,10,8,0,2,1,2,2,0,0,,2,1,0,0,0,4,0,0,0,0,0,0,.88,-0.042,-0.02%,-0.45
2019-08-07,ARI,PHI,"W,6-1",1,1.0,1,1,1,1,3,1,0,5.40,5,30,18,1,7,0,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.09,0.003,0.00%,-0.47
2019-08-09,ARI,LAD,"W,3-2",1,0.2,0,0,0,0,1,0,0,3.86,2,11,8,1,2,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.16,0.008,0.00%,0.27
2019-08-10,ARI,LAD,"L,0-4",0,0.2,0,0,0,0,0,0,0,3.00,2,8,6,2,0,0,2,1,0,0,,3,0,0,0,0,2,0,0,0,0,0,0,.78,0.043,0.02%,1.58
2019-08-13,ARI,COL,"W,9-3",2,2.0,1,0,0,0,2,0,0,1.80,7,28,17,3,4,4,1,0,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.38,0.064,0.03%,1.25
2019-08-16,ARI,SFG,"L,9-10",2,1.0,1,1,1,2,2,0,0,3.00,5,21,8,2,3,0,1,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,.21,-0.015,-0.01%,-0.47
2019-08-17,ARI,SFG,"L,6-11",0,1.0,1,0,0,0,2,0,0,2.57,4,18,12,1,3,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.34,0.020,0.01%,0.54
2019-08-19,ARI,COL,"W,5-3",1,1.0,0,0,0,0,0,0,0,2.25,3,9,4,0,1,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.26,0.098,0.03%,0.54
2019-08-20,ARI,COL,"W,8-7",0,1.0,0,0,0,0,1,0,0,2.00,2,13,9,0,3,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,1,0,0,1.58,0.146,0.05%,0.93
2019-08-24,ARI,MIL,"L,0-4",3,0.2,0,1,1,1,1,0,0,2.79,3,16,8,3,2,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.45,0.007,0.00%,0.09
