date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-06,WSN,ATL,"W,6-5",99,0.2,2,1,1,1,0,0,0,13.50,5,18,12,0,3,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.44,-0.208,-0.13%,-1.11
2021-04-07,WSN,ATL,"L,6-7",0,1.0,0,0,0,0,3,0,0,5.40,3,12,9,3,2,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.72,0.054,0.04%,0.49
2021-04-10,WSN,LAD,"L,5-9",2,0.1,1,0,0,0,1,0,0,4.50,2,6,4,2,1,0,1,1,0,0,,3,3,0,0,0,2,1,0,0,0,0,0,.36,-0.046,-0.03%,-2.22
2021-04-12,WSN,STL,"W,5-2",1,1.1,1,1,1,0,2,1,0,5.40,5,19,15,2,5,1,2,0,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,1.26,0.024,0.01%,0.05
2021-04-15,WSN,ARI,"L,6-11",2,2.0,1,0,0,1,0,0,0,3.38,8,31,18,5,2,4,3,0,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.17,0.017,0.01%,0.97
2021-04-17,WSN,ARI,"W,6-2",1,1.0,0,0,0,1,1,0,0,2.84,4,25,14,4,3,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.29,0.069,0.03%,0.49
2021-04-19,WSN,STL,"L,5-12",1,0.2,1,1,1,0,2,1,0,3.86,3,18,12,5,3,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,-0.005,0.00%,-0.74
2021-04-23,WSN,NYM,"L,0-6",3,1.0,2,0,0,0,1,0,0,3.38,5,21,16,4,4,2,2,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.34,0.016,0.01%,0.49
2021-04-24,WSN,NYM,"W,7-1",0,1.0,0,0,0,0,1,0,0,3.00,3,14,8,1,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.14,0.011,0.01%,0.49
2021-04-27,WSN,TOR,"L,5-9",2,1.0,2,2,2,0,1,1,0,4.50,5,17,11,4,2,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.36,-0.078,-0.04%,-1.47
2021-04-30,WSN,MIA,"W,2-1",2,0.2,1,0,0,1,1,0,0,4.22,4,24,12,3,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.62,-0.001,0.00%,0.00
2021-05-01,WSN,MIA,"W,7-2",0,1.0,0,0,0,1,1,0,0,3.86,4,16,9,4,0,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.24,0.011,0.01%,0.49
2021-05-05,WSN,ATL,"L,3-5",3,1.0,0,0,0,0,3,0,0,3.55,3,9,9,4,2,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.19,0.014,0.01%,0.49
2021-05-07,WSN,NYY,"W,11-4",1,1.0,0,0,0,1,1,0,0,3.29,4,22,11,6,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.80,0.089,0.05%,0.52
2021-05-08,WSN,NYY,"L,3-4",0,1.0,0,0,0,0,1,0,0,3.07,3,15,11,0,5,1,1,0,1,0,,1,0,0,0,0,3,0,0,0,0,0,0,2.81,0.215,0.11%,0.91
2021-05-11,WSN,PHI,"L,2-6",2,0.1,3,3,3,2,0,0,0,4.80,6,23,14,6,1,2,2,1,0,0,,0,0,0,0,0,4,2,0,1,0,0,0,.92,-0.220,-0.12%,-3.41
2021-05-12,WSN,PHI,"L,2-5",0,1.0,3,1,1,0,0,0,0,5.06,5,18,13,2,0,1,4,3,0,0,,2,2,1,0,0,5,0,0,0,1,0,0,1.79,-0.276,-0.14%,-1.17
2021-05-17,WSN,CHC,"L,3-7",4,0.2,0,0,0,0,1,0,0,4.86,2,11,8,3,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.33,0.017,0.01%,0.27
2021-05-19,WSN,CHC,"W,4-3",1,1.1,1,0,0,0,0,0,0,4.50,5,21,11,4,1,4,1,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.11,0.047,0.02%,0.33
2021-05-21,WSN,BAL,"W,4-2",1,0.2,1,0,0,0,1,0,0,4.34,2,12,8,1,1,0,1,1,0,0,,1,0,0,0,0,2,1,0,0,0,0,0,1.52,0.069,0.03%,0.51
2021-05-22,WSN,BAL,"W,12-9",0,1.0,1,0,0,0,1,0,0,4.12,4,11,6,1,0,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.21,0.016,0.01%,0.49
2021-05-26,WSN,CIN,"W,5-3",3,1.0,0,0,0,1,0,0,0,3.92,4,24,14,1,3,1,2,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,.23,0.016,0.01%,0.49
2021-05-30,WSN,MIL,"L,0-3",3,1.0,0,0,0,3,1,0,0,3.74,6,29,14,4,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.88,0.033,0.01%,0.49
2021-05-31,WSN,ATL,"L,3-5",0,1.0,3,1,1,1,2,0,0,3.97,7,33,23,3,4,3,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.11,-0.071,-0.03%,-0.45
2021-06-05,WSN,PHI,"L,2-5",4,1.0,0,0,0,0,2,0,0,3.80,3,10,8,3,2,0,1,0,1,0,,2,0,1,0,0,3,0,0,0,0,0,0,.24,0.022,0.01%,1.85
2021-06-06,WSN,PHI,"L,6-12",0,0.1,2,5,0,2,1,0,0,3.75,7,29,18,3,4,2,2,0,1,0,,2,2,0,0,0,5,0,0,0,0,0,1,2.71,-0.648,-0.27%,-6.31
2021-06-09,WSN,TBR,"W,9-7",2,1.1,1,1,1,0,2,1,0,3.91,5,21,13,3,6,0,3,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.26,-0.025,-0.01%,-0.30
2021-06-12,WSN,SFG,"W,2-0",2,1.0,1,0,0,0,1,0,0,3.76,4,16,11,3,1,0,3,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.02,0.072,0.02%,0.49
2021-06-12,WSN,SFG,"L,1-2",-1,0.1,2,2,1,1,0,0,0,4.05,5,26,17,3,1,2,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.55,-0.383,-0.11%,-2.45
2021-06-14,WSN,PIT,"W,3-2",1,1.0,0,0,0,1,2,0,0,3.90,4,18,11,3,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.55,0.087,0.02%,0.49
2021-06-16,WSN,PIT,"W,3-1",1,0.2,3,1,1,0,1,0,0,4.13,5,9,9,2,1,1,3,3,0,0,,1,0,0,0,0,5,1,0,0,0,0,0,1.48,-0.027,-0.01%,-0.80
