date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-03-31,ATL,PHI,"L,1-5",99,4.1,2,3,3,5,4,1,1,6.23,20,85,45,14,9,5,5,4,0,0,46,,,0,0,0,14,1,0,0,1,0,0,1.09,0.059,0.04%,0.75
2019-04-06,ATL,MIA,"L,2-4",5,6.0,5,2,2,1,4,2,0,4.35,22,77,46,14,4,8,9,3,1,0,57,,,0,0,0,21,0,0,0,1,0,0,1.06,0.135,0.09%,1.34
2019-04-12,ATL,NYM,"L,2-6",5,3.2,8,6,6,4,3,1,0,7.07,23,76,45,15,4,7,9,6,1,0,20,,,2,0,0,19,3,0,1,0,0,0,.96,-0.340,-0.24%,-4.24
2019-07-18,ATL,WSN,"L,4-13",96,2.2,7,7,7,3,3,0,0,9.72,17,64,33,7,5,2,9,7,0,0,16,,,1,0,0,14,2,1,0,1,0,0,1.39,-0.353,-0.26%,-3.97
2019-09-15,ATL,WSN,"L,0-7",58,1.0,0,0,0,0,2,0,0,9.17,3,13,8,0,5,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.56
2019-09-18,ATL,PHI,"L,1-4",2,1.0,0,0,0,0,1,0,0,8.68,3,11,8,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.13,0.010,0.00%,0.56
2019-09-21,ATL,SFG,"W,8-1",2,1.0,2,1,1,0,1,0,0,8.69,5,25,16,3,2,1,3,0,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,.30,0.003,0.00%,-0.44
2020-07-28,ATL,TBR,"L,2-5",99,2.2,4,5,5,3,3,0,0,16.88,15,54,35,11,10,3,6,3,1,0,30,,,1,0,0,12,0,0,0,0,0,0,1.27,-0.293,-0.19%,-2.91
2020-08-02,ATL,NYM,"W,4-0",4,3.1,5,0,0,4,5,0,0,7.50,18,75,45,8,9,4,5,3,1,0,51,,,0,0,0,14,1,0,0,1,0,0,1.46,0.115,0.08%,1.26
2020-08-08,ATL,PHI,"L,0-5",5,6.0,6,4,4,3,3,2,0,6.75,26,91,59,17,10,9,11,6,0,0,44,,,1,0,0,23,1,0,0,1,0,0,.70,-0.144,-0.10%,-0.76
2020-08-14,ATL,MIA,"L,2-8",5,3.0,2,3,3,6,1,0,0,7.20,16,65,29,12,2,4,5,2,1,0,38,,,2,0,0,10,1,0,0,1,0,0,1.34,-0.131,-0.11%,-0.89
2020-09-08,ATL,MIA,"L,0-8",24,4.0,7,5,5,2,4,3,0,8.05,20,83,47,14,6,7,7,7,0,0,30,,,2,0,0,18,1,0,0,1,0,0,.76,-0.231,-0.12%,-2.78
2020-09-13,ATL,WSN,"W,8-4",4,6.0,8,4,3,2,4,1,0,7.20,27,96,60,16,6,10,11,7,0,0,44,,,0,0,0,25,1,0,1,2,0,0,1.21,-0.118,-0.03%,-0.63
2020-09-20,ATL,NYM,"W,7-0",6,6.1,1,0,0,1,6,0,0,5.74,21,98,60,16,11,7,7,2,3,0,76,,,0,0,0,20,1,0,0,0,0,0,.91,0.358,0.08%,2.89
2020-09-25,ATL,BOS,"W,8-7",4,6.2,2,2,2,3,4,1,0,5.21,25,79,51,13,8,9,9,4,0,0,63,,,0,0,0,22,0,0,0,0,0,0,1.22,0.055,0.00%,1.25
