date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-08-23,SEA,CHW,"W,8-6",99,1.0,1,1,1,1,2,1,0,9.00,5,24,13,5,1,1,1,1,0,0,,1,1,0,0,0,4,0,0,0,0,0,0,1.02,-0.103,0.00%,-1.54
2015-08-25,SEA,OAK,"W,6-5",1,1.2,0,0,0,2,3,0,0,3.38,7,32,17,7,4,0,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.18,0.126,0.00%,0.71
2015-08-27,SEA,CHW,"L,2-4",1,1.1,0,0,0,0,0,0,0,2.25,4,18,11,3,0,2,2,0,1,0,,1,0,0,0,0,4,0,0,0,0,0,0,.21,0.023,0.00%,0.68
2015-08-29,SEA,CHW,"W,7-6",1,1.2,2,4,4,2,2,0,0,7.94,9,30,18,4,2,0,5,4,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.61,0.000,0.00%,-0.81
2015-09-01,SEA,HOU,"W,7-5",2,1.0,1,0,0,0,0,0,0,6.75,4,9,7,2,0,2,2,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.23,0.085,0.00%,0.47
2015-09-02,SEA,HOU,"W,8-3",0,0.1,1,0,0,0,0,0,0,6.43,2,10,8,2,0,0,2,1,1,0,,0,0,0,0,0,2,1,0,0,0,0,0,2.34,-0.054,0.00%,-0.45
2015-09-04,SEA,OAK,"W,11-8",1,0.1,0,0,0,0,0,0,0,6.14,1,1,1,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.91,0.048,0.00%,0.22
2015-09-06,SEA,OAK,"W,3-2",1,0.1,1,1,1,1,0,0,0,7.04,3,13,6,1,1,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,3.22,-0.198,-0.02%,-1.19
2015-09-08,SEA,TEX,"L,6-9",1,0.2,0,0,0,0,1,0,0,6.48,2,11,8,3,2,1,0,0,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,.37,-0.010,0.00%,0.15
2015-09-12,SEA,COL,"W,7-2",3,0.1,0,0,0,0,0,0,0,6.23,1,5,2,0,0,0,1,0,0,0,,2,1,0,0,0,0,0,0,0,0,1,0,1.40,0.025,0.00%,0.02
2015-09-18,SEA,TEX,"W,3-1",5,0.2,0,0,0,0,0,0,0,5.79,2,13,8,2,2,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.31,0.066,0.00%,0.41
2015-09-19,SEA,TEX,"L,1-10",0,0.1,0,0,0,0,0,0,0,5.59,1,6,4,0,1,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,.00,0.000,0.00%,0.78
2015-09-20,SEA,TEX,"W,9-2",0,1.0,0,0,0,0,1,0,0,5.06,3,12,8,2,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.001,0.00%,0.51
2015-09-23,SEA,KCR,"L,3-4",2,0.1,0,0,0,0,0,0,0,4.91,1,5,4,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.27,0.058,0.00%,0.24
2015-09-24,SEA,KCR,"L,4-10",0,1.0,0,1,1,1,2,0,0,5.25,4,19,11,3,3,1,0,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,1.15,0.086,0.00%,0.60
2015-09-25,SEA,LAA,"L,4-8",0,0.2,3,2,2,0,0,1,0,6.39,5,16,12,4,1,2,3,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.14,-0.039,0.00%,-1.85
2015-09-30,SEA,HOU,"L,6-7",4,0.1,3,1,1,0,1,0,0,6.92,4,11,9,1,3,1,2,2,0,0,,1,1,0,0,0,4,1,0,0,0,0,0,2.05,-0.271,0.00%,-1.83
2015-10-03,SEA,OAK,"L,5-7",2,0.2,0,0,0,0,0,0,0,6.59,2,9,7,2,0,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.48,0.073,0.00%,0.37
2015-10-04,SEA,OAK,"W,3-2",0,1.2,0,0,0,0,1,0,0,5.87,4,12,8,3,1,1,2,1,0,0,,2,0,0,0,0,4,0,0,0,1,0,0,1.86,0.249,0.00%,1.33
