date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-08-06,DET,CHW,"L,3-5",99,1.0,0,0,0,0,1,0,0,0.00,2,7,5,2,2,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,1,0,0,.30,0.025,0.00%,1.58
2019-08-08,DET,KCR,"W,10-8",1,2.2,2,2,2,0,4,0,0,4.91,10,47,30,9,7,0,6,2,3,0,,1,0,0,0,0,10,1,0,0,0,0,0,1.14,0.070,0.00%,0.70
2019-08-13,DET,SEA,"L,6-11",4,1.2,0,0,0,2,3,0,0,3.38,7,37,22,11,4,1,1,0,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.56,0.064,0.00%,1.30
2019-08-15,DET,SEA,"L,2-7",1,1.0,2,2,2,1,1,1,1,5.68,7,28,15,7,1,2,2,1,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,.85,-0.122,0.00%,-1.46
2019-08-17,DET,TBR,"L,0-1",1,0.2,2,1,1,1,0,0,0,6.43,5,16,11,4,0,2,2,0,0,0,,0,0,0,0,0,4,1,0,1,0,0,0,2.77,-0.356,0.00%,-0.92
2019-08-20,DET,HOU,"L,3-6",2,2.0,2,1,1,3,1,1,0,6.00,11,54,30,9,5,3,4,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.77,-0.009,0.00%,0.14
2019-08-24,DET,MIN,"L,5-8",3,3.0,4,2,2,0,4,1,0,6.00,13,52,33,12,7,3,6,3,0,0,,0,0,0,0,0,13,0,0,0,0,0,0,.39,-0.128,0.00%,-0.34
2019-08-27,DET,CLE,"L,1-10",2,1.0,0,0,0,1,1,0,0,5.54,4,23,14,4,4,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.56
2019-08-29,DET,CLE,"L,0-2",1,1.0,0,0,0,0,2,0,0,5.14,3,15,10,5,1,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.28,0.022,0.00%,0.56
2019-08-30,DET,MIN,"L,5-13",0,1.2,3,4,4,1,2,1,0,6.89,9,37,26,9,3,3,3,2,1,0,,3,2,0,0,0,8,0,0,0,0,0,0,.46,-0.112,0.00%,-3.79
2019-09-02,DET,MIN,"L,3-4",2,0.1,1,0,0,0,1,0,0,6.75,2,7,5,2,1,0,1,1,0,0,,3,2,0,0,0,2,0,0,0,0,0,0,4.37,-0.356,0.00%,-1.18
2019-09-07,DET,OAK,"L,2-10",4,0.2,3,3,3,2,1,0,0,8.10,7,34,18,8,2,1,3,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.18,-0.043,0.00%,-2.99
2019-09-12,DET,NYY,"L,4-10",4,2.0,5,3,3,0,2,0,0,8.68,11,43,25,8,4,4,5,4,0,0,,0,0,0,0,0,11,0,1,0,0,0,0,.14,-0.034,0.00%,-1.87
2019-09-15,DET,BAL,"L,2-8",2,1.2,3,2,2,3,2,0,0,8.85,11,44,21,7,2,1,5,5,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.24,-0.017,0.00%,-1.69
2019-09-19,DET,CLE,"L,0-7",3,2.0,1,0,0,1,0,0,0,8.06,8,43,27,8,0,3,4,1,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.03,0.003,0.00%,1.15
2019-09-25,DET,MIN,"L,1-5",5,1.0,0,0,0,0,2,0,0,7.71,3,14,7,3,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.06,0.005,0.00%,0.56
2020-07-28,BOS,NYM,"L,3-8",99,2.2,3,3,3,2,3,0,1,10.13,14,51,32,6,4,3,5,1,0,0,41,,,0,0,0,11,1,0,0,0,0,0,1.11,-0.158,-0.10%,-1.52
2020-08-02,BOS,NYY,"L,7-9",4,2.0,4,5,5,2,2,1,0,15.43,12,49,29,10,1,2,6,5,0,0,,0,0,0,0,0,10,2,0,0,0,0,0,1.14,-0.425,-0.28%,-3.92
2020-09-06,BOS,TOR,"L,8-10",34,1.2,4,6,6,4,2,0,0,19.89,13,54,25,8,2,4,3,3,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,1.67,-0.377,-0.01%,-3.32
2020-09-11,BOS,TBR,"L,1-11",4,2.1,6,4,4,2,2,1,0,18.69,15,56,33,11,5,4,7,7,0,0,,0,0,2,0,0,13,1,0,0,0,0,0,.95,-0.251,0.00%,-3.34
