date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-07-31,ATL,PHI,"L,3-9",99,1.2,2,0,0,1,0,0,0,0.00,8,28,17,2,1,3,4,2,1,0,,2,2,0,0,0,7,0,0,0,0,0,0,.02,-0.003,0.00%,-0.42
2015-08-03,ATL,SFG,"W,9-8",2,1.0,0,0,0,0,0,0,0,0.00,3,12,8,5,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.40,0.030,0.01%,0.45
2015-08-04,ATL,SFG,"L,3-8",0,1.0,1,0,0,0,2,0,0,0.00,4,11,9,3,4,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.16,0.012,0.00%,0.45
2015-08-06,ATL,MIA,"W,9-8",1,1.2,0,0,0,0,0,0,0,0.00,5,20,14,2,0,2,3,0,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.77,0.100,0.01%,1.09
2015-08-07,ATL,MIA,"W,6-3",0,0.2,0,0,0,0,0,0,0,0.00,2,7,4,1,0,0,2,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.64,0.031,0.00%,0.36
2015-08-09,ATL,MIA,"L,1-4",1,0.1,2,1,1,1,0,0,0,1.42,4,14,6,0,1,2,1,1,0,0,,0,0,1,0,0,3,0,1,0,0,0,0,.24,-0.042,-0.01%,-1.41
2015-08-12,ATL,TBR,"L,6-9",2,0.2,4,5,3,0,0,0,0,5.14,7,21,13,3,2,2,5,2,1,0,,0,0,0,0,0,6,3,0,0,0,1,1,2.29,-0.663,-0.06%,-3.75
2015-08-15,ATL,ARI,"L,4-8",2,1.0,0,0,0,1,0,0,0,4.50,3,13,9,2,3,2,0,0,0,0,,1,0,0,0,0,2,0,0,0,1,0,0,.12,0.005,0.00%,0.82
2015-08-17,ATL,SDP,"L,3-5",1,0.2,0,0,0,0,2,0,0,4.15,2,12,9,3,3,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.22,0.011,0.00%,0.23
2015-08-19,ATL,SDP,"L,2-3",1,0.2,3,2,2,1,1,0,0,5.79,6,21,11,3,1,1,3,3,0,0,,0,0,1,0,0,5,2,0,0,0,0,0,1.63,-0.315,-0.02%,-1.96
2015-08-22,ATL,CHC,"L,7-9",2,1.2,1,1,1,0,4,1,0,5.73,6,17,15,7,5,1,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.16,-0.058,0.00%,-0.18
2015-08-23,ATL,CHC,"L,3-9",0,1.0,1,0,0,0,1,0,0,5.25,4,11,8,2,3,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.02,0.001,0.00%,0.46
2015-08-25,ATL,COL,"L,1-5",1,1.0,0,1,1,3,0,0,0,5.54,6,21,9,5,0,0,3,1,1,0,,0,0,0,0,0,2,0,0,1,0,1,0,.11,-0.014,0.00%,-0.55
2015-08-28,ATL,NYY,"L,4-15",2,1.0,0,0,0,1,0,0,0,5.14,4,12,6,2,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.11,0.005,0.00%,0.45
2015-08-29,ATL,NYY,"L,1-3",0,1.0,0,0,0,1,2,0,0,4.80,4,16,9,3,1,0,1,0,1,0,,1,0,0,0,0,3,0,0,1,0,0,0,.97,0.070,0.00%,1.06
2015-08-31,ATL,MIA,"L,0-4",1,1.0,2,2,2,1,1,0,0,5.63,6,31,20,5,2,1,3,0,0,0,,0,0,0,0,0,5,2,0,0,0,0,0,.61,-0.165,0.00%,-1.55
2015-09-03,ATL,WSN,"L,1-15",2,1.0,1,1,1,0,2,1,0,5.82,4,16,10,2,3,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.00%,-0.53
2015-09-04,ATL,WSN,"L,2-5",0,0.0,1,1,1,0,0,0,0,6.35,1,6,3,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.23,-0.074,0.00%,-0.38
2015-09-07,ATL,PHI,"W,7-2",2,1.0,0,0,0,0,0,0,0,6.00,3,5,4,1,0,0,3,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.60,0.044,0.00%,0.45
2015-09-11,ATL,NYM,"L,1-5",3,0.2,1,0,0,0,1,0,0,5.79,3,10,7,4,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.68,0.026,0.00%,0.24
2015-09-12,ATL,NYM,"L,4-6",0,0.2,0,0,0,0,0,0,0,5.59,2,7,5,0,0,1,1,0,0,0,,3,0,0,0,0,2,0,0,0,0,0,0,.75,0.040,0.00%,1.51
2015-09-13,ATL,NYM,"L,7-10",0,0.2,1,0,0,0,1,0,1,5.40,4,17,9,2,1,1,1,0,1,0,,2,2,0,0,0,3,0,0,0,0,0,0,3.18,-0.232,0.00%,-0.87
2015-09-15,ATL,TOR,"W,3-2",1,0.1,0,0,0,0,1,0,0,5.31,1,3,3,1,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.41,0.056,0.00%,0.27
2015-09-18,ATL,PHI,"W,2-1",2,1.0,0,0,0,1,1,0,0,5.06,3,15,8,3,2,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,2.19,0.114,0.00%,0.45
2015-09-22,ATL,NYM,"W,6-2",3,0.1,0,0,0,1,0,0,0,4.98,2,9,4,0,0,0,1,0,1,0,,2,0,0,0,0,1,0,0,0,0,0,0,2.92,-0.017,0.00%,-0.09
