date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-03-21,SEA,OAK,"W,5-4",99,2.0,1,0,0,0,1,0,0,0.00,7,26,17,5,2,2,4,1,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.92,0.284,0.19%,1.05
2019-03-29,SEA,BOS,"L,6-7",7,0.2,0,0,0,1,0,0,0,0.00,3,12,7,2,1,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.92,0.027,0.02%,0.28
2019-03-31,SEA,BOS,"W,10-8",1,1.2,1,0,0,1,2,0,0,0.00,7,29,18,8,2,2,2,1,1,0,,0,0,0,0,0,6,1,0,0,0,0,0,.62,0.051,0.03%,0.58
2019-04-05,SEA,CHW,"L,8-10",4,1.0,0,0,0,1,0,0,0,0.00,3,13,8,5,0,1,1,0,1,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.44,0.077,0.05%,0.54
2019-04-07,SEA,CHW,"W,12-5",1,1.0,3,3,3,2,1,1,0,4.26,8,29,14,2,4,2,3,1,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,.15,-0.006,0.00%,-2.46
2019-04-10,SEA,KCR,"W,6-5",2,0.2,3,2,2,0,0,0,0,6.43,5,14,11,4,0,2,3,2,0,0,,0,0,0,0,0,5,1,1,0,0,0,0,2.16,-0.308,-0.22%,-1.69
2019-05-17,SEA,MIN,"L,1-7",36,2.0,2,1,1,0,2,0,0,6.00,8,28,20,3,6,3,3,2,1,0,,0,0,0,0,0,8,1,0,0,0,0,0,.04,0.001,0.00%,0.03
2019-06-04,SEA,HOU,"L,5-11",17,1.0,0,0,0,1,1,0,0,5.40,4,23,12,2,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.51
2019-06-06,SEA,HOU,"L,7-8",1,1.0,1,1,1,1,2,0,0,5.73,5,26,14,2,5,0,2,1,0,0,,0,0,0,0,0,3,0,1,0,0,1,0,1.35,-0.296,-0.03%,-0.49
2019-06-14,SEA,OAK,"W,9-2",7,1.0,0,0,0,1,1,0,1,5.25,5,20,11,3,2,0,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.001,0.00%,0.53
2019-06-18,SEA,KCR,"L,0-9",3,1.0,1,1,1,0,0,0,0,5.54,4,20,13,4,1,2,2,0,0,0,,0,0,0,0,0,3,1,0,0,0,1,0,.04,-0.009,0.00%,-0.49
2019-06-22,SEA,BAL,"L,4-8",3,1.0,0,0,0,0,1,0,0,5.14,3,13,9,2,0,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,0.00%,0.51
2019-06-25,SEA,MIL,"W,8-3",2,1.0,0,0,0,0,2,0,0,4.80,3,12,10,3,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.11,0.009,0.00%,0.54
2019-06-27,SEA,MIL,"L,2-4",1,1.0,0,0,0,0,0,0,0,4.50,3,9,6,2,0,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.33,0.026,0.00%,0.54
2019-06-28,SEA,HOU,"L,1-2",0,1.1,2,1,1,1,1,1,0,4.67,7,29,18,5,1,2,3,2,0,0,,0,0,0,0,0,5,0,0,1,0,0,0,3.08,-0.198,-0.01%,-0.17
2019-07-04,SEA,STL,"L,4-5",5,0.0,1,0,0,1,0,0,0,4.67,2,13,7,1,1,1,0,0,0,0,,2,2,0,0,0,1,0,0,0,0,0,0,4.27,-0.350,-0.01%,-2.00
2019-07-07,SEA,OAK,"L,4-7",2,1.0,0,0,0,0,0,0,0,4.42,3,13,6,2,0,1,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.11,0.008,0.00%,0.51
2019-07-12,SEA,LAA,"L,0-13",4,1.0,1,2,1,2,2,0,1,4.66,8,38,19,8,3,1,1,0,0,0,,3,0,0,0,0,4,0,0,0,0,0,0,.20,-0.012,0.00%,-1.46
2019-07-17,SEA,OAK,"L,2-10",4,1.0,3,3,3,0,0,2,0,5.75,6,14,12,3,2,1,5,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.01,-0.005,0.00%,-2.48
2019-07-21,SEA,LAA,"L,3-9",3,2.0,1,1,1,0,5,1,0,5.64,7,27,22,4,6,1,1,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.01,-0.001,0.00%,0.03
