date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-03,CHW,TOR,"L,5-14",99,5.0,8,6,5,2,4,2,0,9.00,25,89,58,13,10,10,9,4,1,0,31,,,0,0,0,23,3,1,0,0,0,1,.84,-0.388,-0.24%,-3.50
2018-04-09,CHW,TBR,"L,4-5",5,4.1,8,4,4,2,0,1,0,8.68,23,93,55,11,2,6,15,9,2,0,29,,,0,0,0,21,1,1,0,0,0,0,1.05,-0.224,-0.12%,-2.02
2018-04-17,CHW,OAK,"L,2-10",7,3.0,8,8,8,2,1,1,0,12.41,18,76,48,9,7,5,10,4,2,0,10,,,0,1,0,16,3,0,0,0,0,0,.56,-0.361,-0.17%,-5.90
2015-04-08,BAL,TBR,"L,0-2",99,5.2,3,1,1,5,5,0,0,1.59,23,98,59,15,9,10,3,1,1,0,59,,,0,0,0,18,0,0,0,2,0,0,1.15,0.281,0.19%,2.38
2015-04-14,BAL,NYY,"W,4-3",5,7.0,4,1,1,1,10,0,0,1.42,26,108,76,20,17,6,9,7,0,0,74,,,0,0,0,25,3,0,0,0,0,0,.91,0.310,0.17%,2.48
2015-04-19,BAL,BOS,"W,8-3",4,5.0,5,3,3,4,5,1,0,2.55,24,96,56,18,11,10,5,4,0,0,46,,,0,0,0,20,0,0,0,0,0,0,1.12,-0.012,-0.01%,-0.39
2015-04-24,BAL,BOS,"L,5-7",4,6.0,8,4,4,1,1,2,1,3.42,27,91,60,17,2,5,19,11,3,0,40,,,0,0,0,25,0,0,0,1,0,0,1.05,-0.206,-0.12%,-1.02
2015-05-02,BAL,TBR,"W,4-0",7,7.2,4,0,0,1,6,0,0,2.59,28,105,70,17,8,7,14,6,3,0,76,,,0,0,0,27,2,0,0,0,0,0,.73,0.309,0.18%,3.31
2015-05-08,BAL,NYY,"L,4-5",5,4.0,5,5,5,2,2,1,0,3.57,18,79,49,9,5,6,8,4,1,0,32,,,1,0,0,15,2,0,1,0,1,0,.71,-0.284,-0.17%,-3.04
2015-05-13,BAL,TOR,"W,6-1",4,7.2,3,1,0,3,5,0,1,2.93,29,101,65,19,10,7,13,4,5,0,73,,,0,0,0,25,0,0,0,1,0,0,.63,0.193,0.10%,2.54
2015-05-19,BAL,SEA,"W,9-4",5,7.0,5,4,4,2,8,2,0,3.24,28,98,68,18,11,3,15,6,4,0,57,,,0,0,0,26,0,0,0,0,0,0,.85,-0.059,-0.03%,-0.52
2015-05-24,BAL,MIA,"L,2-5",4,4.0,10,5,5,3,2,1,0,3.83,24,96,63,11,8,13,6,6,0,0,21,,,0,0,0,20,1,0,1,1,0,0,1.03,-0.248,-0.14%,-4.18
2015-05-29,BAL,TBR,"W,2-1",4,8.0,3,1,1,0,6,1,2,3.48,29,96,65,17,12,9,12,7,0,0,78,,,0,0,0,27,0,0,0,0,0,0,.85,0.354,0.24%,2.97
2015-06-03,BAL,HOU,"L,1-3",4,6.2,4,3,3,0,8,3,0,3.54,23,99,68,10,18,5,10,3,2,0,62,,,0,0,0,23,0,0,0,1,0,0,.68,-0.088,-0.04%,0.21
2015-06-09,BAL,BOS,"W,1-0",5,4.1,4,0,0,2,1,0,0,3.33,19,89,60,14,6,6,10,5,0,0,54,,,0,0,0,17,2,0,0,0,0,0,1.04,0.147,0.07%,1.54
2015-06-25,BAL,BOS,"W,8-6",15,5.0,8,4,4,0,4,1,1,3.58,24,88,66,15,6,5,14,5,3,0,39,,,0,0,0,23,2,0,0,0,0,0,1.00,-0.099,-0.07%,-1.78
2015-06-30,BAL,TEX,"L,6-8",4,4.1,8,6,6,3,1,3,0,4.04,21,85,51,14,6,8,9,5,1,0,21,,,0,0,0,18,0,0,0,3,0,0,1.14,-0.479,-0.41%,-4.04
2015-07-05,BAL,CHW,"W,9-1",4,6.0,4,1,1,1,3,0,1,3.87,22,96,54,12,9,7,10,4,2,0,62,,,0,1,0,20,2,0,0,0,0,0,.86,0.267,0.22%,1.80
