date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,COL,ARI,"L,2-8",99,1.0,3,2,2,0,1,0,0,18.00,6,22,17,3,2,2,3,3,0,0,,0,0,0,0,0,6,1,1,0,0,0,0,.09,-0.021,-0.01%,-1.49
2018-04-03,COL,SDP,"L,4-8",4,1.0,0,0,0,1,0,0,0,9.00,3,13,7,3,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.03,0.001,0.00%,0.45
2018-04-06,COL,ATL,"L,3-8",2,0.1,0,0,0,0,0,0,0,7.71,1,3,2,0,1,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.50,0.015,0.01%,0.35
2018-04-07,COL,ATL,"W,3-2",0,0.1,0,0,0,1,0,0,0,6.75,2,6,2,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.23,0.053,0.03%,0.35
2018-04-09,COL,SDP,"L,6-7",1,0.2,2,0,0,0,0,0,0,5.40,4,7,6,1,1,0,4,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.33,0.011,0.01%,0.09
2018-04-10,COL,SDP,"L,2-5",0,1.0,0,0,0,1,0,0,0,4.15,3,15,9,3,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.32,0.019,0.01%,0.57
2018-04-13,COL,WSN,"W,2-1",2,0.1,0,0,0,0,0,0,0,3.86,1,4,3,0,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.49,0.064,0.04%,0.24
2018-04-18,COL,PIT,"L,2-10",4,1.0,3,3,3,1,2,0,0,7.94,7,32,20,6,2,0,4,3,0,0,,0,0,0,0,0,5,2,0,0,0,1,0,.01,-0.004,0.00%,-2.54
2018-04-22,COL,CHC,"L,7-9",3,1.0,2,3,3,1,2,0,0,10.80,6,26,17,7,2,1,2,1,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,1.13,0.031,0.02%,0.17
2018-04-28,COL,MIA,"L,1-4",5,1.0,1,1,1,0,0,1,0,10.57,4,14,9,3,0,2,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.19,-0.041,-0.03%,-0.55
