date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-03,BAL,HOU,"L,6-10",99,5.0,4,3,3,1,6,1,1,5.40,20,82,49,14,9,5,7,4,1,0,52,,,0,0,0,17,0,0,0,0,1,0,.89,-0.081,-0.04%,-0.47
2018-04-08,BAL,NYY,"W,8-7",4,0.2,5,5,2,1,1,0,0,7.94,9,39,20,7,0,2,5,4,1,0,28,,,0,0,0,8,1,0,0,0,0,1,1.33,-0.361,-0.20%,-5.10
2018-04-13,BAL,BOS,"L,3-7",4,2.2,2,1,1,3,3,0,0,6.48,13,55,31,9,6,1,6,2,2,0,,0,0,0,0,0,10,1,0,0,0,0,0,.15,0.002,0.00%,0.35
2018-04-19,BAL,DET,"L,8-13",5,3.1,5,5,5,1,1,1,1,8.49,17,59,38,7,2,6,8,3,0,0,,1,0,0,0,0,15,0,0,0,0,0,0,.14,-0.047,-0.01%,-3.11
2018-04-26,BAL,TBR,"L,5-9",6,1.1,0,0,0,0,3,0,0,7.62,4,21,16,5,4,0,1,1,0,0,,1,0,1,0,0,4,0,0,0,0,0,0,.17,0.018,0.00%,0.73
2018-05-02,BAL,LAA,"L,7-10",5,1.2,1,2,2,3,2,0,0,7.98,9,45,21,8,2,1,3,0,0,0,,1,0,0,0,0,5,1,0,0,0,1,0,.06,-0.003,0.00%,-0.82
2018-05-08,BAL,KCR,"L,7-15",5,4.2,8,5,5,0,1,0,0,8.38,22,80,54,14,2,8,13,8,1,0,,0,0,0,0,0,20,0,0,0,0,2,0,.07,-0.034,0.00%,-1.73
2018-05-12,BAL,TBR,"L,3-10",3,1.1,3,3,3,1,1,0,0,9.15,7,23,15,1,3,2,3,2,0,0,,3,0,0,0,0,6,0,1,0,1,0,0,.11,-0.003,0.00%,-1.73
2018-05-13,BAL,TBR,"W,17-1",0,1.0,1,0,0,1,0,0,0,8.72,4,12,5,1,0,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.00,0.000,0.00%,0.50
2018-05-20,BAL,BOS,"L,0-5",6,2.1,4,0,0,3,1,0,0,7.88,14,52,32,9,2,0,10,6,2,0,,1,0,0,0,0,11,0,0,0,0,0,0,.11,0.012,0.00%,0.30
2018-05-23,BAL,CHW,"L,1-11",2,1.0,0,0,0,0,1,0,0,7.56,3,14,10,4,2,0,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.50
2018-05-27,BAL,TBR,"L,3-8",3,2.2,2,0,0,2,5,0,1,6.83,13,55,31,7,4,1,4,3,1,0,,2,0,0,0,0,10,1,0,0,0,0,0,.37,0.042,0.00%,1.40
2018-05-30,BAL,WSN,"L,0-2",2,1.0,1,0,0,0,0,0,0,6.59,3,10,7,2,2,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.30,0.017,0.00%,0.50
2018-06-01,BAL,NYY,"L,1-4",1,1.0,0,0,0,0,1,0,0,6.37,3,12,8,4,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.10,0.008,0.00%,0.50
2018-06-08,BAL,TOR,"L,1-5",6,1.0,2,1,1,1,0,1,0,6.46,6,31,19,3,1,3,2,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.10,-0.012,0.00%,-0.50
2018-06-10,BAL,TOR,"L,3-13",1,2.1,4,0,0,0,2,0,0,6.00,11,42,31,9,6,1,8,3,0,0,,0,0,0,0,0,11,0,0,0,0,0,0,.00,0.000,0.00%,1.11
2018-06-13,BAL,BOS,"L,1-5",2,2.1,3,2,2,2,1,1,0,6.11,11,52,32,7,2,3,5,2,1,0,,2,2,0,0,0,8,0,0,0,1,1,0,.74,-0.209,0.00%,-2.19
2018-06-19,BAL,WSN,"L,7-9",5,1.2,4,1,1,2,1,0,0,6.08,10,31,14,3,2,3,4,3,0,0,,1,1,0,0,0,8,1,0,1,0,0,0,.39,-0.085,0.00%,-0.54
2018-06-22,BAL,ATL,"W,10-7",2,2.0,1,0,0,1,1,0,0,5.77,8,35,22,7,2,4,2,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,2.23,0.174,0.00%,0.98
2018-06-24,BAL,ATL,"L,3-7",1,3.0,2,0,0,0,3,0,1,5.36,11,38,25,6,6,3,4,3,1,0,,0,0,0,0,0,10,1,0,0,1,0,0,.52,0.082,0.00%,1.46
2018-06-27,BAL,SEA,"L,7-8",2,2.1,1,0,0,0,0,0,0,5.08,8,32,19,7,2,2,6,3,0,0,,2,0,0,0,0,8,0,0,0,0,0,0,.99,0.156,0.00%,1.44
2018-07-06,BAL,MIN,"L,2-6",8,1.1,2,0,0,0,2,0,0,4.93,6,26,16,4,5,2,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.11,0.008,0.00%,0.63
2018-07-09,BAL,NYY,"W,5-4",2,2.0,2,1,1,0,4,0,0,4.91,8,33,22,9,4,3,1,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,1.15,0.013,0.00%,0.00
