date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-07-20,PIT,ARI,"L,6-11",99,1.0,0,0,0,0,2,0,0,0.00,3,17,9,3,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.51
2021-07-25,PIT,SFG,"L,1-6",4,1.0,1,1,1,0,2,1,0,4.50,4,18,12,2,4,0,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.03,-0.006,0.00%,-0.50
2021-07-27,PIT,MIL,"L,0-9",1,2.0,2,0,0,0,0,0,0,2.25,8,27,14,3,2,3,5,3,0,0,,2,2,0,0,0,8,0,0,0,0,0,0,.10,-0.003,0.00%,0.49
2021-07-29,PIT,MIL,"L,0-12",1,0.1,0,0,0,0,0,0,0,2.08,1,7,4,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.02,0.000,0.00%,0.10
2021-08-01,PIT,PHI,"L,4-15",2,1.0,2,0,0,1,2,0,0,1.69,6,21,14,7,2,2,1,1,0,0,,3,3,0,0,0,4,0,0,0,0,1,0,.00,-0.001,0.00%,-0.66
2021-08-02,PIT,MIL,"L,2-6",0,0.2,2,3,3,1,2,1,0,6.00,5,27,15,3,5,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.27,-0.051,0.00%,-2.59
2021-08-05,PIT,CIN,"L,4-7",2,1.0,0,0,0,0,3,0,0,5.14,3,15,11,3,2,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.11,0.009,0.00%,0.58
2021-08-07,PIT,CIN,"L,3-11",1,0.2,1,1,1,0,0,1,0,5.87,3,11,7,2,0,0,3,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,-0.001,0.00%,-0.69
2021-08-10,PIT,STL,"L,1-4",2,1.0,1,0,0,1,1,0,0,5.19,5,25,16,3,4,1,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.18,0.008,0.00%,0.50
2021-08-11,PIT,STL,"L,0-4",0,0.1,0,0,0,0,0,0,0,5.00,1,5,2,1,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,2.99,0.075,0.00%,0.77
2021-08-14,PIT,MIL,"W,14-4",2,1.0,0,0,0,0,0,0,0,4.50,3,10,6,2,1,0,3,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.001,0.00%,0.50
2021-08-16,PIT,LAD,"L,1-2",1,0.1,0,0,0,1,0,0,0,4.35,2,7,3,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,3.30,0.065,0.00%,0.44
2021-08-21,PIT,STL,"W,5-4",4,0.2,3,2,2,1,0,0,0,5.73,6,26,14,3,0,3,2,2,0,0,,0,0,1,0,0,5,1,0,0,0,0,0,1.61,-0.360,0.00%,-1.95
2021-08-22,PIT,STL,"L,0-3",0,1.0,0,0,0,0,0,0,0,5.25,3,11,8,3,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.28,0.021,0.00%,0.47
