date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-05-11,DET,MIN,"L,3-8",99,4.0,6,1,1,1,5,1,0,2.25,19,72,46,7,15,7,6,3,2,0,,0,0,0,0,0,18,0,0,0,0,0,0,.14,0.003,0.00%,1.21
2019-05-15,DET,HOU,"L,1-5",3,4.0,3,2,1,2,2,0,0,2.25,19,77,48,15,6,8,7,2,1,0,,0,0,0,0,0,15,0,0,0,0,1,2,.92,-0.027,-0.01%,0.26
2019-05-21,DET,MIA,"L,4-5",5,3.0,1,1,1,0,3,1,0,2.45,10,34,25,9,5,0,7,1,1,0,,0,0,0,0,0,10,0,0,0,0,0,0,.64,0.013,0.00%,0.69
2019-05-25,DET,NYM,"L,4-5",3,2.0,1,2,2,1,2,1,1,3.46,9,27,17,7,4,2,3,1,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.18,-0.270,-0.04%,-1.03
2019-05-29,DET,BAL,"W,4-2",3,3.0,0,0,0,0,5,0,0,2.81,9,35,25,5,11,3,1,0,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,.90,0.211,0.02%,1.64
2019-06-02,DET,ATL,"L,4-7",3,2.0,0,0,0,0,2,0,0,2.50,6,26,19,6,2,4,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.23,0.035,0.00%,1.11
2019-06-05,DET,TBR,"L,0-4",2,1.0,1,0,0,2,0,0,0,2.37,6,15,7,1,0,2,2,0,2,0,,0,0,0,0,0,4,0,0,1,0,0,0,.89,0.029,0.00%,0.56
2019-06-08,DET,MIN,"W,9-3",2,3.0,3,1,1,3,3,0,0,2.45,14,64,36,7,5,2,6,4,0,0,,0,0,0,0,0,11,0,0,0,1,0,0,1.26,0.087,0.01%,0.69
2019-06-12,DET,KCR,"W,3-2",3,2.0,1,0,0,2,2,0,0,2.25,9,31,15,3,6,3,2,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.37,0.171,0.01%,1.12
2019-06-15,DET,CLE,"L,2-4",2,3.0,6,3,3,1,1,0,0,3.00,16,56,32,8,2,7,7,3,1,0,,0,0,3,0,0,14,1,0,0,0,1,0,.88,-0.238,-0.01%,-1.31
2019-06-19,DET,PIT,"L,7-8",3,1.1,6,5,5,0,1,2,0,4.45,10,41,27,4,2,3,6,3,1,0,,0,0,0,0,0,10,1,0,0,0,0,0,1.52,-0.562,-0.01%,-4.25
2019-06-22,DET,CLE,"L,0-2",2,1.0,0,0,0,0,2,0,0,4.30,3,11,7,1,3,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.36,0.029,0.00%,0.58
2019-06-25,DET,TEX,"L,3-5",2,1.0,1,1,0,0,0,0,0,4.15,4,16,10,0,1,0,4,1,1,0,,0,0,0,0,0,3,1,0,0,0,1,0,.30,-0.028,0.00%,-0.44
2019-06-27,DET,TEX,"L,1-3",1,3.0,2,1,1,1,4,1,0,4.05,12,48,28,7,7,3,4,1,0,0,,0,0,0,0,0,11,0,0,0,0,0,0,.69,0.037,0.00%,0.69
2019-07-03,DET,CHW,"L,6-9",5,1.2,2,3,3,1,2,1,0,4.63,8,34,20,5,7,3,2,1,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,2.67,-0.211,0.00%,-2.04
2019-07-05,DET,BOS,"L,6-9",1,1.0,0,0,0,1,0,0,0,4.50,4,13,6,2,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.005,0.00%,0.56
2019-07-07,DET,BOS,"L,3-6",1,3.0,3,3,3,2,4,0,0,4.85,14,53,33,8,11,3,5,1,1,0,,0,0,1,0,0,12,1,0,1,0,0,0,.97,-0.128,0.00%,-1.31
2019-07-14,DET,KCR,"W,12-8",6,3.0,2,1,1,1,1,0,0,4.71,11,31,19,4,4,5,4,2,1,0,,2,1,0,0,0,10,1,0,0,1,0,0,1.12,0.125,0.00%,1.02
2019-07-17,DET,CLE,"L,2-7",2,1.0,1,0,0,0,0,0,0,4.60,4,11,6,0,1,3,1,0,1,0,,1,1,1,0,0,4,0,0,0,0,0,0,1.04,-0.015,0.00%,0.21
2019-07-19,DET,TOR,"L,1-12",1,1.0,0,0,0,0,3,0,0,4.50,3,19,12,6,1,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.56
2019-07-21,DET,TOR,"W,4-3",1,1.0,1,0,0,0,0,0,0,4.40,3,7,5,0,1,1,2,1,1,0,,0,0,0,0,0,3,1,0,0,0,0,0,2.74,0.150,0.00%,0.56
2019-07-23,DET,PHI,"L,2-3",1,3.0,0,0,0,1,2,0,0,4.13,10,31,18,4,2,4,3,1,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,2.27,0.449,0.00%,1.69
