date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-05-01,CLE,CHW,"L,3-7",99,1.0,0,0,0,0,1,0,0,0.00,3,16,10,4,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.14,0.011,0.01%,0.53
2021-05-04,CLE,KCR,"W,7-3",2,1.1,0,0,0,0,1,0,0,0.00,4,18,14,4,2,2,1,1,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.89,0.094,0.08%,0.89
2021-05-06,CLE,KCR,"W,4-0",1,2.0,0,0,0,0,2,0,0,0.00,5,22,16,6,2,2,1,0,0,0,,2,0,0,0,0,5,0,0,0,1,0,0,1.27,0.245,0.21%,2.11
2021-05-12,CLE,CHC,"W,2-1",5,1.0,1,1,1,0,1,0,0,1.69,4,21,14,2,2,1,2,1,0,0,,1,0,0,0,0,4,1,0,0,0,0,0,1.03,0.056,0.04%,0.43
2021-05-15,CLE,SEA,"L,3-7",2,1.0,1,2,2,2,0,0,0,4.26,6,22,12,4,0,0,4,1,1,0,,0,0,0,0,0,4,0,1,0,0,0,0,.14,-0.020,-0.02%,-1.51
2021-05-17,CLE,LAA,"L,4-7",1,2.0,0,0,0,0,4,0,0,3.24,6,23,17,7,3,1,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.21,0.033,0.02%,1.06
2021-05-22,CLE,MIN,"W,5-3",4,0.2,0,0,0,1,2,0,1,3.00,4,16,7,3,1,0,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.82,0.079,0.06%,0.55
2021-05-28,CLE,TOR,"L,2-11",5,1.0,2,1,1,1,1,0,0,3.60,6,32,19,6,1,2,2,1,0,0,,2,2,0,0,0,5,1,0,0,0,0,0,.19,-0.030,-0.03%,-0.98
2021-05-31,CLE,CHW,"L,6-8",2,1.0,0,0,0,0,1,0,0,3.27,3,16,10,3,3,2,0,0,0,0,,0,0,0,1,0,3,0,0,0,0,0,1,2.16,0.143,0.14%,0.53
2021-06-04,CLE,BAL,"L,1-3",3,1.0,0,0,0,0,2,0,0,3.00,3,14,9,2,5,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.16,0.090,0.07%,0.54
2021-06-06,CLE,BAL,"L,5-18",1,0.2,1,0,0,0,1,0,0,2.84,3,17,13,3,1,1,1,1,0,0,,2,2,0,0,0,3,1,0,0,0,0,0,.25,-0.020,-0.02%,-0.55
2021-06-08,CLE,STL,"W,10-1",1,1.0,0,0,0,0,2,0,0,2.63,3,9,8,5,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.47
2021-06-12,CLE,SEA,"W,5-4",3,1.1,0,0,0,2,3,0,0,2.40,6,28,14,8,3,1,0,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.70,0.045,0.03%,0.77
2021-06-14,CLE,BAL,"W,4-3",1,1.2,0,0,0,0,3,0,0,2.16,5,22,15,4,4,1,1,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.05,0.135,0.10%,0.94
