date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-06-29,BAL,LAA,"L,1-7",99,1.2,2,0,0,0,2,0,0,0.00,6,27,18,6,3,2,2,1,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,.01,0.001,0.00%,0.77
2018-07-03,BAL,PHI,"L,2-3",3,0.1,0,0,0,0,0,0,0,0.00,1,2,2,1,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,2.29,0.057,0.00%,0.77
2018-07-06,BAL,MIN,"L,2-6",2,2.1,0,0,0,0,4,0,0,0.00,7,23,17,9,3,2,1,1,0,0,,2,0,0,0,0,7,0,0,0,0,0,0,.11,0.019,0.00%,1.86
2018-07-08,BAL,MIN,"L,1-10",1,0.2,3,4,1,0,1,0,0,1.80,6,15,14,4,3,2,3,2,0,0,,1,1,0,0,0,6,0,0,0,0,0,1,.18,-0.036,0.00%,-2.71
2018-07-09,BAL,NYY,"L,2-10",0,0.1,0,0,0,0,0,0,0,1.69,1,3,3,0,0,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.00,0.000,0.00%,0.44
2018-07-12,BAL,PHI,"L,4-5",2,1.0,2,0,0,0,0,0,0,1.42,4,12,10,1,4,1,3,2,0,0,,2,0,0,0,0,4,0,0,0,1,0,0,.28,0.005,0.00%,0.50
2018-07-13,BAL,TEX,"L,4-5",0,1.0,0,0,0,0,2,0,0,1.23,3,15,10,5,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.68,0.052,0.00%,0.50
2018-07-15,BAL,TEX,"W,6-5",1,1.2,0,0,0,0,1,0,1,1.00,5,25,15,2,2,2,1,0,0,0,,0,0,0,1,0,4,0,0,0,0,0,0,1.40,0.172,0.00%,0.77
2018-07-20,BAL,TOR,"L,7-8",4,1.0,1,1,0,1,2,0,0,0.90,6,27,14,7,3,3,0,0,0,0,,2,0,0,0,0,5,0,0,0,0,0,1,2.79,-0.227,0.00%,-0.33
2018-07-22,BAL,TOR,"L,4-5",1,0.2,0,0,0,0,0,0,0,0.84,2,6,3,0,0,1,1,1,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,2.56,0.138,0.00%,0.74
2018-07-24,BAL,BOS,"W,7-6",1,1.1,2,1,1,0,1,0,0,1.50,6,25,16,5,1,3,2,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.50,0.027,0.00%,0.48
2018-07-26,BAL,TBR,"L,3-4",1,0.2,0,0,0,1,0,0,1,1.42,3,10,4,2,0,1,0,0,0,0,,2,0,1,0,0,1,0,0,0,1,0,0,1.90,0.071,0.00%,0.72
2018-07-29,BAL,TBR,"W,11-5",2,0.1,2,0,0,0,1,0,1,1.38,4,16,8,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.13,-0.010,0.00%,-1.07
2018-08-01,BAL,NYY,"W,7-5",2,1.1,1,2,2,1,1,0,0,2.51,5,20,14,2,5,2,1,0,0,0,,3,0,0,0,0,4,0,0,0,1,0,0,.43,0.071,0.00%,1.66
2018-08-04,BAL,TEX,"L,1-3",2,1.0,1,1,1,0,0,1,0,2.93,4,15,9,4,0,2,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.62,-0.025,0.00%,-0.44
2018-08-05,BAL,TEX,"W,9-6",0,0.2,0,1,1,2,0,0,0,3.38,4,15,5,1,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.06,-0.019,0.00%,-0.83
