date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-05,CHC,STL,"L,0-3",99,0.2,0,0,0,1,2,0,0,0.00,3,11,6,0,6,0,0,0,0,0,,2,0,0,0,0,2,0,0,1,0,0,0,1.05,0.067,0.04%,1.35
2015-04-08,CHC,STL,"W,2-0",2,0.1,1,0,0,0,1,0,0,0.00,2,9,5,2,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.15,-0.009,-0.01%,-0.03
2015-04-11,CHC,COL,"W,9-5",2,0.1,2,1,1,0,0,0,0,6.75,3,6,4,0,0,2,1,0,1,0,,1,1,0,0,0,3,1,0,0,0,0,0,.36,-0.030,-0.02%,-1.62
2015-04-12,CHC,COL,"W,6-5",0,1.1,1,0,0,0,1,0,0,3.38,5,20,15,5,2,2,2,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.30,0.021,0.01%,0.38
2015-04-15,CHC,CIN,"W,5-0",2,1.0,0,0,0,0,0,0,0,2.45,2,7,3,1,0,2,0,0,0,0,,2,0,0,0,0,2,0,0,0,1,0,0,.56,0.044,0.03%,1.43
2015-04-18,CHC,SDP,"W,7-6",2,0.0,2,2,2,0,0,0,0,7.36,2,9,7,0,1,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.50,-0.052,-0.03%,-0.97
2015-04-21,CHC,PIT,"W,9-8",2,0.1,0,0,0,0,1,0,0,6.75,1,6,3,1,1,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.53,0.038,0.03%,0.41
2015-04-23,CHC,PIT,"L,4-5",1,0.2,1,0,0,1,1,0,0,5.79,4,23,14,3,2,2,0,0,0,0,,1,1,0,0,0,3,0,0,1,0,0,0,2.05,-0.137,-0.10%,-0.35
2015-04-24,CHC,CIN,"W,7-3",0,0.1,1,0,0,0,0,0,0,5.40,2,11,6,2,1,1,1,1,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,1.71,-0.038,-0.03%,-0.19
2015-04-29,CHC,PIT,"L,1-8",4,1.0,3,2,2,0,0,0,0,7.50,5,10,6,1,0,2,3,2,0,0,,0,0,0,0,0,5,2,0,0,1,0,0,.01,-0.004,0.00%,-1.55
2015-05-02,CHC,MIL,"L,1-6",2,0.2,0,0,0,0,1,0,0,6.75,2,8,6,1,4,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.38,0.024,0.02%,1.14
2015-05-03,CHC,MIL,"L,3-5",0,0.2,1,0,0,0,1,0,0,6.14,3,17,13,1,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.35,0.004,0.00%,0.15
2015-05-04,CHC,STL,"L,9-10",0,0.1,1,0,0,0,0,0,0,5.87,2,10,7,1,1,1,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.96,0.034,0.03%,0.22
2015-05-05,CHC,STL,"L,4-7",0,1.0,0,0,0,0,1,0,0,5.19,3,15,11,3,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.006,0.00%,0.47
2015-05-09,CHC,MIL,"L,4-12",3,1.0,1,2,2,1,0,1,0,6.52,5,20,12,1,1,2,2,0,0,0,,2,2,0,0,0,3,0,0,0,0,1,0,.40,-0.043,-0.03%,-2.06
2015-05-16,CHC,PIT,"W,4-1",6,0.1,0,0,0,0,0,0,0,6.30,1,2,2,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,2.56,0.068,0.05%,0.57
2015-06-14,TOR,BOS,"W,13-5",28,2.0,0,0,0,2,2,0,0,5.25,8,41,25,7,2,2,2,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.03,0.003,0.00%,1.04
2015-06-21,TOR,BAL,"L,9-13",6,0.2,1,1,1,0,1,1,0,5.68,3,13,9,1,1,0,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.94,-0.059,-0.05%,-0.60
